ID,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,LOCATION,TEMPERATURE
0,2018,8,16,1,1,2,Braamfontein,-7.6
1,2018,8,16,1,1,3,Braamfontein,-8.49
2,2018,8,16,1,1,4,Braamfontein,-8.28
3,2018,8,16,1,1,5,Braamfontein,-8.82
4,2018,8,16,1,1,6,Braamfontein,-8.41
5,2018,8,16,1,1,7,Braamfontein,-6.73
6,2018,8,16,1,1,8,Braamfontein,-8.26
7,2018,8,16,1,1,9,Braamfontein,-9.01
8,2018,8,16,1,1,10,Braamfontein,-8.12
9,2018,8,16,1,1,11,Braamfontein,-10.0
0,2018,8,16,1,1,2,Bedfordview,17.5
1,2018,8,16,1,1,3,Bedfordview,16.08
2,2018,8,16,1,1,4,Bedfordview,15.24
3,2018,8,16,1,1,5,Bedfordview,16.299999
4,2018,8,16,1,1,6,Bedfordview,17.4
5,2018,8,16,1,1,7,Bedfordview,18.58
6,2018,8,16,1,1,8,Bedfordview,19.639999
7,2018,8,16,1,1,9,Bedfordview,21.5
8,2018,8,16,1,1,10,Bedfordview,19.68
9,2018,8,16,1,1,11,Bedfordview,18.83
0,2018,8,16,1,1,2,Rosebank,-6.5
1,2018,8,16,1,1,3,Rosebank,-5.98
2,2018,8,16,1,1,4,Rosebank,-5.68
3,2018,8,16,1,1,5,Rosebank,-6.41
4,2018,8,16,1,1,6,Rosebank,-7.96
5,2018,8,16,1,1,7,Rosebank,-7.89
6,2018,8,16,1,1,8,Rosebank,-6.56
7,2018,8,16,1,1,9,Rosebank,-7.45
8,2018,8,16,1,1,10,Rosebank,-5.49
9,2018,8,16,1,1,11,Rosebank,-3.82
0,2018,8,16,1,1,2,Limpopo,-7.73
1,2018,8,16,1,1,3,Limpopo,-7.61
2,2018,8,16,1,1,4,Limpopo,-6.48
3,2018,8,16,1,1,5,Limpopo,-7.62
4,2018,8,16,1,1,6,Limpopo,-6.49
5,2018,8,16,1,1,7,Limpopo,-7.81
6,2018,8,16,1,1,8,Limpopo,-7.52
7,2018,8,16,1,1,9,Limpopo,-7.25
8,2018,8,16,1,1,10,Limpopo,-9.09
9,2018,8,16,1,1,11,Limpopo,-7.45
