ID,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,LOCATION,TEMPERATURE
0,2018,8,16,1,1,2,Kensington,-9.49
1,2018,8,16,1,1,3,Kensington,-9.46
2,2018,8,16,1,1,4,Kensington,-7.61
3,2018,8,16,1,1,5,Kensington,-8.66
4,2018,8,16,1,1,6,Kensington,-6.66
5,2018,8,16,1,1,7,Kensington,-5.32
6,2018,8,16,1,1,8,Kensington,-4.29
7,2018,8,16,1,1,9,Kensington,-5.86
8,2018,8,16,1,1,10,Kensington,-7.04
9,2018,8,16,1,1,11,Kensington,-5.36
10,2018,8,16,1,1,12,Kensington,-5.52
11,2018,8,16,1,1,13,Kensington,-3.89
12,2018,8,16,1,1,14,Kensington,-2.65
13,2018,8,16,1,1,15,Kensington,-2.04
14,2018,8,16,1,1,16,Kensington,-1.82
15,2018,8,16,1,1,17,Kensington,-0.08
16,2018,8,16,1,1,18,Kensington,1.3
17,2018,8,16,1,1,19,Kensington,-0.08
18,2018,8,16,1,1,20,Kensington,-0.08
19,2018,8,16,1,1,21,Kensington,-1.0
20,2018,8,16,1,1,22,Kensington,0.58
21,2018,8,16,1,1,23,Kensington,-0.41
22,2018,8,16,1,1,24,Kensington,1.47
23,2018,8,16,1,1,25,Kensington,3.03
24,2018,8,16,1,1,26,Kensington,4.51
25,2018,8,16,1,1,27,Kensington,4.38
26,2018,8,16,1,1,28,Kensington,6.19
27,2018,8,16,1,1,29,Kensington,6.0
28,2018,8,16,1,1,30,Kensington,7.14
29,2018,8,16,1,1,31,Kensington,8.4
30,2018,8,16,1,1,32,Kensington,9.24
31,2018,8,16,1,1,33,Kensington,8.67
32,2018,8,16,1,1,34,Kensington,8.94
33,2018,8,16,1,1,35,Kensington,10.22
34,2018,8,16,1,1,36,Kensington,8.3
35,2018,8,16,1,1,37,Kensington,7.54
36,2018,8,16,1,1,38,Kensington,9.51
37,2018,8,16,1,1,39,Kensington,8.63
38,2018,8,16,1,1,40,Kensington,7.64
39,2018,8,16,1,1,41,Kensington,9.27
40,2018,8,16,1,1,42,Kensington,7.54
41,2018,8,16,1,1,43,Kensington,8.96
42,2018,8,16,1,1,44,Kensington,10.9
43,2018,8,16,1,1,45,Kensington,11.15
44,2018,8,16,1,1,46,Kensington,9.36
45,2018,8,16,1,1,47,Kensington,10.62
46,2018,8,16,1,1,48,Kensington,11.02
47,2018,8,16,1,1,49,Kensington,12.36
48,2018,8,16,1,1,50,Kensington,13.99
49,2018,8,16,1,1,51,Kensington,15.07
50,2018,8,16,1,1,52,Kensington,13.31
51,2018,8,16,1,1,53,Kensington,13.14
52,2018,8,16,1,1,54,Kensington,13.39
53,2018,8,16,1,1,55,Kensington,11.94
54,2018,8,16,1,1,56,Kensington,10.06
55,2018,8,16,1,1,57,Kensington,10.35
56,2018,8,16,1,1,58,Kensington,11.43
