ID,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,LOCATION,TEMPERATURE
0,2018,8,16,1,1,2,Bedfordview,17.5
1,2018,8,16,1,1,3,Bedfordview,16.08
2,2018,8,16,1,1,4,Bedfordview,15.24
3,2018,8,16,1,1,5,Bedfordview,16.299999
4,2018,8,16,1,1,6,Bedfordview,17.4
5,2018,8,16,1,1,7,Bedfordview,18.58
6,2018,8,16,1,1,8,Bedfordview,19.639999
7,2018,8,16,1,1,9,Bedfordview,21.5
8,2018,8,16,1,1,10,Bedfordview,19.68
9,2018,8,16,1,1,11,Bedfordview,18.83
10,2018,8,16,1,1,12,Bedfordview,20.18
11,2018,8,16,1,1,13,Bedfordview,19.190001
12,2018,8,16,1,1,14,Bedfordview,21.110001
13,2018,8,16,1,1,15,Bedfordview,20.139999
14,2018,8,16,1,1,16,Bedfordview,20.459999
15,2018,8,16,1,1,17,Bedfordview,21.620001
16,2018,8,16,1,1,18,Bedfordview,22.07
17,2018,8,16,1,1,19,Bedfordview,22.559999
18,2018,8,16,1,1,20,Bedfordview,24.030001
19,2018,8,16,1,1,21,Bedfordview,22.26
20,2018,8,16,1,1,22,Bedfordview,20.99
21,2018,8,16,1,1,23,Bedfordview,22.379999
22,2018,8,16,1,1,24,Bedfordview,21.83
23,2018,8,16,1,1,25,Bedfordview,23.360001
24,2018,8,16,1,1,26,Bedfordview,22.52
25,2018,8,16,1,1,27,Bedfordview,23.59
26,2018,8,16,1,1,28,Bedfordview,22.27
27,2018,8,16,1,1,29,Bedfordview,21.4
28,2018,8,16,1,1,30,Bedfordview,23.309999
29,2018,8,16,1,1,31,Bedfordview,21.799999
30,2018,8,16,1,1,32,Bedfordview,20.799999
31,2018,8,16,1,1,33,Bedfordview,20.139999
32,2018,8,16,1,1,34,Bedfordview,19.24
33,2018,8,16,1,1,35,Bedfordview,19.200001
34,2018,8,16,1,1,36,Bedfordview,17.959999
35,2018,8,16,1,1,37,Bedfordview,18.16
36,2018,8,16,1,1,38,Bedfordview,17.549999
37,2018,8,16,1,1,39,Bedfordview,19.48
38,2018,8,16,1,1,40,Bedfordview,21.07
39,2018,8,16,1,1,41,Bedfordview,22.02
40,2018,8,16,1,1,42,Bedfordview,20.35
41,2018,8,16,1,1,43,Bedfordview,20.15
42,2018,8,16,1,1,44,Bedfordview,21.4
43,2018,8,16,1,1,45,Bedfordview,22.0
44,2018,8,16,1,1,46,Bedfordview,22.120001
45,2018,8,16,1,1,47,Bedfordview,23.26
46,2018,8,16,1,1,48,Bedfordview,23.15
47,2018,8,16,1,1,49,Bedfordview,21.43
48,2018,8,16,1,1,50,Bedfordview,22.870001
49,2018,8,16,1,1,51,Bedfordview,23.309999
50,2018,8,16,1,1,52,Bedfordview,22.15
51,2018,8,16,1,1,53,Bedfordview,20.18
52,2018,8,16,1,1,54,Bedfordview,21.0
53,2018,8,16,1,1,55,Bedfordview,22.139999
54,2018,8,16,1,1,56,Bedfordview,21.639999
55,2018,8,16,1,1,57,Bedfordview,21.92
56,2018,8,16,1,1,58,Bedfordview,23.030001
57,2018,8,16,1,1,59,Bedfordview,22.299999
58,2018,8,16,1,1,60,Bedfordview,22.629999
59,2018,8,16,1,2,1,Bedfordview,22.68
60,2018,8,16,1,2,2,Bedfordview,23.200001
61,2018,8,16,1,2,3,Bedfordview,22.08
62,2018,8,16,1,2,4,Bedfordview,20.299999
63,2018,8,16,1,2,5,Bedfordview,19.959999
64,2018,8,16,1,2,6,Bedfordview,19.07
65,2018,8,16,1,2,7,Bedfordview,19.23
66,2018,8,16,1,2,8,Bedfordview,17.58
67,2018,8,16,1,2,9,Bedfordview,19.389999
