ID,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,LOCATION,TEMPERATURE
0,2018,8,16,1,1,2,Limpopo,-7.73
1,2018,8,16,1,1,3,Limpopo,-7.61
2,2018,8,16,1,1,4,Limpopo,-6.48
3,2018,8,16,1,1,5,Limpopo,-7.62
4,2018,8,16,1,1,6,Limpopo,-6.49
5,2018,8,16,1,1,7,Limpopo,-7.81
6,2018,8,16,1,1,8,Limpopo,-7.52
7,2018,8,16,1,1,9,Limpopo,-7.25
8,2018,8,16,1,1,10,Limpopo,-9.09
9,2018,8,16,1,1,11,Limpopo,-7.45
10,2018,8,16,1,1,12,Limpopo,-6.8
11,2018,8,16,1,1,13,Limpopo,-4.9
12,2018,8,16,1,1,14,Limpopo,-5.85
13,2018,8,16,1,1,15,Limpopo,-6.06
14,2018,8,16,1,1,16,Limpopo,-7.46
15,2018,8,16,1,1,17,Limpopo,-7.7
16,2018,8,16,1,1,18,Limpopo,-8.21
17,2018,8,16,1,1,19,Limpopo,-6.76
18,2018,8,16,1,1,20,Limpopo,-7.37
19,2018,8,16,1,1,21,Limpopo,-7.78
20,2018,8,16,1,1,22,Limpopo,-6.25
21,2018,8,16,1,1,23,Limpopo,-4.38
22,2018,8,16,1,1,24,Limpopo,-3.61
23,2018,8,16,1,1,25,Limpopo,-5.58
24,2018,8,16,1,1,26,Limpopo,-4.36
25,2018,8,16,1,1,27,Limpopo,-3.25
26,2018,8,16,1,1,28,Limpopo,-5.25
27,2018,8,16,1,1,29,Limpopo,-6.0
28,2018,8,16,1,1,30,Limpopo,-4.2
29,2018,8,16,1,1,31,Limpopo,-2.98
30,2018,8,16,1,1,32,Limpopo,-1.49
31,2018,8,16,1,1,33,Limpopo,-2.49
32,2018,8,16,1,1,34,Limpopo,-0.5
33,2018,8,16,1,1,35,Limpopo,-0.58
34,2018,8,16,1,1,36,Limpopo,0.22
35,2018,8,16,1,1,37,Limpopo,-0.2
36,2018,8,16,1,1,38,Limpopo,-0.84
37,2018,8,16,1,1,39,Limpopo,-2.25
38,2018,8,16,1,1,40,Limpopo,-1.44
39,2018,8,16,1,1,41,Limpopo,0.32
40,2018,8,16,1,1,42,Limpopo,0.78
41,2018,8,16,1,1,43,Limpopo,-0.34
42,2018,8,16,1,1,44,Limpopo,0.51
43,2018,8,16,1,1,45,Limpopo,0.08
44,2018,8,16,1,1,46,Limpopo,-0.2
45,2018,8,16,1,1,47,Limpopo,-1.84
46,2018,8,16,1,1,48,Limpopo,-3.72
47,2018,8,16,1,1,49,Limpopo,-3.08
48,2018,8,16,1,1,50,Limpopo,-4.52
49,2018,8,16,1,1,51,Limpopo,-3.77
50,2018,8,16,1,1,52,Limpopo,-2.9
51,2018,8,16,1,1,53,Limpopo,-2.8
52,2018,8,16,1,1,54,Limpopo,-4.62
53,2018,8,16,1,1,55,Limpopo,-4.44
54,2018,8,16,1,1,56,Limpopo,-5.96
55,2018,8,16,1,1,57,Limpopo,-4.3
56,2018,8,16,1,1,58,Limpopo,-2.68
57,2018,8,16,1,1,59,Limpopo,-4.06
58,2018,8,16,1,1,60,Limpopo,-5.84
59,2018,8,16,1,2,1,Limpopo,-4.48
60,2018,8,16,1,2,2,Limpopo,-2.62
61,2018,8,16,1,2,3,Limpopo,-2.57
62,2018,8,16,1,2,4,Limpopo,-2.65
63,2018,8,16,1,2,5,Limpopo,-2.89
64,2018,8,16,1,2,6,Limpopo,-1.22
65,2018,8,16,1,2,7,Limpopo,0.36
66,2018,8,16,1,2,8,Limpopo,-1.54
67,2018,8,16,1,2,9,Limpopo,-1.12
68,2018,8,16,1,2,10,Limpopo,-2.54
69,2018,8,16,1,2,11,Limpopo,-3.92
70,2018,8,16,1,2,12,Limpopo,-5.62
71,2018,8,16,1,2,13,Limpopo,-4.86
72,2018,8,16,1,2,14,Limpopo,-3.94
73,2018,8,16,1,2,15,Limpopo,-5.49
74,2018,8,16,1,2,16,Limpopo,-6.77
75,2018,8,16,1,2,17,Limpopo,-8.01
76,2018,8,16,1,2,18,Limpopo,-6.45
77,2018,8,16,1,2,19,Limpopo,-5.94
78,2018,8,16,1,2,20,Limpopo,-6.52
79,2018,8,16,1,2,21,Limpopo,-6.34
80,2018,8,16,1,2,22,Limpopo,-7.7
