ID,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,LOCATION,TEMPERATURE
0,2018,8,16,1,1,2,Rosebank,7.46
1,2018,8,16,1,1,3,Rosebank,7.3
2,2018,8,16,1,1,4,Rosebank,7.75
3,2018,8,16,1,1,5,Rosebank,6.82
4,2018,8,16,1,1,6,Rosebank,5.14
5,2018,8,16,1,1,7,Rosebank,5.32
6,2018,8,16,1,1,8,Rosebank,5.1
7,2018,8,16,1,1,9,Rosebank,5.59
8,2018,8,16,1,1,10,Rosebank,4.32
9,2018,8,16,1,1,11,Rosebank,4.78
10,2018,8,16,1,1,12,Rosebank,4.06
11,2018,8,16,1,1,13,Rosebank,4.6
12,2018,8,16,1,1,14,Rosebank,5.18
13,2018,8,16,1,1,15,Rosebank,6.23
14,2018,8,16,1,1,16,Rosebank,6.1
15,2018,8,16,1,1,17,Rosebank,6.28
16,2018,8,16,1,1,18,Rosebank,6.03
17,2018,8,16,1,1,19,Rosebank,5.82
18,2018,8,16,1,1,20,Rosebank,7.62
19,2018,8,16,1,1,21,Rosebank,7.38
20,2018,8,16,1,1,22,Rosebank,6.7
21,2018,8,16,1,1,23,Rosebank,6.0
22,2018,8,16,1,1,24,Rosebank,7.27
23,2018,8,16,1,1,25,Rosebank,9.14
24,2018,8,16,1,1,26,Rosebank,8.32
25,2018,8,16,1,1,27,Rosebank,8.76
26,2018,8,16,1,1,28,Rosebank,9.48
27,2018,8,16,1,1,29,Rosebank,10.66
28,2018,8,16,1,1,30,Rosebank,9.38
29,2018,8,16,1,1,31,Rosebank,8.14
30,2018,8,16,1,1,32,Rosebank,9.98
31,2018,8,16,1,1,33,Rosebank,8.2
32,2018,8,16,1,1,34,Rosebank,9.24
33,2018,8,16,1,1,35,Rosebank,11.16
34,2018,8,16,1,1,36,Rosebank,10.76
35,2018,8,16,1,1,37,Rosebank,9.42
36,2018,8,16,1,1,38,Rosebank,10.15
37,2018,8,16,1,1,39,Rosebank,9.38
38,2018,8,16,1,1,40,Rosebank,8.63
