ID,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,LOCATION,TEMPERATURE
0,2018,8,16,1,1,2,Braamfontein,-4.68
1,2018,8,16,1,1,3,Braamfontein,-5.78
2,2018,8,16,1,1,4,Braamfontein,-7.17
3,2018,8,16,1,1,5,Braamfontein,-7.41
4,2018,8,16,1,1,6,Braamfontein,-6.09
5,2018,8,16,1,1,7,Braamfontein,-4.28
6,2018,8,16,1,1,8,Braamfontein,-6.12
7,2018,8,16,1,1,9,Braamfontein,-4.24
8,2018,8,16,1,1,10,Braamfontein,-5.08
9,2018,8,16,1,1,11,Braamfontein,-6.0
10,2018,8,16,1,1,12,Braamfontein,-5.89
11,2018,8,16,1,1,13,Braamfontein,-6.73
12,2018,8,16,1,1,14,Braamfontein,-6.68
13,2018,8,16,1,1,15,Braamfontein,-5.41
14,2018,8,16,1,1,16,Braamfontein,-5.1
15,2018,8,16,1,1,17,Braamfontein,-5.85
16,2018,8,16,1,1,18,Braamfontein,-7.41
17,2018,8,16,1,1,19,Braamfontein,-8.0
18,2018,8,16,1,1,20,Braamfontein,-8.02
19,2018,8,16,1,1,21,Braamfontein,-9.01
20,2018,8,16,1,1,22,Braamfontein,-8.69
21,2018,8,16,1,1,23,Braamfontein,-6.86
22,2018,8,16,1,1,24,Braamfontein,-7.64
23,2018,8,16,1,1,25,Braamfontein,-7.84
24,2018,8,16,1,1,26,Braamfontein,-7.42
25,2018,8,16,1,1,27,Braamfontein,-7.57
26,2018,8,16,1,1,28,Braamfontein,-5.97
27,2018,8,16,1,1,29,Braamfontein,-5.94
28,2018,8,16,1,1,30,Braamfontein,-6.89
29,2018,8,16,1,1,31,Braamfontein,-5.54
30,2018,8,16,1,1,32,Braamfontein,-6.29
31,2018,8,16,1,1,33,Braamfontein,-7.44
32,2018,8,16,1,1,34,Braamfontein,-9.44
33,2018,8,16,1,1,35,Braamfontein,-8.26
34,2018,8,16,1,1,36,Braamfontein,-6.52
35,2018,8,16,1,1,37,Braamfontein,-7.0
36,2018,8,16,1,1,38,Braamfontein,-6.48
37,2018,8,16,1,1,39,Braamfontein,-4.64
38,2018,8,16,1,1,40,Braamfontein,-6.16
39,2018,8,16,1,1,41,Braamfontein,-4.89
40,2018,8,16,1,1,42,Braamfontein,-4.57
41,2018,8,16,1,1,43,Braamfontein,-4.52
42,2018,8,16,1,1,44,Braamfontein,-6.0
43,2018,8,16,1,1,45,Braamfontein,-6.17
