ID,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,LOCATION,TEMPERATURE
0,2018,8,16,1,1,2,Kensington,5.0
1,2018,8,16,1,1,3,Kensington,3.42
2,2018,8,16,1,1,4,Kensington,2.8
3,2018,8,16,1,1,5,Kensington,3.79
4,2018,8,16,1,1,6,Kensington,4.32
5,2018,8,16,1,1,7,Kensington,5.64
6,2018,8,16,1,1,8,Kensington,5.96
7,2018,8,16,1,1,9,Kensington,7.36
8,2018,8,16,1,1,10,Kensington,8.27
9,2018,8,16,1,1,11,Kensington,10.04
10,2018,8,16,1,1,12,Kensington,10.52
11,2018,8,16,1,1,13,Kensington,11.82
12,2018,8,16,1,1,14,Kensington,12.98
13,2018,8,16,1,1,15,Kensington,14.92
14,2018,8,16,1,1,16,Kensington,14.47
15,2018,8,16,1,1,17,Kensington,12.59
16,2018,8,16,1,1,18,Kensington,11.28
17,2018,8,16,1,1,19,Kensington,12.42
18,2018,8,16,1,1,20,Kensington,11.12
19,2018,8,16,1,1,21,Kensington,12.54
20,2018,8,16,1,1,22,Kensington,12.8
21,2018,8,16,1,1,23,Kensington,11.62
22,2018,8,16,1,1,24,Kensington,10.7
23,2018,8,16,1,1,25,Kensington,9.74
24,2018,8,16,1,1,26,Kensington,9.74
25,2018,8,16,1,1,27,Kensington,9.9
26,2018,8,16,1,1,28,Kensington,10.48
27,2018,8,16,1,1,29,Kensington,9.36
28,2018,8,16,1,1,30,Kensington,9.62
29,2018,8,16,1,1,31,Kensington,9.12
30,2018,8,16,1,1,32,Kensington,8.92
31,2018,8,16,1,1,33,Kensington,10.24
32,2018,8,16,1,1,34,Kensington,10.63
33,2018,8,16,1,1,35,Kensington,9.54
34,2018,8,16,1,1,36,Kensington,9.08
35,2018,8,16,1,1,37,Kensington,7.19
36,2018,8,16,1,1,38,Kensington,8.3
37,2018,8,16,1,1,39,Kensington,7.19
38,2018,8,16,1,1,40,Kensington,9.15
39,2018,8,16,1,1,41,Kensington,8.91
40,2018,8,16,1,1,42,Kensington,8.03
41,2018,8,16,1,1,43,Kensington,8.56
42,2018,8,16,1,1,44,Kensington,8.44
43,2018,8,16,1,1,45,Kensington,8.06
44,2018,8,16,1,1,46,Kensington,9.07
45,2018,8,16,1,1,47,Kensington,8.27
46,2018,8,16,1,1,48,Kensington,10.24
47,2018,8,16,1,1,49,Kensington,9.2
48,2018,8,16,1,1,50,Kensington,8.88
49,2018,8,16,1,1,51,Kensington,10.83
50,2018,8,16,1,1,52,Kensington,12.16
51,2018,8,16,1,1,53,Kensington,13.2
52,2018,8,16,1,1,54,Kensington,14.84
53,2018,8,16,1,1,55,Kensington,15.48
54,2018,8,16,1,1,56,Kensington,17.200001
55,2018,8,16,1,1,57,Kensington,15.87
56,2018,8,16,1,1,58,Kensington,16.620001
57,2018,8,16,1,1,59,Kensington,18.24
58,2018,8,16,1,1,60,Kensington,18.940001
59,2018,8,16,1,2,1,Kensington,18.870001
60,2018,8,16,1,2,2,Kensington,16.92
61,2018,8,16,1,2,3,Kensington,18.51
62,2018,8,16,1,2,4,Kensington,19.59
63,2018,8,16,1,2,5,Kensington,19.030001
64,2018,8,16,1,2,6,Kensington,19.48
65,2018,8,16,1,2,7,Kensington,21.059999
66,2018,8,16,1,2,8,Kensington,22.629999
67,2018,8,16,1,2,9,Kensington,23.379999
68,2018,8,16,1,2,10,Kensington,23.52
69,2018,8,16,1,2,11,Kensington,23.360001
70,2018,8,16,1,2,12,Kensington,22.68
71,2018,8,16,1,2,13,Kensington,21.700001
72,2018,8,16,1,2,14,Kensington,22.299999
73,2018,8,16,1,2,15,Kensington,20.709999
74,2018,8,16,1,2,16,Kensington,21.280001
75,2018,8,16,1,2,17,Kensington,21.700001
76,2018,8,16,1,2,18,Kensington,22.83
77,2018,8,16,1,2,19,Kensington,21.120001
78,2018,8,16,1,2,20,Kensington,22.08
79,2018,8,16,1,2,21,Kensington,21.389999
80,2018,8,16,1,2,22,Kensington,19.67
81,2018,8,16,1,2,23,Kensington,19.190001
82,2018,8,16,1,2,24,Kensington,20.0
83,2018,8,16,1,2,25,Kensington,20.18
84,2018,8,16,1,2,26,Kensington,19.08
85,2018,8,16,1,2,27,Kensington,18.0
86,2018,8,16,1,2,28,Kensington,17.15
87,2018,8,16,1,2,29,Kensington,15.75
88,2018,8,16,1,2,30,Kensington,14.92
89,2018,8,16,1,2,31,Kensington,15.11
90,2018,8,16,1,2,32,Kensington,13.71
91,2018,8,16,1,2,33,Kensington,13.22
92,2018,8,16,1,2,34,Kensington,15.03
93,2018,8,16,1,2,35,Kensington,16.52
94,2018,8,16,1,2,36,Kensington,15.78
95,2018,8,16,1,2,37,Kensington,15.95
96,2018,8,16,1,2,38,Kensington,16.379999
97,2018,8,16,1,2,39,Kensington,16.51
98,2018,8,16,1,2,40,Kensington,16.18
99,2018,8,16,1,2,41,Kensington,15.02
100,2018,8,16,1,2,42,Kensington,15.31
101,2018,8,16,1,2,43,Kensington,13.87
102,2018,8,16,1,2,44,Kensington,14.5
103,2018,8,16,1,2,45,Kensington,16.16
104,2018,8,16,1,2,46,Kensington,14.44
105,2018,8,16,1,2,47,Kensington,13.07
106,2018,8,16,1,2,48,Kensington,11.56
107,2018,8,16,1,2,49,Kensington,10.24
108,2018,8,16,1,2,50,Kensington,8.38
109,2018,8,16,1,2,51,Kensington,10.18
110,2018,8,16,1,2,52,Kensington,9.0
111,2018,8,16,1,2,53,Kensington,10.6
112,2018,8,16,1,2,54,Kensington,9.66
113,2018,8,16,1,2,55,Kensington,9.02
114,2018,8,16,1,2,56,Kensington,9.4
115,2018,8,16,1,2,57,Kensington,8.24
116,2018,8,16,1,2,58,Kensington,8.02
117,2018,8,16,1,2,59,Kensington,7.14
118,2018,8,16,1,2,60,Kensington,5.99
119,2018,8,16,1,3,1,Kensington,4.59
120,2018,8,16,1,3,2,Kensington,4.24
121,2018,8,16,1,3,3,Kensington,2.51
122,2018,8,16,1,3,4,Kensington,1.2
123,2018,8,16,1,3,5,Kensington,1.76
124,2018,8,16,1,3,6,Kensington,2.56
125,2018,8,16,1,3,7,Kensington,4.55
126,2018,8,16,1,3,8,Kensington,4.92
127,2018,8,16,1,3,9,Kensington,4.68
128,2018,8,16,1,3,10,Kensington,6.4
129,2018,8,16,1,3,11,Kensington,5.14
130,2018,8,16,1,3,12,Kensington,5.34
131,2018,8,16,1,3,13,Kensington,4.99
132,2018,8,16,1,3,14,Kensington,5.62
133,2018,8,16,1,3,15,Kensington,3.67
134,2018,8,16,1,3,16,Kensington,5.42
135,2018,8,16,1,3,17,Kensington,4.3
136,2018,8,16,1,3,18,Kensington,6.14
137,2018,8,16,1,3,19,Kensington,4.32
138,2018,8,16,1,3,20,Kensington,5.87
139,2018,8,16,1,3,21,Kensington,6.42
140,2018,8,16,1,3,22,Kensington,7.32
141,2018,8,16,1,3,23,Kensington,8.14
142,2018,8,16,1,3,24,Kensington,8.48
143,2018,8,16,1,3,25,Kensington,6.83
144,2018,8,16,1,3,26,Kensington,7.71
145,2018,8,16,1,3,27,Kensington,7.52
146,2018,8,16,1,3,28,Kensington,9.27
147,2018,8,16,1,3,29,Kensington,9.78
148,2018,8,16,1,3,30,Kensington,9.51
149,2018,8,16,1,3,31,Kensington,11.35
150,2018,8,16,1,3,32,Kensington,11.22
151,2018,8,16,1,3,33,Kensington,9.36
152,2018,8,16,1,3,34,Kensington,9.6
153,2018,8,16,1,3,35,Kensington,9.06
154,2018,8,16,1,3,36,Kensington,7.39
155,2018,8,16,1,3,37,Kensington,6.03
156,2018,8,16,1,3,38,Kensington,5.98
157,2018,8,16,1,3,39,Kensington,5.98
158,2018,8,16,1,3,40,Kensington,4.52
159,2018,8,16,1,3,41,Kensington,5.32
160,2018,8,16,1,3,42,Kensington,4.39
161,2018,8,16,1,3,43,Kensington,2.54
162,2018,8,16,1,3,44,Kensington,3.35
163,2018,8,16,1,3,45,Kensington,5.24
164,2018,8,16,1,3,46,Kensington,5.48
165,2018,8,16,1,3,47,Kensington,4.19
166,2018,8,16,1,3,48,Kensington,2.48
167,2018,8,16,1,3,49,Kensington,3.07
168,2018,8,16,1,3,50,Kensington,1.62
169,2018,8,16,1,3,51,Kensington,2.47
170,2018,8,16,1,3,52,Kensington,3.5
171,2018,8,16,1,3,53,Kensington,5.38
172,2018,8,16,1,3,54,Kensington,5.15
173,2018,8,16,1,3,55,Kensington,6.34
174,2018,8,16,1,3,56,Kensington,7.59
175,2018,8,16,1,3,57,Kensington,6.54
176,2018,8,16,1,3,58,Kensington,4.8
177,2018,8,16,1,3,59,Kensington,3.24
178,2018,8,16,1,3,60,Kensington,1.56
179,2018,8,16,1,4,1,Kensington,2.19
180,2018,8,16,1,4,2,Kensington,1.46
181,2018,8,16,1,4,3,Kensington,3.08
182,2018,8,16,1,4,4,Kensington,4.78
183,2018,8,16,1,4,5,Kensington,5.46
184,2018,8,16,1,4,6,Kensington,7.35
185,2018,8,16,1,4,7,Kensington,9.16
186,2018,8,16,1,4,8,Kensington,10.48
187,2018,8,16,1,4,9,Kensington,10.63
188,2018,8,16,1,4,10,Kensington,9.54
189,2018,8,16,1,4,11,Kensington,9.22
190,2018,8,16,1,4,12,Kensington,10.16
191,2018,8,16,1,4,13,Kensington,12.11
192,2018,8,16,1,4,14,Kensington,10.62
193,2018,8,16,1,4,15,Kensington,9.27
194,2018,8,16,1,4,16,Kensington,10.19
195,2018,8,16,1,4,17,Kensington,9.22
196,2018,8,16,1,4,18,Kensington,8.48
197,2018,8,16,1,4,19,Kensington,6.74
