ID,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,LOCATION,TEMPERATURE
0,2018,8,16,1,1,2,Limpopo,1.16
1,2018,8,16,1,1,3,Limpopo,3.07
2,2018,8,16,1,1,4,Limpopo,3.59
3,2018,8,16,1,1,5,Limpopo,2.52
4,2018,8,16,1,1,6,Limpopo,2.27
5,2018,8,16,1,1,7,Limpopo,2.84
6,2018,8,16,1,1,8,Limpopo,3.27
7,2018,8,16,1,1,9,Limpopo,1.28
8,2018,8,16,1,1,10,Limpopo,2.87
9,2018,8,16,1,1,11,Limpopo,1.98
10,2018,8,16,1,1,12,Limpopo,3.76
11,2018,8,16,1,1,13,Limpopo,1.96
12,2018,8,16,1,1,14,Limpopo,0.15
13,2018,8,16,1,1,15,Limpopo,-0.78
14,2018,8,16,1,1,16,Limpopo,0.54
15,2018,8,16,1,1,17,Limpopo,2.28
16,2018,8,16,1,1,18,Limpopo,3.43
17,2018,8,16,1,1,19,Limpopo,3.51
18,2018,8,16,1,1,20,Limpopo,4.27
19,2018,8,16,1,1,21,Limpopo,5.44
20,2018,8,16,1,1,22,Limpopo,6.0
21,2018,8,16,1,1,23,Limpopo,4.27
22,2018,8,16,1,1,24,Limpopo,2.71
23,2018,8,16,1,1,25,Limpopo,2.35
24,2018,8,16,1,1,26,Limpopo,3.95
25,2018,8,16,1,1,27,Limpopo,4.32
26,2018,8,16,1,1,28,Limpopo,2.8
27,2018,8,16,1,1,29,Limpopo,1.54
28,2018,8,16,1,1,30,Limpopo,-0.41
29,2018,8,16,1,1,31,Limpopo,-1.2
30,2018,8,16,1,1,32,Limpopo,-1.8
31,2018,8,16,1,1,33,Limpopo,-1.97
32,2018,8,16,1,1,34,Limpopo,-3.78
33,2018,8,16,1,1,35,Limpopo,-2.12
34,2018,8,16,1,1,36,Limpopo,-3.24
35,2018,8,16,1,1,37,Limpopo,-1.28
36,2018,8,16,1,1,38,Limpopo,-2.7
37,2018,8,16,1,1,39,Limpopo,-1.02
38,2018,8,16,1,1,40,Limpopo,-0.56
39,2018,8,16,1,1,41,Limpopo,-1.6
40,2018,8,16,1,1,42,Limpopo,-1.72
41,2018,8,16,1,1,43,Limpopo,-3.05
42,2018,8,16,1,1,44,Limpopo,-2.02
43,2018,8,16,1,1,45,Limpopo,-2.84
44,2018,8,16,1,1,46,Limpopo,-2.57
45,2018,8,16,1,1,47,Limpopo,-3.6
46,2018,8,16,1,1,48,Limpopo,-2.48
47,2018,8,16,1,1,49,Limpopo,-2.37
48,2018,8,16,1,1,50,Limpopo,-0.89
49,2018,8,16,1,1,51,Limpopo,0.72
50,2018,8,16,1,1,52,Limpopo,0.24
51,2018,8,16,1,1,53,Limpopo,0.56
52,2018,8,16,1,1,54,Limpopo,-1.36
53,2018,8,16,1,1,55,Limpopo,0.04
54,2018,8,16,1,1,56,Limpopo,1.59
55,2018,8,16,1,1,57,Limpopo,2.63
56,2018,8,16,1,1,58,Limpopo,2.38
57,2018,8,16,1,1,59,Limpopo,1.94
58,2018,8,16,1,1,60,Limpopo,1.19
59,2018,8,16,1,2,1,Limpopo,0.18
60,2018,8,16,1,2,2,Limpopo,0.86
61,2018,8,16,1,2,3,Limpopo,2.24
62,2018,8,16,1,2,4,Limpopo,3.66
63,2018,8,16,1,2,5,Limpopo,3.24
64,2018,8,16,1,2,6,Limpopo,4.46
65,2018,8,16,1,2,7,Limpopo,3.27
66,2018,8,16,1,2,8,Limpopo,1.47
67,2018,8,16,1,2,9,Limpopo,1.27
68,2018,8,16,1,2,10,Limpopo,2.42
69,2018,8,16,1,2,11,Limpopo,1.58
70,2018,8,16,1,2,12,Limpopo,2.06
71,2018,8,16,1,2,13,Limpopo,0.22
72,2018,8,16,1,2,14,Limpopo,-1.06
73,2018,8,16,1,2,15,Limpopo,-2.94
74,2018,8,16,1,2,16,Limpopo,-4.81
75,2018,8,16,1,2,17,Limpopo,-3.28
76,2018,8,16,1,2,18,Limpopo,-1.78
77,2018,8,16,1,2,19,Limpopo,-0.7
78,2018,8,16,1,2,20,Limpopo,-2.18
79,2018,8,16,1,2,21,Limpopo,-1.86
80,2018,8,16,1,2,22,Limpopo,-2.52
81,2018,8,16,1,2,23,Limpopo,-0.7
82,2018,8,16,1,2,24,Limpopo,0.03
83,2018,8,16,1,2,25,Limpopo,2.02
84,2018,8,16,1,2,26,Limpopo,1.32
85,2018,8,16,1,2,27,Limpopo,0.44
86,2018,8,16,1,2,28,Limpopo,2.32
87,2018,8,16,1,2,29,Limpopo,1.34
88,2018,8,16,1,2,30,Limpopo,0.58
89,2018,8,16,1,2,31,Limpopo,1.24
90,2018,8,16,1,2,32,Limpopo,-0.42
91,2018,8,16,1,2,33,Limpopo,0.06
92,2018,8,16,1,2,34,Limpopo,2.04
93,2018,8,16,1,2,35,Limpopo,2.31
94,2018,8,16,1,2,36,Limpopo,3.14
95,2018,8,16,1,2,37,Limpopo,2.78
96,2018,8,16,1,2,38,Limpopo,4.0
97,2018,8,16,1,2,39,Limpopo,4.02
98,2018,8,16,1,2,40,Limpopo,3.83
99,2018,8,16,1,2,41,Limpopo,3.72
100,2018,8,16,1,2,42,Limpopo,2.71
101,2018,8,16,1,2,43,Limpopo,1.9
102,2018,8,16,1,2,44,Limpopo,1.91
103,2018,8,16,1,2,45,Limpopo,0.08
104,2018,8,16,1,2,46,Limpopo,1.6
105,2018,8,16,1,2,47,Limpopo,3.48
106,2018,8,16,1,2,48,Limpopo,3.3
107,2018,8,16,1,2,49,Limpopo,2.51
108,2018,8,16,1,2,50,Limpopo,1.34
109,2018,8,16,1,2,51,Limpopo,2.43
110,2018,8,16,1,2,52,Limpopo,2.55
111,2018,8,16,1,2,53,Limpopo,4.3
112,2018,8,16,1,2,54,Limpopo,5.19
113,2018,8,16,1,2,55,Limpopo,3.9
114,2018,8,16,1,2,56,Limpopo,3.7
115,2018,8,16,1,2,57,Limpopo,1.87
116,2018,8,16,1,2,58,Limpopo,2.26
117,2018,8,16,1,2,59,Limpopo,2.84
118,2018,8,16,1,2,60,Limpopo,1.46
119,2018,8,16,1,3,1,Limpopo,-0.42
120,2018,8,16,1,3,2,Limpopo,-0.74
121,2018,8,16,1,3,3,Limpopo,0.32
122,2018,8,16,1,3,4,Limpopo,-1.61
123,2018,8,16,1,3,5,Limpopo,-1.33
124,2018,8,16,1,3,6,Limpopo,-2.4
125,2018,8,16,1,3,7,Limpopo,-1.46
126,2018,8,16,1,3,8,Limpopo,0.47
127,2018,8,16,1,3,9,Limpopo,1.48
128,2018,8,16,1,3,10,Limpopo,0.56
129,2018,8,16,1,3,11,Limpopo,-0.14
130,2018,8,16,1,3,12,Limpopo,-0.02
131,2018,8,16,1,3,13,Limpopo,-0.64
132,2018,8,16,1,3,14,Limpopo,-0.24
133,2018,8,16,1,3,15,Limpopo,-0.37
134,2018,8,16,1,3,16,Limpopo,-2.2
135,2018,8,16,1,3,17,Limpopo,-3.8
136,2018,8,16,1,3,18,Limpopo,-2.24
137,2018,8,16,1,3,19,Limpopo,-2.61
138,2018,8,16,1,3,20,Limpopo,-0.62
139,2018,8,16,1,3,21,Limpopo,-2.42
140,2018,8,16,1,3,22,Limpopo,-0.97
141,2018,8,16,1,3,23,Limpopo,-2.89
142,2018,8,16,1,3,24,Limpopo,-1.46
143,2018,8,16,1,3,25,Limpopo,-0.76
144,2018,8,16,1,3,26,Limpopo,-1.84
145,2018,8,16,1,3,27,Limpopo,-3.78
146,2018,8,16,1,3,28,Limpopo,-3.1
147,2018,8,16,1,3,29,Limpopo,-3.9
148,2018,8,16,1,3,30,Limpopo,-2.02
149,2018,8,16,1,3,31,Limpopo,-4.01
150,2018,8,16,1,3,32,Limpopo,-2.8
151,2018,8,16,1,3,33,Limpopo,-2.65
152,2018,8,16,1,3,34,Limpopo,-3.62
153,2018,8,16,1,3,35,Limpopo,-3.94
154,2018,8,16,1,3,36,Limpopo,-5.2
155,2018,8,16,1,3,37,Limpopo,-3.61
156,2018,8,16,1,3,38,Limpopo,-5.4
157,2018,8,16,1,3,39,Limpopo,-5.86
158,2018,8,16,1,3,40,Limpopo,-4.12
159,2018,8,16,1,3,41,Limpopo,-4.89
160,2018,8,16,1,3,42,Limpopo,-2.96
