ID,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,LOCATION,TEMPERATURE
0,2018,8,16,1,1,2,Sunninghill,-2.46
1,2018,8,16,1,1,3,Sunninghill,-1.18
2,2018,8,16,1,1,4,Sunninghill,-2.54
3,2018,8,16,1,1,5,Sunninghill,-4.3
4,2018,8,16,1,1,6,Sunninghill,-2.88
5,2018,8,16,1,1,7,Sunninghill,-1.62
6,2018,8,16,1,1,8,Sunninghill,-3.18
7,2018,8,16,1,1,9,Sunninghill,-1.54
8,2018,8,16,1,1,10,Sunninghill,-2.54
9,2018,8,16,1,1,11,Sunninghill,-2.05
10,2018,8,16,1,1,12,Sunninghill,-3.34
11,2018,8,16,1,1,13,Sunninghill,-2.53
12,2018,8,16,1,1,14,Sunninghill,-3.36
13,2018,8,16,1,1,15,Sunninghill,-1.72
14,2018,8,16,1,1,16,Sunninghill,-2.62
15,2018,8,16,1,1,17,Sunninghill,-1.52
16,2018,8,16,1,1,18,Sunninghill,-2.74
17,2018,8,16,1,1,19,Sunninghill,-1.46
18,2018,8,16,1,1,20,Sunninghill,-2.81
19,2018,8,16,1,1,21,Sunninghill,-4.52
20,2018,8,16,1,1,22,Sunninghill,-2.62
21,2018,8,16,1,1,23,Sunninghill,-2.54
22,2018,8,16,1,1,24,Sunninghill,-1.86
23,2018,8,16,1,1,25,Sunninghill,-2.13
24,2018,8,16,1,1,26,Sunninghill,-0.94
25,2018,8,16,1,1,27,Sunninghill,-2.49
26,2018,8,16,1,1,28,Sunninghill,-4.04
27,2018,8,16,1,1,29,Sunninghill,-5.38
28,2018,8,16,1,1,30,Sunninghill,-7.05
29,2018,8,16,1,1,31,Sunninghill,-7.32
30,2018,8,16,1,1,32,Sunninghill,-8.25
31,2018,8,16,1,1,33,Sunninghill,-6.96
32,2018,8,16,1,1,34,Sunninghill,-8.17
33,2018,8,16,1,1,35,Sunninghill,-7.05
34,2018,8,16,1,1,36,Sunninghill,-7.73
35,2018,8,16,1,1,37,Sunninghill,-7.29
36,2018,8,16,1,1,38,Sunninghill,-6.46
37,2018,8,16,1,1,39,Sunninghill,-7.58
38,2018,8,16,1,1,40,Sunninghill,-7.32
39,2018,8,16,1,1,41,Sunninghill,-8.18
40,2018,8,16,1,1,42,Sunninghill,-7.68
41,2018,8,16,1,1,43,Sunninghill,-6.38
42,2018,8,16,1,1,44,Sunninghill,-5.36
43,2018,8,16,1,1,45,Sunninghill,-3.93
44,2018,8,16,1,1,46,Sunninghill,-4.68
45,2018,8,16,1,1,47,Sunninghill,-4.82
46,2018,8,16,1,1,48,Sunninghill,-4.97
47,2018,8,16,1,1,49,Sunninghill,-6.13
48,2018,8,16,1,1,50,Sunninghill,-5.42
49,2018,8,16,1,1,51,Sunninghill,-4.36
50,2018,8,16,1,1,52,Sunninghill,-6.36
51,2018,8,16,1,1,53,Sunninghill,-6.84
52,2018,8,16,1,1,54,Sunninghill,-6.6
53,2018,8,16,1,1,55,Sunninghill,-8.14
54,2018,8,16,1,1,56,Sunninghill,-7.88
55,2018,8,16,1,1,57,Sunninghill,-9.09
56,2018,8,16,1,1,58,Sunninghill,-7.18
57,2018,8,16,1,1,59,Sunninghill,-8.42
58,2018,8,16,1,1,60,Sunninghill,-7.84
59,2018,8,16,1,2,1,Sunninghill,-7.58
60,2018,8,16,1,2,2,Sunninghill,-9.09
61,2018,8,16,1,2,3,Sunninghill,-9.54
62,2018,8,16,1,2,4,Sunninghill,-7.92
63,2018,8,16,1,2,5,Sunninghill,-7.36
64,2018,8,16,1,2,6,Sunninghill,-9.12
65,2018,8,16,1,2,7,Sunninghill,-7.57
66,2018,8,16,1,2,8,Sunninghill,-7.05
67,2018,8,16,1,2,9,Sunninghill,-7.88
68,2018,8,16,1,2,10,Sunninghill,-8.1
69,2018,8,16,1,2,11,Sunninghill,-8.32
70,2018,8,16,1,2,12,Sunninghill,-9.84
71,2018,8,16,1,2,13,Sunninghill,-9.46
72,2018,8,16,1,2,14,Sunninghill,-7.84
73,2018,8,16,1,2,15,Sunninghill,-8.33
74,2018,8,16,1,2,16,Sunninghill,-9.14
75,2018,8,16,1,2,17,Sunninghill,-7.58
76,2018,8,16,1,2,18,Sunninghill,-8.28
77,2018,8,16,1,2,19,Sunninghill,-7.38
78,2018,8,16,1,2,20,Sunninghill,-7.54
79,2018,8,16,1,2,21,Sunninghill,-8.73
80,2018,8,16,1,2,22,Sunninghill,-9.57
81,2018,8,16,1,2,23,Sunninghill,-7.94
82,2018,8,16,1,2,24,Sunninghill,-8.22
83,2018,8,16,1,2,25,Sunninghill,-8.64
84,2018,8,16,1,2,26,Sunninghill,-6.89
85,2018,8,16,1,2,27,Sunninghill,-6.58
86,2018,8,16,1,2,28,Sunninghill,-6.97
87,2018,8,16,1,2,29,Sunninghill,-6.64
88,2018,8,16,1,2,30,Sunninghill,-8.62
89,2018,8,16,1,2,31,Sunninghill,-7.78
90,2018,8,16,1,2,32,Sunninghill,-5.85
91,2018,8,16,1,2,33,Sunninghill,-5.49
92,2018,8,16,1,2,34,Sunninghill,-3.53
93,2018,8,16,1,2,35,Sunninghill,-1.78
94,2018,8,16,1,2,36,Sunninghill,-2.12
95,2018,8,16,1,2,37,Sunninghill,-0.12
96,2018,8,16,1,2,38,Sunninghill,-2.1
97,2018,8,16,1,2,39,Sunninghill,-4.06
98,2018,8,16,1,2,40,Sunninghill,-2.76
99,2018,8,16,1,2,41,Sunninghill,-3.68
