ID,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,LOCATION,TEMPERATURE
0,2018,8,16,1,1,2,Braamfontein,21.52
1,2018,8,16,1,1,3,Braamfontein,20.219999
2,2018,8,16,1,1,4,Braamfontein,22.030001
3,2018,8,16,1,1,5,Braamfontein,21.51
4,2018,8,16,1,1,6,Braamfontein,20.110001
5,2018,8,16,1,1,7,Braamfontein,18.639999
6,2018,8,16,1,1,8,Braamfontein,19.120001
7,2018,8,16,1,1,9,Braamfontein,17.719999
8,2018,8,16,1,1,10,Braamfontein,16.75
9,2018,8,16,1,1,11,Braamfontein,16.110001
10,2018,8,16,1,1,12,Braamfontein,16.24
11,2018,8,16,1,1,13,Braamfontein,16.18
12,2018,8,16,1,1,14,Braamfontein,15.16
13,2018,8,16,1,1,15,Braamfontein,15.08
14,2018,8,16,1,1,16,Braamfontein,13.52
15,2018,8,16,1,1,17,Braamfontein,13.67
16,2018,8,16,1,1,18,Braamfontein,14.8
17,2018,8,16,1,1,19,Braamfontein,13.08
18,2018,8,16,1,1,20,Braamfontein,14.16
19,2018,8,16,1,1,21,Braamfontein,14.26
20,2018,8,16,1,1,22,Braamfontein,15.15
21,2018,8,16,1,1,23,Braamfontein,13.43
22,2018,8,16,1,1,24,Braamfontein,12.35
23,2018,8,16,1,1,25,Braamfontein,11.88
24,2018,8,16,1,1,26,Braamfontein,12.06
25,2018,8,16,1,1,27,Braamfontein,13.63
26,2018,8,16,1,1,28,Braamfontein,11.78
27,2018,8,16,1,1,29,Braamfontein,10.26
28,2018,8,16,1,1,30,Braamfontein,8.43
29,2018,8,16,1,1,31,Braamfontein,8.11
30,2018,8,16,1,1,32,Braamfontein,9.2
31,2018,8,16,1,1,33,Braamfontein,9.43
32,2018,8,16,1,1,34,Braamfontein,11.38
33,2018,8,16,1,1,35,Braamfontein,11.32
34,2018,8,16,1,1,36,Braamfontein,10.72
35,2018,8,16,1,1,37,Braamfontein,9.51
36,2018,8,16,1,1,38,Braamfontein,9.94
37,2018,8,16,1,1,39,Braamfontein,10.31
38,2018,8,16,1,1,40,Braamfontein,8.95
39,2018,8,16,1,1,41,Braamfontein,7.23
40,2018,8,16,1,1,42,Braamfontein,7.48
41,2018,8,16,1,1,43,Braamfontein,7.84
42,2018,8,16,1,1,44,Braamfontein,6.51
43,2018,8,16,1,1,45,Braamfontein,8.4
44,2018,8,16,1,1,46,Braamfontein,6.96
45,2018,8,16,1,1,47,Braamfontein,6.27
46,2018,8,16,1,1,48,Braamfontein,7.99
47,2018,8,16,1,1,49,Braamfontein,7.92
48,2018,8,16,1,1,50,Braamfontein,8.15
49,2018,8,16,1,1,51,Braamfontein,9.99
50,2018,8,16,1,1,52,Braamfontein,9.78
51,2018,8,16,1,1,53,Braamfontein,9.12
52,2018,8,16,1,1,54,Braamfontein,7.4
53,2018,8,16,1,1,55,Braamfontein,6.19
54,2018,8,16,1,1,56,Braamfontein,6.08
55,2018,8,16,1,1,57,Braamfontein,5.87
56,2018,8,16,1,1,58,Braamfontein,4.11
57,2018,8,16,1,1,59,Braamfontein,2.54
58,2018,8,16,1,1,60,Braamfontein,3.51
59,2018,8,16,1,2,1,Braamfontein,3.11
60,2018,8,16,1,2,2,Braamfontein,3.54
61,2018,8,16,1,2,3,Braamfontein,5.46
62,2018,8,16,1,2,4,Braamfontein,3.86
63,2018,8,16,1,2,5,Braamfontein,5.32
64,2018,8,16,1,2,6,Braamfontein,6.18
65,2018,8,16,1,2,7,Braamfontein,5.75
66,2018,8,16,1,2,8,Braamfontein,4.87
67,2018,8,16,1,2,9,Braamfontein,5.02
68,2018,8,16,1,2,10,Braamfontein,6.24
69,2018,8,16,1,2,11,Braamfontein,6.64
70,2018,8,16,1,2,12,Braamfontein,7.55
71,2018,8,16,1,2,13,Braamfontein,7.71
72,2018,8,16,1,2,14,Braamfontein,8.63
73,2018,8,16,1,2,15,Braamfontein,9.62
74,2018,8,16,1,2,16,Braamfontein,9.16
75,2018,8,16,1,2,17,Braamfontein,7.51
76,2018,8,16,1,2,18,Braamfontein,9.46
77,2018,8,16,1,2,19,Braamfontein,8.1
78,2018,8,16,1,2,20,Braamfontein,6.28
79,2018,8,16,1,2,21,Braamfontein,7.28
80,2018,8,16,1,2,22,Braamfontein,5.56
81,2018,8,16,1,2,23,Braamfontein,4.7
82,2018,8,16,1,2,24,Braamfontein,5.98
83,2018,8,16,1,2,25,Braamfontein,4.46
84,2018,8,16,1,2,26,Braamfontein,5.06
85,2018,8,16,1,2,27,Braamfontein,3.56
86,2018,8,16,1,2,28,Braamfontein,2.27
87,2018,8,16,1,2,29,Braamfontein,4.03
88,2018,8,16,1,2,30,Braamfontein,4.52
89,2018,8,16,1,2,31,Braamfontein,3.08
90,2018,8,16,1,2,32,Braamfontein,1.32
91,2018,8,16,1,2,33,Braamfontein,3.27
92,2018,8,16,1,2,34,Braamfontein,5.15
93,2018,8,16,1,2,35,Braamfontein,6.62
94,2018,8,16,1,2,36,Braamfontein,8.58
95,2018,8,16,1,2,37,Braamfontein,9.9
96,2018,8,16,1,2,38,Braamfontein,11.76
97,2018,8,16,1,2,39,Braamfontein,12.99
98,2018,8,16,1,2,40,Braamfontein,12.24
99,2018,8,16,1,2,41,Braamfontein,13.4
