ID,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,LOCATION,TEMPERATURE
0,2018,8,16,1,1,2,Norwood,5.11
1,2018,8,16,1,1,3,Norwood,4.08
2,2018,8,16,1,1,4,Norwood,6.07
3,2018,8,16,1,1,5,Norwood,6.43
4,2018,8,16,1,1,6,Norwood,4.46
5,2018,8,16,1,1,7,Norwood,4.26
6,2018,8,16,1,1,8,Norwood,4.54
7,2018,8,16,1,1,9,Norwood,3.38
8,2018,8,16,1,1,10,Norwood,1.67
9,2018,8,16,1,1,11,Norwood,3.48
10,2018,8,16,1,1,12,Norwood,3.7
11,2018,8,16,1,1,13,Norwood,2.2
12,2018,8,16,1,1,14,Norwood,2.56
13,2018,8,16,1,1,15,Norwood,1.51
14,2018,8,16,1,1,16,Norwood,0.39
15,2018,8,16,1,1,17,Norwood,-1.33
16,2018,8,16,1,1,18,Norwood,-1.1
17,2018,8,16,1,1,19,Norwood,0.36
18,2018,8,16,1,1,20,Norwood,-1.01
19,2018,8,16,1,1,21,Norwood,-1.49
20,2018,8,16,1,1,22,Norwood,-1.41
21,2018,8,16,1,1,23,Norwood,-2.4
22,2018,8,16,1,1,24,Norwood,-2.81
23,2018,8,16,1,1,25,Norwood,-0.84
24,2018,8,16,1,1,26,Norwood,-1.46
25,2018,8,16,1,1,27,Norwood,-1.97
26,2018,8,16,1,1,28,Norwood,-1.58
27,2018,8,16,1,1,29,Norwood,0.24
28,2018,8,16,1,1,30,Norwood,-0.08
29,2018,8,16,1,1,31,Norwood,1.12
30,2018,8,16,1,1,32,Norwood,-0.46
31,2018,8,16,1,1,33,Norwood,-0.45
32,2018,8,16,1,1,34,Norwood,0.98
33,2018,8,16,1,1,35,Norwood,0.52
34,2018,8,16,1,1,36,Norwood,-0.37
35,2018,8,16,1,1,37,Norwood,0.0
36,2018,8,16,1,1,38,Norwood,-0.84
37,2018,8,16,1,1,39,Norwood,-0.65
38,2018,8,16,1,1,40,Norwood,-2.09
39,2018,8,16,1,1,41,Norwood,-0.98
40,2018,8,16,1,1,42,Norwood,-0.56
41,2018,8,16,1,1,43,Norwood,-0.8
42,2018,8,16,1,1,44,Norwood,-1.85
43,2018,8,16,1,1,45,Norwood,-1.64
44,2018,8,16,1,1,46,Norwood,-0.76
45,2018,8,16,1,1,47,Norwood,-2.01
46,2018,8,16,1,1,48,Norwood,-2.36
47,2018,8,16,1,1,49,Norwood,-2.76
48,2018,8,16,1,1,50,Norwood,-0.85
49,2018,8,16,1,1,51,Norwood,-1.46
50,2018,8,16,1,1,52,Norwood,-1.5
51,2018,8,16,1,1,53,Norwood,-1.57
52,2018,8,16,1,1,54,Norwood,-3.01
53,2018,8,16,1,1,55,Norwood,-4.8
54,2018,8,16,1,1,56,Norwood,-5.28
55,2018,8,16,1,1,57,Norwood,-4.98
56,2018,8,16,1,1,58,Norwood,-6.2
57,2018,8,16,1,1,59,Norwood,-6.9
58,2018,8,16,1,1,60,Norwood,-8.18
59,2018,8,16,1,2,1,Norwood,-6.2
60,2018,8,16,1,2,2,Norwood,-6.78
61,2018,8,16,1,2,3,Norwood,-5.05
62,2018,8,16,1,2,4,Norwood,-4.13
63,2018,8,16,1,2,5,Norwood,-2.45
64,2018,8,16,1,2,6,Norwood,-3.9
65,2018,8,16,1,2,7,Norwood,-2.58
66,2018,8,16,1,2,8,Norwood,-0.58
67,2018,8,16,1,2,9,Norwood,0.42
68,2018,8,16,1,2,10,Norwood,1.62
69,2018,8,16,1,2,11,Norwood,3.4
70,2018,8,16,1,2,12,Norwood,3.64
71,2018,8,16,1,2,13,Norwood,5.0
72,2018,8,16,1,2,14,Norwood,3.9
73,2018,8,16,1,2,15,Norwood,5.58
74,2018,8,16,1,2,16,Norwood,6.4
75,2018,8,16,1,2,17,Norwood,8.31
76,2018,8,16,1,2,18,Norwood,9.67
77,2018,8,16,1,2,19,Norwood,11.16
78,2018,8,16,1,2,20,Norwood,13.12
79,2018,8,16,1,2,21,Norwood,14.07
80,2018,8,16,1,2,22,Norwood,14.0
81,2018,8,16,1,2,23,Norwood,14.8
82,2018,8,16,1,2,24,Norwood,15.54
83,2018,8,16,1,2,25,Norwood,13.54
84,2018,8,16,1,2,26,Norwood,13.56
85,2018,8,16,1,2,27,Norwood,12.11
86,2018,8,16,1,2,28,Norwood,10.94
87,2018,8,16,1,2,29,Norwood,9.35
88,2018,8,16,1,2,30,Norwood,9.22
89,2018,8,16,1,2,31,Norwood,10.8
90,2018,8,16,1,2,32,Norwood,12.3
91,2018,8,16,1,2,33,Norwood,10.47
92,2018,8,16,1,2,34,Norwood,9.48
93,2018,8,16,1,2,35,Norwood,11.43
94,2018,8,16,1,2,36,Norwood,11.35
95,2018,8,16,1,2,37,Norwood,10.46
96,2018,8,16,1,2,38,Norwood,12.0
97,2018,8,16,1,2,39,Norwood,12.78
98,2018,8,16,1,2,40,Norwood,12.43
99,2018,8,16,1,2,41,Norwood,12.56
