ID,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,LOCATION,TEMPERATURE
0,2018,8,16,1,1,2,Parkhurst,-6.36
1,2018,8,16,1,1,3,Parkhurst,-6.62
2,2018,8,16,1,1,4,Parkhurst,-6.81
3,2018,8,16,1,1,5,Parkhurst,-4.94
4,2018,8,16,1,1,6,Parkhurst,-3.49
5,2018,8,16,1,1,7,Parkhurst,-3.16
6,2018,8,16,1,1,8,Parkhurst,-2.45
7,2018,8,16,1,1,9,Parkhurst,-2.72
8,2018,8,16,1,1,10,Parkhurst,-4.41
9,2018,8,16,1,1,11,Parkhurst,-4.3
10,2018,8,16,1,1,12,Parkhurst,-5.36
11,2018,8,16,1,1,13,Parkhurst,-3.92
12,2018,8,16,1,1,14,Parkhurst,-5.41
13,2018,8,16,1,1,15,Parkhurst,-4.25
14,2018,8,16,1,1,16,Parkhurst,-2.38
15,2018,8,16,1,1,17,Parkhurst,-2.97
16,2018,8,16,1,1,18,Parkhurst,-1.46
17,2018,8,16,1,1,19,Parkhurst,-3.34
18,2018,8,16,1,1,20,Parkhurst,-2.32
19,2018,8,16,1,1,21,Parkhurst,-2.98
20,2018,8,16,1,1,22,Parkhurst,-2.81
21,2018,8,16,1,1,23,Parkhurst,-2.7
22,2018,8,16,1,1,24,Parkhurst,-2.16
23,2018,8,16,1,1,25,Parkhurst,-2.94
24,2018,8,16,1,1,26,Parkhurst,-3.92
25,2018,8,16,1,1,27,Parkhurst,-2.12
26,2018,8,16,1,1,28,Parkhurst,-3.25
27,2018,8,16,1,1,29,Parkhurst,-4.98
28,2018,8,16,1,1,30,Parkhurst,-5.28
29,2018,8,16,1,1,31,Parkhurst,-6.32
30,2018,8,16,1,1,32,Parkhurst,-5.49
31,2018,8,16,1,1,33,Parkhurst,-6.1
32,2018,8,16,1,1,34,Parkhurst,-4.49
33,2018,8,16,1,1,35,Parkhurst,-3.76
34,2018,8,16,1,1,36,Parkhurst,-3.61
35,2018,8,16,1,1,37,Parkhurst,-4.8
36,2018,8,16,1,1,38,Parkhurst,-5.7
37,2018,8,16,1,1,39,Parkhurst,-5.68
38,2018,8,16,1,1,40,Parkhurst,-6.6
39,2018,8,16,1,1,41,Parkhurst,-7.46
40,2018,8,16,1,1,42,Parkhurst,-9.01
41,2018,8,16,1,1,43,Parkhurst,-8.09
42,2018,8,16,1,1,44,Parkhurst,-8.08
43,2018,8,16,1,1,45,Parkhurst,-6.84
44,2018,8,16,1,1,46,Parkhurst,-4.92
45,2018,8,16,1,1,47,Parkhurst,-5.41
46,2018,8,16,1,1,48,Parkhurst,-6.92
47,2018,8,16,1,1,49,Parkhurst,-5.93
48,2018,8,16,1,1,50,Parkhurst,-5.5
49,2018,8,16,1,1,51,Parkhurst,-5.7
50,2018,8,16,1,1,52,Parkhurst,-6.22
51,2018,8,16,1,1,53,Parkhurst,-6.68
52,2018,8,16,1,1,54,Parkhurst,-7.69
53,2018,8,16,1,1,55,Parkhurst,-7.46
54,2018,8,16,1,1,56,Parkhurst,-6.88
55,2018,8,16,1,1,57,Parkhurst,-5.48
56,2018,8,16,1,1,58,Parkhurst,-5.7
57,2018,8,16,1,1,59,Parkhurst,-6.36
58,2018,8,16,1,1,60,Parkhurst,-5.92
59,2018,8,16,1,2,1,Parkhurst,-6.02
60,2018,8,16,1,2,2,Parkhurst,-7.41
61,2018,8,16,1,2,3,Parkhurst,-7.41
62,2018,8,16,1,2,4,Parkhurst,-7.36
63,2018,8,16,1,2,5,Parkhurst,-8.88
64,2018,8,16,1,2,6,Parkhurst,-7.24
65,2018,8,16,1,2,7,Parkhurst,-8.7
66,2018,8,16,1,2,8,Parkhurst,-7.53
67,2018,8,16,1,2,9,Parkhurst,-7.02
68,2018,8,16,1,2,10,Parkhurst,-6.57
69,2018,8,16,1,2,11,Parkhurst,-8.04
70,2018,8,16,1,2,12,Parkhurst,-7.88
71,2018,8,16,1,2,13,Parkhurst,-6.74
72,2018,8,16,1,2,14,Parkhurst,-6.46
73,2018,8,16,1,2,15,Parkhurst,-4.78
74,2018,8,16,1,2,16,Parkhurst,-5.09
75,2018,8,16,1,2,17,Parkhurst,-5.61
76,2018,8,16,1,2,18,Parkhurst,-4.53
77,2018,8,16,1,2,19,Parkhurst,-5.22
78,2018,8,16,1,2,20,Parkhurst,-5.46
79,2018,8,16,1,2,21,Parkhurst,-4.54
80,2018,8,16,1,2,22,Parkhurst,-6.48
81,2018,8,16,1,2,23,Parkhurst,-5.7
82,2018,8,16,1,2,24,Parkhurst,-4.82
83,2018,8,16,1,2,25,Parkhurst,-5.18
84,2018,8,16,1,2,26,Parkhurst,-5.93
85,2018,8,16,1,2,27,Parkhurst,-5.3
86,2018,8,16,1,2,28,Parkhurst,-5.3
87,2018,8,16,1,2,29,Parkhurst,-7.0
88,2018,8,16,1,2,30,Parkhurst,-7.74
89,2018,8,16,1,2,31,Parkhurst,-5.98
90,2018,8,16,1,2,32,Parkhurst,-6.8
91,2018,8,16,1,2,33,Parkhurst,-4.88
92,2018,8,16,1,2,34,Parkhurst,-6.34
93,2018,8,16,1,2,35,Parkhurst,-4.48
94,2018,8,16,1,2,36,Parkhurst,-4.81
95,2018,8,16,1,2,37,Parkhurst,-3.86
96,2018,8,16,1,2,38,Parkhurst,-2.81
97,2018,8,16,1,2,39,Parkhurst,-0.9
98,2018,8,16,1,2,40,Parkhurst,0.32
99,2018,8,16,1,2,41,Parkhurst,-0.45
