ID,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,LOCATION,TEMPERATURE
0,2018,8,16,1,1,2,Sandton,9.72
1,2018,8,16,1,1,3,Sandton,11.28
2,2018,8,16,1,1,4,Sandton,12.03
3,2018,8,16,1,1,5,Sandton,13.18
4,2018,8,16,1,1,6,Sandton,13.91
5,2018,8,16,1,1,7,Sandton,13.18
6,2018,8,16,1,1,8,Sandton,13.48
7,2018,8,16,1,1,9,Sandton,12.48
8,2018,8,16,1,1,10,Sandton,11.27
9,2018,8,16,1,1,11,Sandton,10.83
10,2018,8,16,1,1,12,Sandton,10.6
11,2018,8,16,1,1,13,Sandton,9.27
12,2018,8,16,1,1,14,Sandton,10.54
13,2018,8,16,1,1,15,Sandton,12.32
14,2018,8,16,1,1,16,Sandton,10.62
15,2018,8,16,1,1,17,Sandton,11.98
16,2018,8,16,1,1,18,Sandton,11.92
17,2018,8,16,1,1,19,Sandton,10.46
18,2018,8,16,1,1,20,Sandton,10.4
19,2018,8,16,1,1,21,Sandton,10.48
20,2018,8,16,1,1,22,Sandton,12.42
21,2018,8,16,1,1,23,Sandton,13.32
22,2018,8,16,1,1,24,Sandton,12.19
23,2018,8,16,1,1,25,Sandton,13.46
24,2018,8,16,1,1,26,Sandton,12.58
25,2018,8,16,1,1,27,Sandton,12.2
26,2018,8,16,1,1,28,Sandton,10.23
27,2018,8,16,1,1,29,Sandton,9.12
28,2018,8,16,1,1,30,Sandton,8.59
29,2018,8,16,1,1,31,Sandton,10.22
30,2018,8,16,1,1,32,Sandton,11.87
31,2018,8,16,1,1,33,Sandton,11.2
32,2018,8,16,1,1,34,Sandton,10.87
33,2018,8,16,1,1,35,Sandton,12.43
34,2018,8,16,1,1,36,Sandton,12.22
35,2018,8,16,1,1,37,Sandton,10.23
36,2018,8,16,1,1,38,Sandton,10.26
37,2018,8,16,1,1,39,Sandton,11.72
38,2018,8,16,1,1,40,Sandton,12.03
39,2018,8,16,1,1,41,Sandton,13.35
40,2018,8,16,1,1,42,Sandton,14.08
41,2018,8,16,1,1,43,Sandton,13.4
42,2018,8,16,1,1,44,Sandton,12.43
43,2018,8,16,1,1,45,Sandton,13.16
44,2018,8,16,1,1,46,Sandton,12.2
45,2018,8,16,1,1,47,Sandton,13.4
46,2018,8,16,1,1,48,Sandton,14.96
47,2018,8,16,1,1,49,Sandton,16.559999
48,2018,8,16,1,1,50,Sandton,15.59
49,2018,8,16,1,1,51,Sandton,15.32
50,2018,8,16,1,1,52,Sandton,15.3
51,2018,8,16,1,1,53,Sandton,16.120001
52,2018,8,16,1,1,54,Sandton,18.110001
53,2018,8,16,1,1,55,Sandton,17.940001
54,2018,8,16,1,1,56,Sandton,18.32
55,2018,8,16,1,1,57,Sandton,19.59
56,2018,8,16,1,1,58,Sandton,19.83
57,2018,8,16,1,1,59,Sandton,21.559999
58,2018,8,16,1,1,60,Sandton,20.52
59,2018,8,16,1,2,1,Sandton,20.34
60,2018,8,16,1,2,2,Sandton,21.540001
61,2018,8,16,1,2,3,Sandton,19.559999
62,2018,8,16,1,2,4,Sandton,18.34
63,2018,8,16,1,2,5,Sandton,17.51
64,2018,8,16,1,2,6,Sandton,19.389999
65,2018,8,16,1,2,7,Sandton,20.540001
66,2018,8,16,1,2,8,Sandton,19.030001
67,2018,8,16,1,2,9,Sandton,19.799999
68,2018,8,16,1,2,10,Sandton,21.6
69,2018,8,16,1,2,11,Sandton,21.219999
70,2018,8,16,1,2,12,Sandton,22.76
71,2018,8,16,1,2,13,Sandton,22.360001
72,2018,8,16,1,2,14,Sandton,23.040001
73,2018,8,16,1,2,15,Sandton,21.110001
74,2018,8,16,1,2,16,Sandton,22.52
75,2018,8,16,1,2,17,Sandton,21.219999
76,2018,8,16,1,2,18,Sandton,22.91
77,2018,8,16,1,2,19,Sandton,21.32
78,2018,8,16,1,2,20,Sandton,20.51
79,2018,8,16,1,2,21,Sandton,21.299999
80,2018,8,16,1,2,22,Sandton,22.559999
81,2018,8,16,1,2,23,Sandton,21.32
82,2018,8,16,1,2,24,Sandton,20.540001
83,2018,8,16,1,2,25,Sandton,22.42
84,2018,8,16,1,2,26,Sandton,21.620001
85,2018,8,16,1,2,27,Sandton,20.110001
86,2018,8,16,1,2,28,Sandton,21.280001
87,2018,8,16,1,2,29,Sandton,21.24
88,2018,8,16,1,2,30,Sandton,21.719999
89,2018,8,16,1,2,31,Sandton,22.6
90,2018,8,16,1,2,32,Sandton,21.83
91,2018,8,16,1,2,33,Sandton,21.469999
92,2018,8,16,1,2,34,Sandton,23.299999
93,2018,8,16,1,2,35,Sandton,22.219999
94,2018,8,16,1,2,36,Sandton,22.059999
95,2018,8,16,1,2,37,Sandton,22.469999
96,2018,8,16,1,2,38,Sandton,22.08
97,2018,8,16,1,2,39,Sandton,22.76
98,2018,8,16,1,2,40,Sandton,24.620001
99,2018,8,16,1,2,41,Sandton,24.219999
