ID,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,LOCATION,TEMPERATURE
0,2018,8,16,1,1,2,Braamfontein,-9.49
1,2018,8,16,1,1,3,Braamfontein,-9.46
2,2018,8,16,1,1,4,Braamfontein,-7.61
3,2018,8,16,1,1,5,Braamfontein,-8.66
4,2018,8,16,1,1,6,Braamfontein,-6.66
5,2018,8,16,1,1,7,Braamfontein,-5.32
6,2018,8,16,1,1,8,Braamfontein,-4.29
7,2018,8,16,1,1,9,Braamfontein,-5.86
8,2018,8,16,1,1,10,Braamfontein,-7.04
9,2018,8,16,1,1,11,Braamfontein,-5.36
10,2018,8,16,1,1,12,Braamfontein,-5.52
11,2018,8,16,1,1,13,Braamfontein,-3.89
12,2018,8,16,1,1,14,Braamfontein,-2.65
13,2018,8,16,1,1,15,Braamfontein,-2.04
14,2018,8,16,1,1,16,Braamfontein,-1.82
15,2018,8,16,1,1,17,Braamfontein,-0.08
16,2018,8,16,1,1,18,Braamfontein,1.3
17,2018,8,16,1,1,19,Braamfontein,-0.08
18,2018,8,16,1,1,20,Braamfontein,-0.08
19,2018,8,16,1,1,21,Braamfontein,-1.0
20,2018,8,16,1,1,22,Braamfontein,0.58
21,2018,8,16,1,1,23,Braamfontein,-0.41
22,2018,8,16,1,1,24,Braamfontein,1.47
23,2018,8,16,1,1,25,Braamfontein,3.03
24,2018,8,16,1,1,26,Braamfontein,4.51
25,2018,8,16,1,1,27,Braamfontein,4.38
26,2018,8,16,1,1,28,Braamfontein,6.19
27,2018,8,16,1,1,29,Braamfontein,6.0
28,2018,8,16,1,1,30,Braamfontein,7.14
29,2018,8,16,1,1,31,Braamfontein,8.4
30,2018,8,16,1,1,32,Braamfontein,9.24
31,2018,8,16,1,1,33,Braamfontein,8.67
32,2018,8,16,1,1,34,Braamfontein,8.94
33,2018,8,16,1,1,35,Braamfontein,10.22
34,2018,8,16,1,1,36,Braamfontein,8.3
35,2018,8,16,1,1,37,Braamfontein,7.54
36,2018,8,16,1,1,38,Braamfontein,9.51
37,2018,8,16,1,1,39,Braamfontein,8.63
38,2018,8,16,1,1,40,Braamfontein,7.64
39,2018,8,16,1,1,41,Braamfontein,9.27
40,2018,8,16,1,1,42,Braamfontein,7.54
41,2018,8,16,1,1,43,Braamfontein,8.96
42,2018,8,16,1,1,44,Braamfontein,10.9
43,2018,8,16,1,1,45,Braamfontein,11.15
44,2018,8,16,1,1,46,Braamfontein,9.36
45,2018,8,16,1,1,47,Braamfontein,10.62
46,2018,8,16,1,1,48,Braamfontein,11.02
47,2018,8,16,1,1,49,Braamfontein,12.36
48,2018,8,16,1,1,50,Braamfontein,13.99
49,2018,8,16,1,1,51,Braamfontein,15.07
50,2018,8,16,1,1,52,Braamfontein,13.31
51,2018,8,16,1,1,53,Braamfontein,13.14
52,2018,8,16,1,1,54,Braamfontein,13.39
53,2018,8,16,1,1,55,Braamfontein,11.94
54,2018,8,16,1,1,56,Braamfontein,10.06
55,2018,8,16,1,1,57,Braamfontein,10.35
56,2018,8,16,1,1,58,Braamfontein,11.43
57,2018,8,16,1,1,59,Braamfontein,10.19
58,2018,8,16,1,1,60,Braamfontein,9.19
59,2018,8,16,1,2,1,Braamfontein,11.06
60,2018,8,16,1,2,2,Braamfontein,11.12
61,2018,8,16,1,2,3,Braamfontein,11.5
62,2018,8,16,1,2,4,Braamfontein,11.15
63,2018,8,16,1,2,5,Braamfontein,10.51
64,2018,8,16,1,2,6,Braamfontein,10.2
65,2018,8,16,1,2,7,Braamfontein,11.48
66,2018,8,16,1,2,8,Braamfontein,11.82
67,2018,8,16,1,2,9,Braamfontein,12.4
68,2018,8,16,1,2,10,Braamfontein,11.35
69,2018,8,16,1,2,11,Braamfontein,13.14
70,2018,8,16,1,2,12,Braamfontein,12.03
71,2018,8,16,1,2,13,Braamfontein,13.03
72,2018,8,16,1,2,14,Braamfontein,12.6
73,2018,8,16,1,2,15,Braamfontein,13.3
74,2018,8,16,1,2,16,Braamfontein,14.7
75,2018,8,16,1,2,17,Braamfontein,14.48
76,2018,8,16,1,2,18,Braamfontein,13.2
77,2018,8,16,1,2,19,Braamfontein,11.27
78,2018,8,16,1,2,20,Braamfontein,9.54
79,2018,8,16,1,2,21,Braamfontein,11.48
80,2018,8,16,1,2,22,Braamfontein,10.3
81,2018,8,16,1,2,23,Braamfontein,10.62
82,2018,8,16,1,2,24,Braamfontein,10.24
83,2018,8,16,1,2,25,Braamfontein,9.0
84,2018,8,16,1,2,26,Braamfontein,7.86
85,2018,8,16,1,2,27,Braamfontein,5.99
86,2018,8,16,1,2,28,Braamfontein,5.83
87,2018,8,16,1,2,29,Braamfontein,6.02
88,2018,8,16,1,2,30,Braamfontein,4.16
89,2018,8,16,1,2,31,Braamfontein,2.66
90,2018,8,16,1,2,32,Braamfontein,0.86
91,2018,8,16,1,2,33,Braamfontein,2.24
92,2018,8,16,1,2,34,Braamfontein,3.4
93,2018,8,16,1,2,35,Braamfontein,3.6
94,2018,8,16,1,2,36,Braamfontein,3.84
95,2018,8,16,1,2,37,Braamfontein,2.63
96,2018,8,16,1,2,38,Braamfontein,1.24
97,2018,8,16,1,2,39,Braamfontein,1.22
98,2018,8,16,1,2,40,Braamfontein,3.19
99,2018,8,16,1,2,41,Braamfontein,1.58
100,2018,8,16,1,2,42,Braamfontein,3.11
101,2018,8,16,1,2,43,Braamfontein,1.48
102,2018,8,16,1,2,44,Braamfontein,2.35
103,2018,8,16,1,2,45,Braamfontein,3.0
104,2018,8,16,1,2,46,Braamfontein,1.08
105,2018,8,16,1,2,47,Braamfontein,-0.4
106,2018,8,16,1,2,48,Braamfontein,0.36
107,2018,8,16,1,2,49,Braamfontein,0.72
108,2018,8,16,1,2,50,Braamfontein,-0.25
109,2018,8,16,1,2,51,Braamfontein,-1.86
110,2018,8,16,1,2,52,Braamfontein,-2.09
111,2018,8,16,1,2,53,Braamfontein,-0.68
112,2018,8,16,1,2,54,Braamfontein,-0.34
113,2018,8,16,1,2,55,Braamfontein,1.4
114,2018,8,16,1,2,56,Braamfontein,2.32
115,2018,8,16,1,2,57,Braamfontein,3.06
116,2018,8,16,1,2,58,Braamfontein,3.83
117,2018,8,16,1,2,59,Braamfontein,5.16
118,2018,8,16,1,2,60,Braamfontein,3.88
119,2018,8,16,1,3,1,Braamfontein,4.35
120,2018,8,16,1,3,2,Braamfontein,2.4
121,2018,8,16,1,3,3,Braamfontein,1.22
122,2018,8,16,1,3,4,Braamfontein,1.87
123,2018,8,16,1,3,5,Braamfontein,1.06
124,2018,8,16,1,3,6,Braamfontein,1.03
125,2018,8,16,1,3,7,Braamfontein,-0.6
126,2018,8,16,1,3,8,Braamfontein,-0.57
127,2018,8,16,1,3,9,Braamfontein,-2.0
128,2018,8,16,1,3,10,Braamfontein,-2.88
129,2018,8,16,1,3,11,Braamfontein,-1.7
130,2018,8,16,1,3,12,Braamfontein,-1.26
131,2018,8,16,1,3,13,Braamfontein,-2.78
132,2018,8,16,1,3,14,Braamfontein,-3.8
133,2018,8,16,1,3,15,Braamfontein,-2.78
134,2018,8,16,1,3,16,Braamfontein,-4.17
135,2018,8,16,1,3,17,Braamfontein,-3.65
136,2018,8,16,1,3,18,Braamfontein,-4.04
137,2018,8,16,1,3,19,Braamfontein,-2.28
138,2018,8,16,1,3,20,Braamfontein,-1.49
139,2018,8,16,1,3,21,Braamfontein,-1.76
140,2018,8,16,1,3,22,Braamfontein,-3.05
141,2018,8,16,1,3,23,Braamfontein,-4.61
142,2018,8,16,1,3,24,Braamfontein,-5.8
143,2018,8,16,1,3,25,Braamfontein,-4.13
144,2018,8,16,1,3,26,Braamfontein,-5.65
145,2018,8,16,1,3,27,Braamfontein,-6.57
146,2018,8,16,1,3,28,Braamfontein,-6.46
147,2018,8,16,1,3,29,Braamfontein,-5.86
148,2018,8,16,1,3,30,Braamfontein,-4.48
149,2018,8,16,1,3,31,Braamfontein,-5.62
150,2018,8,16,1,3,32,Braamfontein,-5.13
151,2018,8,16,1,3,33,Braamfontein,-3.48
152,2018,8,16,1,3,34,Braamfontein,-5.26
153,2018,8,16,1,3,35,Braamfontein,-4.65
154,2018,8,16,1,3,36,Braamfontein,-5.65
155,2018,8,16,1,3,37,Braamfontein,-4.94
156,2018,8,16,1,3,38,Braamfontein,-4.7
157,2018,8,16,1,3,39,Braamfontein,-5.37
158,2018,8,16,1,3,40,Braamfontein,-5.89
159,2018,8,16,1,3,41,Braamfontein,-7.81
160,2018,8,16,1,3,42,Braamfontein,-8.98
161,2018,8,16,1,3,43,Braamfontein,-8.38
162,2018,8,16,1,3,44,Braamfontein,-7.86
163,2018,8,16,1,3,45,Braamfontein,-6.62
164,2018,8,16,1,3,46,Braamfontein,-5.12
165,2018,8,16,1,3,47,Braamfontein,-4.61
166,2018,8,16,1,3,48,Braamfontein,-5.84
167,2018,8,16,1,3,49,Braamfontein,-6.48
168,2018,8,16,1,3,50,Braamfontein,-6.09
169,2018,8,16,1,3,51,Braamfontein,-4.81
170,2018,8,16,1,3,52,Braamfontein,-3.7
171,2018,8,16,1,3,53,Braamfontein,-1.81
172,2018,8,16,1,3,54,Braamfontein,-1.62
173,2018,8,16,1,3,55,Braamfontein,-1.25
174,2018,8,16,1,3,56,Braamfontein,-1.88
175,2018,8,16,1,3,57,Braamfontein,-3.13
176,2018,8,16,1,3,58,Braamfontein,-4.81
177,2018,8,16,1,3,59,Braamfontein,-5.28
