ID,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,LOCATION,TEMPERATURE
0,2018,8,16,1,1,2,Bedfordview,-4.86
1,2018,8,16,1,1,3,Bedfordview,-5.38
2,2018,8,16,1,1,4,Bedfordview,-4.12
3,2018,8,16,1,1,5,Bedfordview,-5.56
4,2018,8,16,1,1,6,Bedfordview,-3.62
5,2018,8,16,1,1,7,Bedfordview,-2.84
6,2018,8,16,1,1,8,Bedfordview,-2.62
7,2018,8,16,1,1,9,Bedfordview,-2.24
8,2018,8,16,1,1,10,Bedfordview,-0.62
9,2018,8,16,1,1,11,Bedfordview,-1.44
10,2018,8,16,1,1,12,Bedfordview,-0.14
11,2018,8,16,1,1,13,Bedfordview,-0.44
12,2018,8,16,1,1,14,Bedfordview,-1.0
13,2018,8,16,1,1,15,Bedfordview,-1.92
14,2018,8,16,1,1,16,Bedfordview,-3.44
15,2018,8,16,1,1,17,Bedfordview,-5.3
16,2018,8,16,1,1,18,Bedfordview,-3.98
17,2018,8,16,1,1,19,Bedfordview,-4.46
18,2018,8,16,1,1,20,Bedfordview,-4.76
19,2018,8,16,1,1,21,Bedfordview,-3.57
20,2018,8,16,1,1,22,Bedfordview,-5.38
21,2018,8,16,1,1,23,Bedfordview,-3.94
22,2018,8,16,1,1,24,Bedfordview,-4.94
23,2018,8,16,1,1,25,Bedfordview,-3.88
24,2018,8,16,1,1,26,Bedfordview,-2.86
25,2018,8,16,1,1,27,Bedfordview,-3.13
26,2018,8,16,1,1,28,Bedfordview,-2.94
27,2018,8,16,1,1,29,Bedfordview,-3.02
28,2018,8,16,1,1,30,Bedfordview,-2.78
29,2018,8,16,1,1,31,Bedfordview,-2.88
30,2018,8,16,1,1,32,Bedfordview,-1.5
31,2018,8,16,1,1,33,Bedfordview,-3.32
32,2018,8,16,1,1,34,Bedfordview,-3.49
33,2018,8,16,1,1,35,Bedfordview,-4.2
34,2018,8,16,1,1,36,Bedfordview,-5.57
35,2018,8,16,1,1,37,Bedfordview,-4.6
36,2018,8,16,1,1,38,Bedfordview,-6.17
37,2018,8,16,1,1,39,Bedfordview,-6.46
38,2018,8,16,1,1,40,Bedfordview,-4.84
39,2018,8,16,1,1,41,Bedfordview,-6.0
40,2018,8,16,1,1,42,Bedfordview,-4.76
41,2018,8,16,1,1,43,Bedfordview,-6.0
42,2018,8,16,1,1,44,Bedfordview,-5.86
43,2018,8,16,1,1,45,Bedfordview,-7.49
44,2018,8,16,1,1,46,Bedfordview,-6.92
45,2018,8,16,1,1,47,Bedfordview,-5.54
46,2018,8,16,1,1,48,Bedfordview,-6.7
47,2018,8,16,1,1,49,Bedfordview,-5.32
48,2018,8,16,1,1,50,Bedfordview,-5.41
49,2018,8,16,1,1,51,Bedfordview,-4.18
50,2018,8,16,1,1,52,Bedfordview,-2.82
51,2018,8,16,1,1,53,Bedfordview,-3.44
52,2018,8,16,1,1,54,Bedfordview,-1.62
53,2018,8,16,1,1,55,Bedfordview,-3.58
54,2018,8,16,1,1,56,Bedfordview,-1.78
55,2018,8,16,1,1,57,Bedfordview,-0.89
56,2018,8,16,1,1,58,Bedfordview,0.27
57,2018,8,16,1,1,59,Bedfordview,1.63
58,2018,8,16,1,1,60,Bedfordview,2.06
59,2018,8,16,1,2,1,Bedfordview,2.3
60,2018,8,16,1,2,2,Bedfordview,1.36
61,2018,8,16,1,2,3,Bedfordview,3.19
62,2018,8,16,1,2,4,Bedfordview,3.16
63,2018,8,16,1,2,5,Bedfordview,3.39
64,2018,8,16,1,2,6,Bedfordview,5.24
65,2018,8,16,1,2,7,Bedfordview,6.35
66,2018,8,16,1,2,8,Bedfordview,8.06
67,2018,8,16,1,2,9,Bedfordview,9.0
68,2018,8,16,1,2,10,Bedfordview,7.63
69,2018,8,16,1,2,11,Bedfordview,8.47
70,2018,8,16,1,2,12,Bedfordview,9.43
71,2018,8,16,1,2,13,Bedfordview,7.59
72,2018,8,16,1,2,14,Bedfordview,6.75
73,2018,8,16,1,2,15,Bedfordview,6.14
74,2018,8,16,1,2,16,Bedfordview,6.07
75,2018,8,16,1,2,17,Bedfordview,6.16
76,2018,8,16,1,2,18,Bedfordview,6.16
77,2018,8,16,1,2,19,Bedfordview,7.26
78,2018,8,16,1,2,20,Bedfordview,8.54
79,2018,8,16,1,2,21,Bedfordview,7.06
80,2018,8,16,1,2,22,Bedfordview,7.27
81,2018,8,16,1,2,23,Bedfordview,7.19
82,2018,8,16,1,2,24,Bedfordview,5.96
83,2018,8,16,1,2,25,Bedfordview,4.51
84,2018,8,16,1,2,26,Bedfordview,6.27
85,2018,8,16,1,2,27,Bedfordview,5.48
86,2018,8,16,1,2,28,Bedfordview,6.47
87,2018,8,16,1,2,29,Bedfordview,8.02
88,2018,8,16,1,2,30,Bedfordview,9.16
89,2018,8,16,1,2,31,Bedfordview,7.9
90,2018,8,16,1,2,32,Bedfordview,8.04
91,2018,8,16,1,2,33,Bedfordview,7.3
92,2018,8,16,1,2,34,Bedfordview,7.3
93,2018,8,16,1,2,35,Bedfordview,8.18
94,2018,8,16,1,2,36,Bedfordview,6.96
95,2018,8,16,1,2,37,Bedfordview,7.83
96,2018,8,16,1,2,38,Bedfordview,9.35
97,2018,8,16,1,2,39,Bedfordview,10.82
98,2018,8,16,1,2,40,Bedfordview,9.91
99,2018,8,16,1,2,41,Bedfordview,9.71
