ID,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,LOCATION,TEMPERATURE
801,2018,8,16,1,14,23,Braamfontein,13.11
802,2018,8,16,1,14,24,Braamfontein,13.46
803,2018,8,16,1,14,25,Braamfontein,13.47
804,2018,8,16,1,14,26,Braamfontein,13.7
805,2018,8,16,1,14,27,Braamfontein,14.19
806,2018,8,16,1,14,28,Braamfontein,13.38
807,2018,8,16,1,14,29,Braamfontein,13.64
808,2018,8,16,1,14,30,Braamfontein,12.03
809,2018,8,16,1,14,31,Braamfontein,12.62
810,2018,8,16,1,14,32,Braamfontein,10.78
811,2018,8,16,1,14,33,Braamfontein,10.52
812,2018,8,16,1,14,34,Braamfontein,11.54
813,2018,8,16,1,14,35,Braamfontein,9.56
814,2018,8,16,1,14,36,Braamfontein,11.36
815,2018,8,16,1,14,37,Braamfontein,11.83
816,2018,8,16,1,14,38,Braamfontein,10.22
817,2018,8,16,1,14,39,Braamfontein,11.27
818,2018,8,16,1,14,40,Braamfontein,10.91
819,2018,8,16,1,14,41,Braamfontein,11.48
820,2018,8,16,1,14,42,Braamfontein,12.16
821,2018,8,16,1,14,43,Braamfontein,11.22
822,2018,8,16,1,14,44,Braamfontein,10.18
823,2018,8,16,1,14,45,Braamfontein,10.03
824,2018,8,16,1,14,46,Braamfontein,12.0
825,2018,8,16,1,14,47,Braamfontein,13.88
826,2018,8,16,1,14,48,Braamfontein,12.38
827,2018,8,16,1,14,49,Braamfontein,13.54
828,2018,8,16,1,14,50,Braamfontein,12.95
829,2018,8,16,1,14,51,Braamfontein,12.26
830,2018,8,16,1,14,52,Braamfontein,12.46
831,2018,8,16,1,14,53,Braamfontein,10.59
832,2018,8,16,1,14,54,Braamfontein,10.64
833,2018,8,16,1,14,55,Braamfontein,9.56
834,2018,8,16,1,14,56,Braamfontein,11.0
835,2018,8,16,1,14,57,Braamfontein,9.74
836,2018,8,16,1,14,58,Braamfontein,10.58
837,2018,8,16,1,14,59,Braamfontein,11.34
838,2018,8,16,1,14,60,Braamfontein,11.64
839,2018,8,16,1,15,1,Braamfontein,9.84
840,2018,8,16,1,15,2,Braamfontein,11.23
841,2018,8,16,1,15,3,Braamfontein,12.28
842,2018,8,16,1,15,4,Braamfontein,13.4
843,2018,8,16,1,15,5,Braamfontein,13.62
844,2018,8,16,1,15,6,Braamfontein,12.98
845,2018,8,16,1,15,7,Braamfontein,12.56
846,2018,8,16,1,15,8,Braamfontein,13.59
847,2018,8,16,1,15,9,Braamfontein,13.88
848,2018,8,16,1,15,10,Braamfontein,13.43
849,2018,8,16,1,15,11,Braamfontein,11.63
850,2018,8,16,1,15,12,Braamfontein,10.78
851,2018,8,16,1,15,13,Braamfontein,10.71
852,2018,8,16,1,15,14,Braamfontein,11.91
853,2018,8,16,1,15,15,Braamfontein,10.32
854,2018,8,16,1,15,16,Braamfontein,9.22
855,2018,8,16,1,15,17,Braamfontein,9.23
856,2018,8,16,1,15,18,Braamfontein,10.08
857,2018,8,16,1,15,19,Braamfontein,9.96
858,2018,8,16,1,15,20,Braamfontein,9.04
859,2018,8,16,1,15,21,Braamfontein,7.16
860,2018,8,16,1,15,22,Braamfontein,7.98
861,2018,8,16,1,15,23,Braamfontein,8.96
862,2018,8,16,1,15,24,Braamfontein,8.47
863,2018,8,16,1,15,25,Braamfontein,10.46
864,2018,8,16,1,15,26,Braamfontein,11.35
