ID,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,LOCATION,TEMPERATURE
0,2019,8,2,1,1,1,'Vaal',12.190000
1,2019,8,2,1,1,2,'Vaal',13.820000
2,2019,8,2,1,1,3,'Vaal',31.600000
3,2019,8,2,1,1,4,'Vaal',30.260000
4,2019,8,2,1,1,5,'Vaal',14.480000
5,2019,8,2,1,1,6,'Vaal',14.240000
6,2019,8,2,1,1,7,'Vaal',23.389999
7,2019,8,2,1,1,8,'Vaal',37.419998
8,2019,8,2,1,1,9,'Vaal',13.440000
9,2019,8,2,1,1,10,'Vaal',25.590000
10,2019,8,2,1,1,11,'Vaal',29.770000
11,2019,8,2,1,1,12,'Vaal',29.660000
12,2019,8,2,1,1,13,'Vaal',39.660000
13,2019,8,2,1,1,14,'Vaal',34.880001
14,2019,8,2,1,1,15,'Vaal',30.370001
15,2019,8,2,1,1,16,'Vaal',33.259998
16,2019,8,2,1,1,17,'Vaal',15.330000
17,2019,8,2,1,1,18,'Vaal',32.000000
18,2019,8,2,1,1,19,'Vaal',34.169998
19,2019,8,2,1,1,20,'Vaal',20.080000
20,2019,8,2,1,1,21,'Vaal',18.910000
21,2019,8,2,1,1,22,'Vaal',22.309999
22,2019,8,2,1,1,23,'Vaal',14.130000
23,2019,8,2,1,1,24,'Vaal',16.100000
24,2019,8,2,1,1,25,'Vaal',29.639999
25,2019,8,2,1,1,26,'Vaal',39.599998
26,2019,8,2,1,1,27,'Vaal',24.240000
27,2019,8,2,1,1,28,'Vaal',28.480000
28,2019,8,2,1,1,29,'Vaal',14.060000
29,2019,8,2,1,1,30,'Vaal',22.110001
30,2019,8,2,1,1,31,'Vaal',20.600000
31,2019,8,2,1,1,32,'Vaal',16.990000
32,2019,8,2,1,1,33,'Vaal',20.240000
33,2019,8,2,1,1,34,'Vaal',27.400000
34,2019,8,2,1,1,35,'Vaal',10.500000
35,2019,8,2,1,1,36,'Vaal',28.660000
36,2019,8,2,1,1,37,'Vaal',38.299999
37,2019,8,2,1,1,38,'Vaal',30.100000
38,2019,8,2,1,1,39,'Vaal',38.240002
39,2019,8,2,1,1,40,'Vaal',37.529999
40,2019,8,2,1,1,41,'Vaal',14.510000
