ID,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,LOCATION,TEMPERATURE
801,2018,8,16,1,14,23,Bedfordview,-6.73
802,2018,8,16,1,14,24,Bedfordview,-8.57
803,2018,8,16,1,14,25,Bedfordview,-8.44
804,2018,8,16,1,14,26,Bedfordview,-7.28
805,2018,8,16,1,14,27,Bedfordview,-6.98
806,2018,8,16,1,14,28,Bedfordview,-8.3
807,2018,8,16,1,14,29,Bedfordview,-6.76
808,2018,8,16,1,14,30,Bedfordview,-5.66
809,2018,8,16,1,14,31,Bedfordview,-5.62
810,2018,8,16,1,14,32,Bedfordview,-6.2
811,2018,8,16,1,14,33,Bedfordview,-6.08
812,2018,8,16,1,14,34,Bedfordview,-5.8
813,2018,8,16,1,14,35,Bedfordview,-6.84
814,2018,8,16,1,14,36,Bedfordview,-5.21
815,2018,8,16,1,14,37,Bedfordview,-5.49
816,2018,8,16,1,14,38,Bedfordview,-3.54
817,2018,8,16,1,14,39,Bedfordview,-4.01
818,2018,8,16,1,14,40,Bedfordview,-5.96
819,2018,8,16,1,14,41,Bedfordview,-4.64
820,2018,8,16,1,14,42,Bedfordview,-4.25
821,2018,8,16,1,14,43,Bedfordview,-4.78
822,2018,8,16,1,14,44,Bedfordview,-4.26
823,2018,8,16,1,14,45,Bedfordview,-3.93
824,2018,8,16,1,14,46,Bedfordview,-4.13
825,2018,8,16,1,14,47,Bedfordview,-2.9
826,2018,8,16,1,14,48,Bedfordview,-1.44
827,2018,8,16,1,14,49,Bedfordview,-0.78
828,2018,8,16,1,14,50,Bedfordview,-1.66
829,2018,8,16,1,14,51,Bedfordview,-1.21
830,2018,8,16,1,14,52,Bedfordview,-0.89
831,2018,8,16,1,14,53,Bedfordview,-0.61
832,2018,8,16,1,14,54,Bedfordview,-0.38
833,2018,8,16,1,14,55,Bedfordview,-0.92
834,2018,8,16,1,14,56,Bedfordview,-0.82
835,2018,8,16,1,14,57,Bedfordview,0.79
836,2018,8,16,1,14,58,Bedfordview,1.08
837,2018,8,16,1,14,59,Bedfordview,-0.81
838,2018,8,16,1,14,60,Bedfordview,-1.14
839,2018,8,16,1,15,1,Bedfordview,-0.52
840,2018,8,16,1,15,2,Bedfordview,-1.98
841,2018,8,16,1,15,3,Bedfordview,-3.06
842,2018,8,16,1,15,4,Bedfordview,-1.72
843,2018,8,16,1,15,5,Bedfordview,-0.06
844,2018,8,16,1,15,6,Bedfordview,-0.65
845,2018,8,16,1,15,7,Bedfordview,-1.73
846,2018,8,16,1,15,8,Bedfordview,-1.62
847,2018,8,16,1,15,9,Bedfordview,-2.66
848,2018,8,16,1,15,10,Bedfordview,-1.02
849,2018,8,16,1,15,11,Bedfordview,-2.08
850,2018,8,16,1,15,12,Bedfordview,-1.41
851,2018,8,16,1,15,13,Bedfordview,0.32
852,2018,8,16,1,15,14,Bedfordview,2.32
