ID,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,LOCATION,TEMPERATURE
0,2018,8,16,1,1,2,Rosebank,-6.5
1,2018,8,16,1,1,3,Rosebank,-5.98
2,2018,8,16,1,1,4,Rosebank,-5.68
3,2018,8,16,1,1,5,Rosebank,-6.41
4,2018,8,16,1,1,6,Rosebank,-7.96
5,2018,8,16,1,1,7,Rosebank,-7.89
6,2018,8,16,1,1,8,Rosebank,-6.56
7,2018,8,16,1,1,9,Rosebank,-7.45
8,2018,8,16,1,1,10,Rosebank,-5.49
9,2018,8,16,1,1,11,Rosebank,-3.82
10,2018,8,16,1,1,12,Rosebank,-3.81
11,2018,8,16,1,1,13,Rosebank,-5.24
12,2018,8,16,1,1,14,Rosebank,-6.12
13,2018,8,16,1,1,15,Rosebank,-4.76
14,2018,8,16,1,1,16,Rosebank,-5.58
15,2018,8,16,1,1,17,Rosebank,-4.21
16,2018,8,16,1,1,18,Rosebank,-4.94
17,2018,8,16,1,1,19,Rosebank,-3.24
18,2018,8,16,1,1,20,Rosebank,-3.29
19,2018,8,16,1,1,21,Rosebank,-4.29
20,2018,8,16,1,1,22,Rosebank,-3.2
21,2018,8,16,1,1,23,Rosebank,-1.54
22,2018,8,16,1,1,24,Rosebank,-3.16
23,2018,8,16,1,1,25,Rosebank,-3.78
24,2018,8,16,1,1,26,Rosebank,-5.74
25,2018,8,16,1,1,27,Rosebank,-5.34
26,2018,8,16,1,1,28,Rosebank,-4.44
27,2018,8,16,1,1,29,Rosebank,-2.81
28,2018,8,16,1,1,30,Rosebank,-2.76
29,2018,8,16,1,1,31,Rosebank,-4.4
30,2018,8,16,1,1,32,Rosebank,-5.17
31,2018,8,16,1,1,33,Rosebank,-4.17
32,2018,8,16,1,1,34,Rosebank,-5.38
33,2018,8,16,1,1,35,Rosebank,-6.6
34,2018,8,16,1,1,36,Rosebank,-7.5
35,2018,8,16,1,1,37,Rosebank,-6.32
36,2018,8,16,1,1,38,Rosebank,-4.7
37,2018,8,16,1,1,39,Rosebank,-6.68
38,2018,8,16,1,1,40,Rosebank,-7.65
39,2018,8,16,1,1,41,Rosebank,-8.68
40,2018,8,16,1,1,42,Rosebank,-7.94
41,2018,8,16,1,1,43,Rosebank,-9.12
42,2018,8,16,1,1,44,Rosebank,-9.12
43,2018,8,16,1,1,45,Rosebank,-9.06
44,2018,8,16,1,1,46,Rosebank,-7.97
45,2018,8,16,1,1,47,Rosebank,-7.22
46,2018,8,16,1,1,48,Rosebank,-6.86
47,2018,8,16,1,1,49,Rosebank,-5.32
48,2018,8,16,1,1,50,Rosebank,-6.12
