ID,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,LOCATION,TEMPERATURE
9981,2018,8,16,3,47,23,Rosebank,18.620001
9982,2018,8,16,3,47,24,Rosebank,18.27
9983,2018,8,16,3,47,25,Rosebank,18.700001
9984,2018,8,16,3,47,26,Rosebank,17.74
9985,2018,8,16,3,47,27,Rosebank,19.379999
9986,2018,8,16,3,47,28,Rosebank,17.639999
9987,2018,8,16,3,47,29,Rosebank,19.0
9988,2018,8,16,3,47,30,Rosebank,17.700001
9989,2018,8,16,3,47,31,Rosebank,16.040001
9990,2018,8,16,3,47,32,Rosebank,15.18
9991,2018,8,16,3,47,33,Rosebank,15.19
9992,2018,8,16,3,47,34,Rosebank,14.39
9993,2018,8,16,3,47,35,Rosebank,16.16
9994,2018,8,16,3,47,36,Rosebank,17.790001
9995,2018,8,16,3,47,37,Rosebank,19.639999
9996,2018,8,16,3,47,38,Rosebank,18.190001
9997,2018,8,16,3,47,39,Rosebank,19.059999
9998,2018,8,16,3,47,40,Rosebank,20.219999
9999,2018,8,16,3,47,41,Rosebank,20.5
9981,2018,8,16,3,47,23,Braamfontein,7.35
9982,2018,8,16,3,47,24,Braamfontein,5.51
9983,2018,8,16,3,47,25,Braamfontein,6.0
9984,2018,8,16,3,47,26,Braamfontein,4.84
9985,2018,8,16,3,47,27,Braamfontein,3.86
9986,2018,8,16,3,47,28,Braamfontein,2.06
9987,2018,8,16,3,47,29,Braamfontein,1.24
9988,2018,8,16,3,47,30,Braamfontein,2.84
9989,2018,8,16,3,47,31,Braamfontein,3.8
9990,2018,8,16,3,47,32,Braamfontein,5.16
9991,2018,8,16,3,47,33,Braamfontein,4.15
9992,2018,8,16,3,47,34,Braamfontein,3.32
9993,2018,8,16,3,47,35,Braamfontein,3.5
9994,2018,8,16,3,47,36,Braamfontein,3.74
9995,2018,8,16,3,47,37,Braamfontein,2.58
9996,2018,8,16,3,47,38,Braamfontein,1.38
9997,2018,8,16,3,47,39,Braamfontein,0.66
9998,2018,8,16,3,47,40,Braamfontein,1.11
9999,2018,8,16,3,47,41,Braamfontein,1.99
9981,2018,8,16,3,47,23,Kensington,5.8
9982,2018,8,16,3,47,24,Kensington,7.51
9983,2018,8,16,3,47,25,Kensington,7.12
9984,2018,8,16,3,47,26,Kensington,7.3
9985,2018,8,16,3,47,27,Kensington,9.03
9986,2018,8,16,3,47,28,Kensington,9.02
9987,2018,8,16,3,47,29,Kensington,7.47
9988,2018,8,16,3,47,30,Kensington,7.56
9989,2018,8,16,3,47,31,Kensington,7.75
9990,2018,8,16,3,47,32,Kensington,8.62
9991,2018,8,16,3,47,33,Kensington,8.91
9992,2018,8,16,3,47,34,Kensington,8.48
9993,2018,8,16,3,47,35,Kensington,8.06
9994,2018,8,16,3,47,36,Kensington,7.95
9995,2018,8,16,3,47,37,Kensington,6.27
9996,2018,8,16,3,47,38,Kensington,6.52
9997,2018,8,16,3,47,39,Kensington,6.43
9998,2018,8,16,3,47,40,Kensington,8.27
9999,2018,8,16,3,47,41,Kensington,9.27
9981,2018,8,16,3,47,23,Limpopo,-7.6
9982,2018,8,16,3,47,24,Limpopo,-6.0
9983,2018,8,16,3,47,25,Limpopo,-6.54
9984,2018,8,16,3,47,26,Limpopo,-4.57
9985,2018,8,16,3,47,27,Limpopo,-4.36
9986,2018,8,16,3,47,28,Limpopo,-3.28
9987,2018,8,16,3,47,29,Limpopo,-5.25
9988,2018,8,16,3,47,30,Limpopo,-4.49
9989,2018,8,16,3,47,31,Limpopo,-4.58
9990,2018,8,16,3,47,32,Limpopo,-2.77
9991,2018,8,16,3,47,33,Limpopo,-4.73
9992,2018,8,16,3,47,34,Limpopo,-5.73
9993,2018,8,16,3,47,35,Limpopo,-6.32
9994,2018,8,16,3,47,36,Limpopo,-6.3
9995,2018,8,16,3,47,37,Limpopo,-6.09
9996,2018,8,16,3,47,38,Limpopo,-4.54
9997,2018,8,16,3,47,39,Limpopo,-2.9
9998,2018,8,16,3,47,40,Limpopo,-4.46
9999,2018,8,16,3,47,41,Limpopo,-2.78
