ID,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,LOCATION,TEMPERATURE
9981,2018,8,16,3,47,23,Braamfontein,7.35
9982,2018,8,16,3,47,24,Braamfontein,5.51
9983,2018,8,16,3,47,25,Braamfontein,6.0
9984,2018,8,16,3,47,26,Braamfontein,4.84
9985,2018,8,16,3,47,27,Braamfontein,3.86
9986,2018,8,16,3,47,28,Braamfontein,2.06
9987,2018,8,16,3,47,29,Braamfontein,1.24
9988,2018,8,16,3,47,30,Braamfontein,2.84
9989,2018,8,16,3,47,31,Braamfontein,3.8
9990,2018,8,16,3,47,32,Braamfontein,5.16
9991,2018,8,16,3,47,33,Braamfontein,4.15
9992,2018,8,16,3,47,34,Braamfontein,3.32
9993,2018,8,16,3,47,35,Braamfontein,3.5
9994,2018,8,16,3,47,36,Braamfontein,3.74
9995,2018,8,16,3,47,37,Braamfontein,2.58
9996,2018,8,16,3,47,38,Braamfontein,1.38
9997,2018,8,16,3,47,39,Braamfontein,0.66
9998,2018,8,16,3,47,40,Braamfontein,1.11
9999,2018,8,16,3,47,41,Braamfontein,1.99
