ID,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,LOCATION,TEMPERATURE
9981,2018,8,16,3,47,23,Kensington,5.8
9982,2018,8,16,3,47,24,Kensington,7.51
9983,2018,8,16,3,47,25,Kensington,7.12
9984,2018,8,16,3,47,26,Kensington,7.3
9985,2018,8,16,3,47,27,Kensington,9.03
9986,2018,8,16,3,47,28,Kensington,9.02
9987,2018,8,16,3,47,29,Kensington,7.47
9988,2018,8,16,3,47,30,Kensington,7.56
9989,2018,8,16,3,47,31,Kensington,7.75
9990,2018,8,16,3,47,32,Kensington,8.62
9991,2018,8,16,3,47,33,Kensington,8.91
9992,2018,8,16,3,47,34,Kensington,8.48
9993,2018,8,16,3,47,35,Kensington,8.06
9994,2018,8,16,3,47,36,Kensington,7.95
9995,2018,8,16,3,47,37,Kensington,6.27
9996,2018,8,16,3,47,38,Kensington,6.52
9997,2018,8,16,3,47,39,Kensington,6.43
9998,2018,8,16,3,47,40,Kensington,8.27
9999,2018,8,16,3,47,41,Kensington,9.27
