ID,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,LOCATION,TEMPERATURE
9981,2018,8,16,3,47,23,Limpopo,-7.6
9982,2018,8,16,3,47,24,Limpopo,-6.0
9983,2018,8,16,3,47,25,Limpopo,-6.54
9984,2018,8,16,3,47,26,Limpopo,-4.57
9985,2018,8,16,3,47,27,Limpopo,-4.36
9986,2018,8,16,3,47,28,Limpopo,-3.28
9987,2018,8,16,3,47,29,Limpopo,-5.25
9988,2018,8,16,3,47,30,Limpopo,-4.49
9989,2018,8,16,3,47,31,Limpopo,-4.58
9990,2018,8,16,3,47,32,Limpopo,-2.77
9991,2018,8,16,3,47,33,Limpopo,-4.73
9992,2018,8,16,3,47,34,Limpopo,-5.73
9993,2018,8,16,3,47,35,Limpopo,-6.32
9994,2018,8,16,3,47,36,Limpopo,-6.3
9995,2018,8,16,3,47,37,Limpopo,-6.09
9996,2018,8,16,3,47,38,Limpopo,-4.54
9997,2018,8,16,3,47,39,Limpopo,-2.9
9998,2018,8,16,3,47,40,Limpopo,-4.46
9999,2018,8,16,3,47,41,Limpopo,-2.78
