ID|YEAR|MONTH|DAY|HOUR|MINUTE|SECOND|LOCATION|TEMPERATURE|YEAR|MONTH|DAY|HOUR|MINUTE|SECOND|LOCATION|HUMIDITY
0|2019|8|16|0|0|10|Norwood|26.6|2019|8|16|0|0|20|Norwood|32.599998
1|2019|8|16|0|0|20|Norwood|25.799999|2019|8|16|0|0|40|Norwood|33.990002
2|2019|8|16|0|0|30|Norwood|24.77|2019|8|16|0|0|60|Norwood|35.349998
3|2019|8|16|0|0|40|Norwood|25.860001|2019|8|16|0|30|0|Norwood|34.279999
4|2019|8|16|0|0|50|Norwood|24|2019|8|16|0|30|20|Norwood|33.700001
5|2019|8|16|0|0|60|Norwood|25.91|2019|8|16|0|30|40|Norwood|34.880001
6|2019|8|16|0|15|0|Norwood|25.879999|2019|8|16|0|30|60|Norwood|34.400002
7|2019|8|16|0|15|10|Norwood|27.59|2019|8|16|0|60|0|Norwood|34.02
8|2019|8|16|0|15|20|Norwood|29.1|2019|8|16|0|60|20|Norwood|34.509998
9|2019|8|16|0|15|30|Norwood|30.440001|2019|8|16|0|60|40|Norwood|32.77
10|2019|8|16|0|15|40|Norwood|32.400002|2019|8|16|0|60|60|Norwood|32.599998
11|2019|8|16|0|15|50|Norwood|33.82|2019|8|16|2|0|0|Norwood|31.5
12|2019|8|16|0|15|60|Norwood|35.790001|2019|8|16|2|0|20|Norwood|33.099998
13|2019|8|16|0|30|0|Norwood|36.279999|2019|8|16|2|0|40|Norwood|33.299999
14|2019|8|16|0|30|10|Norwood|37.950001|2019|8|16|2|0|60|Norwood|35.240002
15|2019|8|16|0|30|20|Norwood|36.189999|2019|8|16|2|30|0|Norwood|36.84
16|2019|8|16|0|30|30|Norwood|34.220001|2019|8|16|2|30|20|Norwood|36.990002
17|2019|8|16|0|30|40|Norwood|35.91|2019|8|16|2|30|40|Norwood|38.099998
18|2019|8|16|0|30|50|Norwood|34.279999|2019|8|16|2|30|60|Norwood|39.060001
19|2019|8|16|0|30|60|Norwood|36.220001|2019|8|16|2|60|0|Norwood|38.279999
20|2019|8|16|0|45|0|Norwood|35.259998|2019|8|16|2|60|20|Norwood|38.950001
21|2019|8|16|0|45|10|Norwood|34.110001|2019|8|16|2|60|40|Norwood|37.189999
22|2019|8|16|0|45|20|Norwood|33.220001|2019|8|16|2|60|60|Norwood|36.080002
23|2019|8|16|0|45|30|Norwood|32.84|2019|8|16|4|0|0|Norwood|34.93
24|2019|8|16|0|45|40|Norwood|32.400002|2019|8|16|4|0|20|Norwood|36.130001
25|2019|8|16|0|45|50|Norwood|31.35|2019|8|16|4|0|40|Norwood|36.799999
26|2019|8|16|0|45|60|Norwood|33.080002|2019|8|16|4|0|60|Norwood|35.880001
27|2019|8|16|0|60|0|Norwood|34.169998|2019|8|16|4|30|0|Norwood|35.130001
28|2019|8|16|0|60|10|Norwood|32.439999|2019|8|16|4|30|20|Norwood|36.5
29|2019|8|16|0|60|20|Norwood|32.419998|2019|8|16|4|30|40|Norwood|34.860001
30|2019|8|16|0|60|30|Norwood|33.790001|2019|8|16|4|30|60|Norwood|36.02
31|2019|8|16|0|60|40|Norwood|31.799999|2019|8|16|4|60|0|Norwood|35.349998
32|2019|8|16|0|60|50|Norwood|32.950001|2019|8|16|4|60|20|Norwood|34.709999
33|2019|8|16|0|60|60|Norwood|32.549999|2019|8|16|4|60|40|Norwood|32.970001
