ID|YEAR|MONTH|DAY|HOUR|MINUTE|SECOND|LOCATION|TEMPERATURE|YEAR|MONTH|DAY|HOUR|MINUTE|SECOND|LOCATION|HUMIDITY
1|2019|8|16|0|0|20|Norwood|25.799999|2019|8|16|0|0|20|Norwood|32.599998
3|2019|8|16|0|0|40|Norwood|25.860001|2019|8|16|0|0|40|Norwood|33.990002
5|2019|8|16|0|0|60|Norwood|25.91|2019|8|16|0|0|60|Norwood|35.349998
13|2019|8|16|0|30|0|Norwood|36.279999|2019|8|16|0|30|0|Norwood|34.279999
15|2019|8|16|0|30|20|Norwood|36.189999|2019|8|16|0|30|20|Norwood|33.700001
17|2019|8|16|0|30|40|Norwood|35.91|2019|8|16|0|30|40|Norwood|34.880001
19|2019|8|16|0|30|60|Norwood|36.220001|2019|8|16|0|30|60|Norwood|34.400002
27|2019|8|16|0|60|0|Norwood|34.169998|2019|8|16|0|60|0|Norwood|34.02
29|2019|8|16|0|60|20|Norwood|32.419998|2019|8|16|0|60|20|Norwood|34.509998
31|2019|8|16|0|60|40|Norwood|31.799999|2019|8|16|0|60|40|Norwood|32.77
33|2019|8|16|0|60|60|Norwood|32.549999|2019|8|16|0|60|60|Norwood|32.599998
69|2019|8|16|10|0|0|Norwood|36.549999|2019|8|16|10|0|0|Norwood|28.84
71|2019|8|16|10|0|20|Norwood|33.91|2019|8|16|10|0|20|Norwood|29.389999
73|2019|8|16|10|0|40|Norwood|31.200001|2019|8|16|10|0|40|Norwood|30.620001
75|2019|8|16|10|0|60|Norwood|33.060001|2019|8|16|10|0|60|Norwood|30.790001
83|2019|8|16|10|30|0|Norwood|26.530001|2019|8|16|10|30|0|Norwood|31.969999
85|2019|8|16|10|30|20|Norwood|27.73|2019|8|16|10|30|20|Norwood|30.219999
87|2019|8|16|10|30|40|Norwood|28.5|2019|8|16|10|30|40|Norwood|29.48
89|2019|8|16|10|30|60|Norwood|26.08|2019|8|16|10|30|60|Norwood|31.190001
97|2019|8|16|10|60|0|Norwood|24.5|2019|8|16|10|60|0|Norwood|32.73
99|2019|8|16|10|60|20|Norwood|25|2019|8|16|10|60|20|Norwood|31.66
101|2019|8|16|10|60|40|Norwood|23.4|2019|8|16|10|60|40|Norwood|30.879999
103|2019|8|16|10|60|60|Norwood|20|2019|8|16|10|60|60|Norwood|29.99
139|2019|8|16|20|0|0|Norwood|17.73|2019|8|16|20|0|0|Norwood|26.91
141|2019|8|16|20|0|20|Norwood|17.59|2019|8|16|20|0|20|Norwood|24.950001
143|2019|8|16|20|0|40|Norwood|15.75|2019|8|16|20|0|40|Norwood|24.309999
145|2019|8|16|20|0|60|Norwood|15.57|2019|8|16|20|0|60|Norwood|24.84
153|2019|8|16|20|30|0|Norwood|11.15|2019|8|16|20|30|0|Norwood|25.91
155|2019|8|16|20|30|20|Norwood|12.53|2019|8|16|20|30|20|Norwood|26.370001
157|2019|8|16|20|30|40|Norwood|13.59|2019|8|16|20|30|40|Norwood|27.77
159|2019|8|16|20|30|60|Norwood|13.2|2019|8|16|20|30|60|Norwood|29.280001
167|2019|8|16|20|60|0|Norwood|13.31|2019|8|16|20|60|0|Norwood|30.059999
169|2019|8|16|20|60|20|Norwood|13.02|2019|8|16|20|60|20|Norwood|28.59
171|2019|8|16|20|60|40|Norwood|12.3|2019|8|16|20|60|40|Norwood|30.5
173|2019|8|16|20|60|60|Norwood|14.42|2019|8|16|20|60|60|Norwood|29.59
209|2019|8|17|0|0|0|Norwood|13.97|2019|8|17|0|0|0|Norwood|24.190001
211|2019|8|17|0|0|20|Norwood|13.1|2019|8|17|0|0|20|Norwood|25.459999
213|2019|8|17|0|0|40|Norwood|13|2019|8|17|0|0|40|Norwood|23.57
215|2019|8|17|0|0|60|Norwood|13.2|2019|8|17|0|0|60|Norwood|23.190001
223|2019|8|17|0|30|0|Norwood|9.2|2019|8|17|0|30|0|Norwood|23.33
225|2019|8|17|0|30|20|Norwood|10.15|2019|8|17|0|30|20|Norwood|23.84
227|2019|8|17|0|30|40|Norwood|11.1|2019|8|17|0|30|40|Norwood|23.66
229|2019|8|17|0|30|60|Norwood|12.75|2019|8|17|0|30|60|Norwood|23.9
237|2019|8|17|0|60|0|Norwood|13.24|2019|8|17|0|60|0|Norwood|23.6
239|2019|8|17|0|60|20|Norwood|16.299999|2019|8|17|0|60|20|Norwood|21.91
241|2019|8|17|0|60|40|Norwood|17.219999|2019|8|17|0|60|40|Norwood|22.5
243|2019|8|17|0|60|60|Norwood|18.370001|2019|8|17|0|60|60|Norwood|20.950001
279|2019|8|17|10|0|0|Norwood|18.190001|2019|8|17|10|0|0|Norwood|17.299999
281|2019|8|17|10|0|20|Norwood|18.35|2019|8|17|10|0|20|Norwood|18.4
283|2019|8|17|10|0|40|Norwood|15.42|2019|8|17|10|0|40|Norwood|16.459999
285|2019|8|17|10|0|60|Norwood|18.66|2019|8|17|10|0|60|Norwood|15.2
293|2019|8|17|10|30|0|Norwood|17.639999|2019|8|17|10|30|0|Norwood|14.39
295|2019|8|17|10|30|20|Norwood|20.700001|2019|8|17|10|30|20|Norwood|14.2
297|2019|8|17|10|30|40|Norwood|19.700001|2019|8|17|10|30|40|Norwood|15.33
299|2019|8|17|10|30|60|Norwood|21.620001|2019|8|17|10|30|60|Norwood|17.02
307|2019|8|17|10|60|0|Norwood|20.02|2019|8|17|10|60|0|Norwood|15.04
309|2019|8|17|10|60|20|Norwood|17.709999|2019|8|17|10|60|20|Norwood|14.28
311|2019|8|17|10|60|40|Norwood|21.15|2019|8|17|10|60|40|Norwood|15.46
313|2019|8|17|10|60|60|Norwood|20.200001|2019|8|17|10|60|60|Norwood|14.91
349|2019|8|17|20|0|0|Norwood|24.84|2019|8|17|20|0|0|Norwood|18.639999
351|2019|8|17|20|0|20|Norwood|23.799999|2019|8|17|20|0|20|Norwood|18.200001
353|2019|8|17|20|0|40|Norwood|23.040001|2019|8|17|20|0|40|Norwood|20.190001
355|2019|8|17|20|0|60|Norwood|21.77|2019|8|17|20|0|60|Norwood|18.5
363|2019|8|17|20|30|0|Norwood|13.8|2019|8|17|20|30|0|Norwood|17.42
365|2019|8|17|20|30|20|Norwood|11.46|2019|8|17|20|30|20|Norwood|19.24
367|2019|8|17|20|30|40|Norwood|13.3|2019|8|17|20|30|40|Norwood|19.57
369|2019|8|17|20|30|60|Norwood|12.3|2019|8|17|20|30|60|Norwood|19.700001
377|2019|8|17|20|60|0|Norwood|14.13|2019|8|17|20|60|0|Norwood|21.549999
379|2019|8|17|20|60|20|Norwood|14.86|2019|8|17|20|60|20|Norwood|20.530001
381|2019|8|17|20|60|40|Norwood|15.84|2019|8|17|20|60|40|Norwood|22.51
383|2019|8|17|20|60|60|Norwood|18.200001|2019|8|17|20|60|60|Norwood|22.530001
419|2019|8|18|0|0|0|Norwood|11.93|2019|8|18|0|0|0|Norwood|17.5
421|2019|8|18|0|0|20|Norwood|12.17|2019|8|18|0|0|20|Norwood|19.440001
