ID,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,LOCATION,HUMIDITY
0,2019,8,16,0,0,17,Norwood,74.509995
1,2019,8,16,0,0,34,Norwood,73.589996
2,2019,8,16,0,0,51,Norwood,74.330002
3,2019,8,16,0,0,68,Norwood,75.369995
4,2019,8,16,0,46,0,Norwood,74.910004
5,2019,8,16,0,46,17,Norwood,73.5
6,2019,8,16,0,46,34,Norwood,73.839996
7,2019,8,16,0,46,51,Norwood,72.0
8,2019,8,16,0,46,68,Norwood,73.279999
9,2019,8,16,0,92,0,Norwood,72.400002
10,2019,8,16,0,92,17,Norwood,71.5
11,2019,8,16,0,92,34,Norwood,71.349998
12,2019,8,16,0,92,51,Norwood,71.080002
13,2019,8,16,0,92,68,Norwood,71.309998
14,2019,8,16,22,0,0,Norwood,71.839996
15,2019,8,16,22,0,17,Norwood,71.93
16,2019,8,16,22,0,34,Norwood,72.220001
17,2019,8,16,22,0,51,Norwood,71.020004
18,2019,8,16,22,0,68,Norwood,70.309998
19,2019,8,16,22,46,0,Norwood,71.300003
20,2019,8,16,22,46,17,Norwood,71.57
21,2019,8,16,22,46,34,Norwood,70.419998
22,2019,8,16,22,46,51,Norwood,71.020004
23,2019,8,16,22,46,68,Norwood,70.080002
24,2019,8,16,22,92,0,Norwood,69.699997
25,2019,8,16,22,92,17,Norwood,68.040001
26,2019,8,16,22,92,34,Norwood,69.989998
27,2019,8,16,22,92,51,Norwood,71.220001
28,2019,8,16,22,92,68,Norwood,70.949997
29,2019,8,16,44,0,0,Norwood,69.309998
30,2019,8,16,44,0,17,Norwood,67.800003
31,2019,8,16,44,0,34,Norwood,68.260002
32,2019,8,16,44,0,51,Norwood,68.729996
33,2019,8,16,44,0,68,Norwood,66.860001
34,2019,8,16,44,46,0,Norwood,68.419998
35,2019,8,16,44,46,17,Norwood,66.879997
36,2019,8,16,44,46,34,Norwood,68.879997
37,2019,8,16,44,46,51,Norwood,66.949997
38,2019,8,16,44,46,68,Norwood,66.910004
39,2019,8,16,44,92,0,Norwood,68.260002
