ID,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,LOCATION,HUMIDITY
0,2019,8,16,0,0,30,Norwood,26.370001
1,2019,8,16,0,0,60,Norwood,25.799999
2,2019,8,16,0,4,0,Norwood,25.190001
3,2019,8,16,0,4,30,Norwood,23.440001
4,2019,8,16,0,4,60,Norwood,23.0
5,2019,8,16,0,8,0,Norwood,22.370001
6,2019,8,16,0,8,30,Norwood,23.02
7,2019,8,16,0,8,60,Norwood,24.219999
8,2019,8,16,0,12,0,Norwood,22.219999
9,2019,8,16,0,12,30,Norwood,21.33
10,2019,8,16,0,12,60,Norwood,21.26
11,2019,8,16,0,16,0,Norwood,22.73
12,2019,8,16,0,16,30,Norwood,21.299999
13,2019,8,16,0,16,60,Norwood,19.57
14,2019,8,16,0,20,0,Norwood,20.51
15,2019,8,16,0,20,30,Norwood,19.15
16,2019,8,16,0,20,60,Norwood,19.35
17,2019,8,16,0,24,0,Norwood,19.08
18,2019,8,16,0,24,30,Norwood,20.08
19,2019,8,16,0,24,60,Norwood,19.950001
20,2019,8,16,0,28,0,Norwood,21.91
21,2019,8,16,0,28,30,Norwood,20.059999
22,2019,8,16,0,28,60,Norwood,21.879999
23,2019,8,16,0,32,0,Norwood,21.059999
24,2019,8,16,0,32,30,Norwood,20.280001
25,2019,8,16,0,32,60,Norwood,20.15
26,2019,8,16,0,36,0,Norwood,21.68
27,2019,8,16,0,36,30,Norwood,22.059999
28,2019,8,16,0,36,60,Norwood,20.91
29,2019,8,16,0,40,0,Norwood,22.530001
30,2019,8,16,0,40,30,Norwood,20.950001
31,2019,8,16,0,40,60,Norwood,20.219999
32,2019,8,16,0,44,0,Norwood,21.700001
33,2019,8,16,0,44,30,Norwood,20.17
34,2019,8,16,0,44,60,Norwood,20.799999
35,2019,8,16,0,48,0,Norwood,20.440001
36,2019,8,16,0,48,30,Norwood,21.709999
37,2019,8,16,0,48,60,Norwood,23.459999
38,2019,8,16,0,52,0,Norwood,22.129999
39,2019,8,16,0,52,30,Norwood,20.440001
40,2019,8,16,0,52,60,Norwood,19.530001
41,2019,8,16,0,56,0,Norwood,20.48
42,2019,8,16,0,56,30,Norwood,21.26
43,2019,8,16,0,56,60,Norwood,21.620001
44,2019,8,16,0,60,0,Norwood,20.6
45,2019,8,16,0,60,30,Norwood,19.459999
46,2019,8,16,0,60,60,Norwood,18.299999
47,2019,8,16,8,0,0,Norwood,19.110001
48,2019,8,16,8,0,30,Norwood,18.799999
49,2019,8,16,8,0,60,Norwood,18.6
50,2019,8,16,8,4,0,Norwood,19.440001
51,2019,8,16,8,4,30,Norwood,20.200001
52,2019,8,16,8,4,60,Norwood,21.4
53,2019,8,16,8,8,0,Norwood,19.48
54,2019,8,16,8,8,30,Norwood,17.5
55,2019,8,16,8,8,60,Norwood,18.17
56,2019,8,16,8,12,0,Norwood,19.790001
57,2019,8,16,8,12,30,Norwood,20.280001
58,2019,8,16,8,12,60,Norwood,18.309999
59,2019,8,16,8,16,0,Norwood,16.459999
60,2019,8,16,8,16,30,Norwood,17.26
61,2019,8,16,8,16,60,Norwood,19.26
62,2019,8,16,8,20,0,Norwood,17.280001
63,2019,8,16,8,20,30,Norwood,16.040001
64,2019,8,16,8,20,60,Norwood,16.309999
65,2019,8,16,8,24,0,Norwood,17.17
66,2019,8,16,8,24,30,Norwood,16.530001
67,2019,8,16,8,24,60,Norwood,16.75
68,2019,8,16,8,28,0,Norwood,16.48
69,2019,8,16,8,28,30,Norwood,16.370001
70,2019,8,16,8,28,60,Norwood,15.77
71,2019,8,16,8,32,0,Norwood,17.129999
72,2019,8,16,8,32,30,Norwood,16.459999
73,2019,8,16,8,32,60,Norwood,16.73
74,2019,8,16,8,36,0,Norwood,16.91
75,2019,8,16,8,36,30,Norwood,18.700001
76,2019,8,16,8,36,60,Norwood,18.48
77,2019,8,16,8,40,0,Norwood,19.57
78,2019,8,16,8,40,30,Norwood,19.15
79,2019,8,16,8,40,60,Norwood,17.59
80,2019,8,16,8,44,0,Norwood,16.040001
81,2019,8,16,8,44,30,Norwood,15.88
82,2019,8,16,8,44,60,Norwood,15.06
83,2019,8,16,8,48,0,Norwood,14.13
84,2019,8,16,8,48,30,Norwood,13.5
85,2019,8,16,8,48,60,Norwood,15.08
