ID,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,LOCATION,PRECIPITATION
0,2019,8,16,0,0,20,Norwood,12.13
1,2019,8,16,0,0,40,Norwood,11.88
2,2019,8,16,0,0,60,Norwood,12.75
3,2019,8,16,0,30,0,Norwood,13.46
4,2019,8,16,0,30,20,Norwood,15.1
5,2019,8,16,0,30,40,Norwood,13.55
6,2019,8,16,0,30,60,Norwood,13.2
7,2019,8,16,0,60,0,Norwood,13.91
8,2019,8,16,0,60,20,Norwood,15.91
9,2019,8,16,0,60,40,Norwood,15.17
10,2019,8,16,0,60,60,Norwood,16.110001
11,2019,8,16,2,0,0,Norwood,16.66
12,2019,8,16,2,0,20,Norwood,16.15
13,2019,8,16,2,0,40,Norwood,14.77
14,2019,8,16,2,0,60,Norwood,15.35
15,2019,8,16,2,30,0,Norwood,13.53
16,2019,8,16,2,30,20,Norwood,15.33
17,2019,8,16,2,30,40,Norwood,16.309999
18,2019,8,16,2,30,60,Norwood,16.620001
19,2019,8,16,2,60,0,Norwood,15.4
20,2019,8,16,2,60,20,Norwood,15.08
21,2019,8,16,2,60,40,Norwood,14.7
22,2019,8,16,2,60,60,Norwood,15.15
23,2019,8,16,4,0,0,Norwood,15.04
24,2019,8,16,4,0,20,Norwood,13.55
25,2019,8,16,4,0,40,Norwood,13.37
26,2019,8,16,4,0,60,Norwood,15.15
27,2019,8,16,4,30,0,Norwood,13.82
28,2019,8,16,4,30,20,Norwood,12.57
29,2019,8,16,4,30,40,Norwood,11.1
30,2019,8,16,4,30,60,Norwood,11.73
31,2019,8,16,4,60,0,Norwood,11.84
32,2019,8,16,4,60,20,Norwood,11.06
33,2019,8,16,4,60,40,Norwood,9.31
34,2019,8,16,4,60,60,Norwood,11.17
35,2019,8,16,6,0,0,Norwood,12.06
36,2019,8,16,6,0,20,Norwood,11.13
37,2019,8,16,6,0,40,Norwood,11.19
38,2019,8,16,6,0,60,Norwood,12.2
39,2019,8,16,6,30,0,Norwood,11.04
40,2019,8,16,6,30,20,Norwood,11.4
41,2019,8,16,6,30,40,Norwood,11.39
42,2019,8,16,6,30,60,Norwood,11.9
43,2019,8,16,6,60,0,Norwood,11.13
44,2019,8,16,6,60,20,Norwood,11.99
45,2019,8,16,6,60,40,Norwood,13.46
46,2019,8,16,6,60,60,Norwood,15.24
47,2019,8,16,8,0,0,Norwood,15.86
48,2019,8,16,8,0,20,Norwood,16.48
49,2019,8,16,8,0,40,Norwood,17.799999
50,2019,8,16,8,0,60,Norwood,15.86
51,2019,8,16,8,30,0,Norwood,14.28
52,2019,8,16,8,30,20,Norwood,13.17
53,2019,8,16,8,30,40,Norwood,13.88
54,2019,8,16,8,30,60,Norwood,14.13
55,2019,8,16,8,60,0,Norwood,16.059999
56,2019,8,16,8,60,20,Norwood,16.790001
57,2019,8,16,8,60,40,Norwood,18.190001
58,2019,8,16,8,60,60,Norwood,16.190001
59,2019,8,16,10,0,0,Norwood,18.08
60,2019,8,16,10,0,20,Norwood,19.08
61,2019,8,16,10,0,40,Norwood,17.15
62,2019,8,16,10,0,60,Norwood,18.129999
63,2019,8,16,10,30,0,Norwood,17.1
64,2019,8,16,10,30,20,Norwood,16.530001
65,2019,8,16,10,30,40,Norwood,14.93
66,2019,8,16,10,30,60,Norwood,16.26
67,2019,8,16,10,60,0,Norwood,14.3
68,2019,8,16,10,60,20,Norwood,13.5
69,2019,8,16,10,60,40,Norwood,13.48
70,2019,8,16,10,60,60,Norwood,11.59
71,2019,8,16,12,0,0,Norwood,11.33
72,2019,8,16,12,0,20,Norwood,13.2
73,2019,8,16,12,0,40,Norwood,13.42
74,2019,8,16,12,0,60,Norwood,12.35
75,2019,8,16,12,30,0,Norwood,10.66
76,2019,8,16,12,30,20,Norwood,10.77
77,2019,8,16,12,30,40,Norwood,10.26
78,2019,8,16,12,30,60,Norwood,10.51
79,2019,8,16,12,60,0,Norwood,12.31
80,2019,8,16,12,60,20,Norwood,12.33
81,2019,8,16,12,60,40,Norwood,10.6
82,2019,8,16,12,60,60,Norwood,9.44
83,2019,8,16,14,0,0,Norwood,8.22
84,2019,8,16,14,0,20,Norwood,9.2
85,2019,8,16,14,0,40,Norwood,10.91
86,2019,8,16,14,0,60,Norwood,12.9
87,2019,8,16,14,30,0,Norwood,11.33
88,2019,8,16,14,30,20,Norwood,10.4
89,2019,8,16,14,30,40,Norwood,10.35
90,2019,8,16,14,30,60,Norwood,9.2
91,2019,8,16,14,60,0,Norwood,10.44
92,2019,8,16,14,60,20,Norwood,10.51
93,2019,8,16,14,60,40,Norwood,9.06
94,2019,8,16,14,60,60,Norwood,8.77
95,2019,8,16,16,0,0,Norwood,10.06
96,2019,8,16,16,0,20,Norwood,11.77
97,2019,8,16,16,0,40,Norwood,10.91
98,2019,8,16,16,0,60,Norwood,11.51
99,2019,8,16,16,30,0,Norwood,10.97
100,2019,8,16,16,30,20,Norwood,9.04
101,2019,8,16,16,30,40,Norwood,10.77
102,2019,8,16,16,30,60,Norwood,9.57
103,2019,8,16,16,60,0,Norwood,11.28
104,2019,8,16,16,60,20,Norwood,11.8
105,2019,8,16,16,60,40,Norwood,13.24
106,2019,8,16,16,60,60,Norwood,15.1
107,2019,8,16,18,0,0,Norwood,14.91
108,2019,8,16,18,0,20,Norwood,14.66
109,2019,8,16,18,0,40,Norwood,13.1
110,2019,8,16,18,0,60,Norwood,11.77
111,2019,8,16,18,30,0,Norwood,13.35
112,2019,8,16,18,30,20,Norwood,13.17
113,2019,8,16,18,30,40,Norwood,14.88
114,2019,8,16,18,30,60,Norwood,14.31
115,2019,8,16,18,60,0,Norwood,16.15
116,2019,8,16,18,60,20,Norwood,16.57
117,2019,8,16,18,60,40,Norwood,16.4
118,2019,8,16,18,60,60,Norwood,14.88
119,2019,8,16,20,0,0,Norwood,15.02
120,2019,8,16,20,0,20,Norwood,16.879999
121,2019,8,16,20,0,40,Norwood,17.57
122,2019,8,16,20,0,60,Norwood,17.48
123,2019,8,16,20,30,0,Norwood,17.15
124,2019,8,16,20,30,20,Norwood,16.77
125,2019,8,16,20,30,40,Norwood,18.57
126,2019,8,16,20,30,60,Norwood,17.700001
127,2019,8,16,20,60,0,Norwood,16.33
128,2019,8,16,20,60,20,Norwood,16.709999
129,2019,8,16,20,60,40,Norwood,16.639999
130,2019,8,16,20,60,60,Norwood,15.73
131,2019,8,16,22,0,0,Norwood,14.86
132,2019,8,16,22,0,20,Norwood,15.22
133,2019,8,16,22,0,40,Norwood,16.08
134,2019,8,16,22,0,60,Norwood,14.28
135,2019,8,16,22,30,0,Norwood,14.33
136,2019,8,16,22,30,20,Norwood,15.73
137,2019,8,16,22,30,40,Norwood,17.24
138,2019,8,16,22,30,60,Norwood,18.860001
139,2019,8,16,22,60,0,Norwood,20.389999
140,2019,8,16,22,60,20,Norwood,20.280001
141,2019,8,16,22,60,40,Norwood,19.040001
142,2019,8,16,22,60,60,Norwood,20.02
143,2019,8,16,24,0,0,Norwood,20.040001
144,2019,8,16,24,0,20,Norwood,20.57
145,2019,8,16,24,0,40,Norwood,18.6
146,2019,8,16,24,0,60,Norwood,19.15
147,2019,8,16,24,30,0,Norwood,19.99
148,2019,8,16,24,30,20,Norwood,18.57
149,2019,8,16,24,30,40,Norwood,18.110001
150,2019,8,16,24,30,60,Norwood,19.280001
151,2019,8,16,24,60,0,Norwood,20.110001
152,2019,8,16,24,60,20,Norwood,21.389999
153,2019,8,16,24,60,40,Norwood,20.26
154,2019,8,16,24,60,60,Norwood,19.4
155,2019,8,17,0,0,0,Norwood,20.879999
156,2019,8,17,0,0,20,Norwood,20.93
157,2019,8,17,0,0,40,Norwood,19.709999
158,2019,8,17,0,0,60,Norwood,19.530001
159,2019,8,17,0,30,0,Norwood,18.57
160,2019,8,17,0,30,20,Norwood,19.91
161,2019,8,17,0,30,40,Norwood,21
162,2019,8,17,0,30,60,Norwood,21.200001
163,2019,8,17,0,60,0,Norwood,23
164,2019,8,17,0,60,20,Norwood,21.309999
165,2019,8,17,0,60,40,Norwood,21.02
166,2019,8,17,0,60,60,Norwood,20.24
167,2019,8,17,2,0,0,Norwood,18.799999
168,2019,8,17,2,0,20,Norwood,20.42
169,2019,8,17,2,0,40,Norwood,20.4
170,2019,8,17,2,0,60,Norwood,21.6
171,2019,8,17,2,30,0,Norwood,21.549999
172,2019,8,17,2,30,20,Norwood,22.110001
173,2019,8,17,2,30,40,Norwood,22.73
174,2019,8,17,2,30,60,Norwood,22.879999
175,2019,8,17,2,60,0,Norwood,22.190001
176,2019,8,17,2,60,20,Norwood,22.370001
177,2019,8,17,2,60,40,Norwood,23.84
178,2019,8,17,2,60,60,Norwood,24.73
179,2019,8,17,4,0,0,Norwood,25.530001
180,2019,8,17,4,0,20,Norwood,23.549999
181,2019,8,17,4,0,40,Norwood,22
182,2019,8,17,4,0,60,Norwood,22.299999
183,2019,8,17,4,30,0,Norwood,22.57
184,2019,8,17,4,30,20,Norwood,22.530001
185,2019,8,17,4,30,40,Norwood,20.709999
186,2019,8,17,4,30,60,Norwood,22.17
187,2019,8,17,4,60,0,Norwood,21.299999
188,2019,8,17,4,60,20,Norwood,21.950001
189,2019,8,17,4,60,40,Norwood,23.93
190,2019,8,17,4,60,60,Norwood,25.91
191,2019,8,17,6,0,0,Norwood,26.860001
192,2019,8,17,6,0,20,Norwood,26
193,2019,8,17,6,0,40,Norwood,27.84
194,2019,8,17,6,0,60,Norwood,28.15
195,2019,8,17,6,30,0,Norwood,27.950001
196,2019,8,17,6,30,20,Norwood,26.969999
197,2019,8,17,6,30,40,Norwood,25.91
198,2019,8,17,6,30,60,Norwood,26.389999
199,2019,8,17,6,60,0,Norwood,25.77
200,2019,8,17,6,60,20,Norwood,26.66
201,2019,8,17,6,60,40,Norwood,28.639999
202,2019,8,17,6,60,60,Norwood,29.389999
203,2019,8,17,8,0,0,Norwood,27.6
204,2019,8,17,8,0,20,Norwood,27.57
205,2019,8,17,8,0,40,Norwood,29.059999
206,2019,8,17,8,0,60,Norwood,31.040001
207,2019,8,17,8,30,0,Norwood,30.5
208,2019,8,17,8,30,20,Norwood,29.700001
209,2019,8,17,8,30,40,Norwood,30.059999
210,2019,8,17,8,30,60,Norwood,29.700001
211,2019,8,17,8,60,0,Norwood,28.190001
212,2019,8,17,8,60,20,Norwood,28.530001
213,2019,8,17,8,60,40,Norwood,28.110001
214,2019,8,17,8,60,60,Norwood,26.57
215,2019,8,17,10,0,0,Norwood,25.08
216,2019,8,17,10,0,20,Norwood,23.950001
217,2019,8,17,10,0,40,Norwood,22.84
218,2019,8,17,10,0,60,Norwood,21.879999
219,2019,8,17,10,30,0,Norwood,23.4
220,2019,8,17,10,30,20,Norwood,23.799999
221,2019,8,17,10,30,40,Norwood,22.84
222,2019,8,17,10,30,60,Norwood,21.15
223,2019,8,17,10,60,0,Norwood,20.700001
224,2019,8,17,10,60,20,Norwood,19.969999
225,2019,8,17,10,60,40,Norwood,19.5
226,2019,8,17,10,60,60,Norwood,18.280001
227,2019,8,17,12,0,0,Norwood,18.68
228,2019,8,17,12,0,20,Norwood,19.24
229,2019,8,17,12,0,40,Norwood,17.51
230,2019,8,17,12,0,60,Norwood,17.48
231,2019,8,17,12,30,0,Norwood,17.9
232,2019,8,17,12,30,20,Norwood,16.51
233,2019,8,17,12,30,40,Norwood,17.66
234,2019,8,17,12,30,60,Norwood,19.299999
235,2019,8,17,12,60,0,Norwood,20.93
236,2019,8,17,12,60,20,Norwood,21.700001
237,2019,8,17,12,60,40,Norwood,20.219999
238,2019,8,17,12,60,60,Norwood,19.370001
239,2019,8,17,14,0,0,Norwood,18.620001
240,2019,8,17,14,0,20,Norwood,17.799999
241,2019,8,17,14,0,40,Norwood,16.790001
242,2019,8,17,14,0,60,Norwood,15.5
243,2019,8,17,14,30,0,Norwood,16.440001
244,2019,8,17,14,30,20,Norwood,16.040001
245,2019,8,17,14,30,40,Norwood,16.709999
246,2019,8,17,14,30,60,Norwood,17.190001
247,2019,8,17,14,60,0,Norwood,17.110001
248,2019,8,17,14,60,20,Norwood,17.51
249,2019,8,17,14,60,40,Norwood,18.35
250,2019,8,17,14,60,60,Norwood,17.5
251,2019,8,17,16,0,0,Norwood,16.42
252,2019,8,17,16,0,20,Norwood,16.299999
253,2019,8,17,16,0,40,Norwood,15.2
254,2019,8,17,16,0,60,Norwood,16.84
255,2019,8,17,16,30,0,Norwood,18.48
256,2019,8,17,16,30,20,Norwood,16.77
257,2019,8,17,16,30,40,Norwood,15.35
258,2019,8,17,16,30,60,Norwood,17.08
259,2019,8,17,16,60,0,Norwood,18.4
260,2019,8,17,16,60,20,Norwood,17.969999
261,2019,8,17,16,60,40,Norwood,16.57
262,2019,8,17,16,60,60,Norwood,15.44
263,2019,8,17,18,0,0,Norwood,15.93
264,2019,8,17,18,0,20,Norwood,16.59
265,2019,8,17,18,0,40,Norwood,18.370001
266,2019,8,17,18,0,60,Norwood,17.91
267,2019,8,17,18,30,0,Norwood,16
268,2019,8,17,18,30,20,Norwood,16.059999
269,2019,8,17,18,30,40,Norwood,17.77
270,2019,8,17,18,30,60,Norwood,17.77
271,2019,8,17,18,60,0,Norwood,17.219999
272,2019,8,17,18,60,20,Norwood,15.97
273,2019,8,17,18,60,40,Norwood,17.879999
274,2019,8,17,18,60,60,Norwood,19.440001
275,2019,8,17,20,0,0,Norwood,19.5
276,2019,8,17,20,0,20,Norwood,17.91
277,2019,8,17,20,0,40,Norwood,18.77
278,2019,8,17,20,0,60,Norwood,17.91
279,2019,8,17,20,30,0,Norwood,19.879999
280,2019,8,17,20,30,20,Norwood,18.33
281,2019,8,17,20,30,40,Norwood,18.879999
282,2019,8,17,20,30,60,Norwood,19.17
283,2019,8,17,20,60,0,Norwood,17.57
284,2019,8,17,20,60,20,Norwood,19.059999
285,2019,8,17,20,60,40,Norwood,18.6
286,2019,8,17,20,60,60,Norwood,17.219999
287,2019,8,17,22,0,0,Norwood,16
288,2019,8,17,22,0,20,Norwood,14.84
289,2019,8,17,22,0,40,Norwood,14.11
290,2019,8,17,22,0,60,Norwood,15
291,2019,8,17,22,30,0,Norwood,14.51
292,2019,8,17,22,30,20,Norwood,13.3
293,2019,8,17,22,30,40,Norwood,13.33
294,2019,8,17,22,30,60,Norwood,13.53
295,2019,8,17,22,60,0,Norwood,13.39
296,2019,8,17,22,60,20,Norwood,12.51
297,2019,8,17,22,60,40,Norwood,11.51
298,2019,8,17,22,60,60,Norwood,9.97
299,2019,8,17,24,0,0,Norwood,8.84
300,2019,8,17,24,0,20,Norwood,9.08
301,2019,8,17,24,0,40,Norwood,9.6
302,2019,8,17,24,0,60,Norwood,11.55
303,2019,8,17,24,30,0,Norwood,12.9
304,2019,8,17,24,30,20,Norwood,12.42
305,2019,8,17,24,30,40,Norwood,12.31
306,2019,8,17,24,30,60,Norwood,10.4
307,2019,8,17,24,60,0,Norwood,9.13
308,2019,8,17,24,60,20,Norwood,10.24
309,2019,8,17,24,60,40,Norwood,9.8
310,2019,8,17,24,60,60,Norwood,10.55
311,2019,8,18,0,0,0,Norwood,8.73
312,2019,8,18,0,0,20,Norwood,8.04
313,2019,8,18,0,0,40,Norwood,8.73
314,2019,8,18,0,0,60,Norwood,9.37
315,2019,8,18,0,30,0,Norwood,10.73
316,2019,8,18,0,30,20,Norwood,12.19
317,2019,8,18,0,30,40,Norwood,13.17
318,2019,8,18,0,30,60,Norwood,12.02
319,2019,8,18,0,60,0,Norwood,11.88
320,2019,8,18,0,60,20,Norwood,10.3
321,2019,8,18,0,60,40,Norwood,9.26
322,2019,8,18,0,60,60,Norwood,10.1
323,2019,8,18,2,0,0,Norwood,9.08
324,2019,8,18,2,0,20,Norwood,9.68
325,2019,8,18,2,0,40,Norwood,10.42
326,2019,8,18,2,0,60,Norwood,10.57
327,2019,8,18,2,30,0,Norwood,11.57
328,2019,8,18,2,30,20,Norwood,12.7
329,2019,8,18,2,30,40,Norwood,13.11
330,2019,8,18,2,30,60,Norwood,14.11
331,2019,8,18,2,60,0,Norwood,12.17
332,2019,8,18,2,60,20,Norwood,12.04
333,2019,8,18,2,60,40,Norwood,12.6
334,2019,8,18,2,60,60,Norwood,11.88
335,2019,8,18,4,0,0,Norwood,11.77
336,2019,8,18,4,0,20,Norwood,11.48
337,2019,8,18,4,0,40,Norwood,13.19
338,2019,8,18,4,0,60,Norwood,11.6
339,2019,8,18,4,30,0,Norwood,11.44
340,2019,8,18,4,30,20,Norwood,10.11
341,2019,8,18,4,30,40,Norwood,11.97
342,2019,8,18,4,30,60,Norwood,13.06
343,2019,8,18,4,60,0,Norwood,13.93
344,2019,8,18,4,60,20,Norwood,13.15
345,2019,8,18,4,60,40,Norwood,11.5
346,2019,8,18,4,60,60,Norwood,12.84
347,2019,8,18,6,0,0,Norwood,14.06
348,2019,8,18,6,0,20,Norwood,14.57
349,2019,8,18,6,0,40,Norwood,14.35
350,2019,8,18,6,0,60,Norwood,13.42
351,2019,8,18,6,30,0,Norwood,13.19
352,2019,8,18,6,30,20,Norwood,13.8
353,2019,8,18,6,30,40,Norwood,12.57
354,2019,8,18,6,30,60,Norwood,13.5
355,2019,8,18,6,60,0,Norwood,14.55
356,2019,8,18,6,60,20,Norwood,14.15
357,2019,8,18,6,60,40,Norwood,13.95
358,2019,8,18,6,60,60,Norwood,14.24
359,2019,8,18,8,0,0,Norwood,14.62
360,2019,8,18,8,0,20,Norwood,15.22
361,2019,8,18,8,0,40,Norwood,14.35
