ID,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,LOCATION,PRESSURE
0,2019,8,16,0,0,32,Norwood,22.4
1,2019,8,16,0,0,64,Norwood,23.91
2,2019,8,16,0,16,0,Norwood,25.73
3,2019,8,16,0,16,32,Norwood,24.299999
4,2019,8,16,0,16,64,Norwood,23.99
5,2019,8,16,0,32,0,Norwood,24.51
6,2019,8,16,0,32,32,Norwood,26.1
7,2019,8,16,0,32,64,Norwood,25.280001
8,2019,8,16,0,48,0,Norwood,25.6
9,2019,8,16,0,48,32,Norwood,27.59
10,2019,8,16,0,48,64,Norwood,29.530001
11,2019,8,16,0,64,0,Norwood,28.75
12,2019,8,16,0,64,32,Norwood,27.370001
13,2019,8,16,0,64,64,Norwood,25.700001
14,2019,8,16,4,0,0,Norwood,27.51
15,2019,8,16,4,0,32,Norwood,26.299999
16,2019,8,16,4,0,64,Norwood,25.299999
17,2019,8,16,4,16,0,Norwood,27.110001
18,2019,8,16,4,16,32,Norwood,26.879999
19,2019,8,16,4,16,64,Norwood,25.84
20,2019,8,16,4,32,0,Norwood,27.190001
21,2019,8,16,4,32,32,Norwood,28.73
22,2019,8,16,4,32,64,Norwood,30.26
23,2019,8,16,4,48,0,Norwood,29.51
24,2019,8,16,4,48,32,Norwood,30.389999
25,2019,8,16,4,48,64,Norwood,29.15
26,2019,8,16,4,64,0,Norwood,30.549999
27,2019,8,16,4,64,32,Norwood,29.84
28,2019,8,16,4,64,64,Norwood,30.950001
29,2019,8,16,8,0,0,Norwood,30.5
30,2019,8,16,8,0,32,Norwood,29.530001
31,2019,8,16,8,0,64,Norwood,27.969999
32,2019,8,16,8,16,0,Norwood,26.24
33,2019,8,16,8,16,32,Norwood,27.84
34,2019,8,16,8,16,64,Norwood,29.24
35,2019,8,16,8,32,0,Norwood,30.709999
36,2019,8,16,8,32,32,Norwood,31.620001
37,2019,8,16,8,32,64,Norwood,31.26
38,2019,8,16,8,48,0,Norwood,31.6
39,2019,8,16,8,48,32,Norwood,33.549999
40,2019,8,16,8,48,64,Norwood,35.279999
41,2019,8,16,8,64,0,Norwood,34.02
42,2019,8,16,8,64,32,Norwood,35.709999
43,2019,8,16,8,64,64,Norwood,37.700001
44,2019,8,16,12,0,0,Norwood,36.900002
45,2019,8,16,12,0,32,Norwood,37.57
46,2019,8,16,12,0,64,Norwood,35.990002
47,2019,8,16,12,16,0,Norwood,37.439999
48,2019,8,16,12,16,32,Norwood,37.419998
49,2019,8,16,12,16,64,Norwood,38.130001
50,2019,8,16,12,32,0,Norwood,36.619999
51,2019,8,16,12,32,32,Norwood,38.419998
52,2019,8,16,12,32,64,Norwood,39.110001
53,2019,8,16,12,48,0,Norwood,40.310001
54,2019,8,16,12,48,32,Norwood,38.68
55,2019,8,16,12,48,64,Norwood,37.240002
56,2019,8,16,12,64,0,Norwood,38.189999
57,2019,8,16,12,64,32,Norwood,38.5
58,2019,8,16,12,64,64,Norwood,36.73
59,2019,8,16,16,0,0,Norwood,37.77
60,2019,8,16,16,0,32,Norwood,36.080002
61,2019,8,16,16,0,64,Norwood,34.91
62,2019,8,16,16,16,0,Norwood,33.389999
63,2019,8,16,16,16,32,Norwood,33.459999
64,2019,8,16,16,16,64,Norwood,35.389999
65,2019,8,16,16,32,0,Norwood,34.080002
66,2019,8,16,16,32,32,Norwood,36.080002
67,2019,8,16,16,32,64,Norwood,34.75
68,2019,8,16,16,48,0,Norwood,34.369999
69,2019,8,16,16,48,32,Norwood,32.369999
70,2019,8,16,16,48,64,Norwood,31.389999
71,2019,8,16,16,64,0,Norwood,32.639999
72,2019,8,16,16,64,32,Norwood,31.110001
73,2019,8,16,16,64,64,Norwood,30.879999
74,2019,8,16,20,0,0,Norwood,29.309999
75,2019,8,16,20,0,32,Norwood,29.549999
76,2019,8,16,20,0,64,Norwood,28.91
77,2019,8,16,20,16,0,Norwood,29.77
78,2019,8,16,20,16,32,Norwood,29.68
79,2019,8,16,20,16,64,Norwood,30.309999
80,2019,8,16,20,32,0,Norwood,30.68
81,2019,8,16,20,32,32,Norwood,29.77
82,2019,8,16,20,32,64,Norwood,30.73
83,2019,8,16,20,48,0,Norwood,31
84,2019,8,16,20,48,32,Norwood,30.190001
85,2019,8,16,20,48,64,Norwood,32.130001
86,2019,8,16,20,64,0,Norwood,33
87,2019,8,16,20,64,32,Norwood,34.02
88,2019,8,16,20,64,64,Norwood,35.279999
89,2019,8,16,24,0,0,Norwood,34.389999
90,2019,8,16,24,0,32,Norwood,36.369999
91,2019,8,16,24,0,64,Norwood,34.549999
92,2019,8,16,24,16,0,Norwood,36
93,2019,8,16,24,16,32,Norwood,34.060001
94,2019,8,16,24,16,64,Norwood,32.66
95,2019,8,16,24,32,0,Norwood,31.33
96,2019,8,16,24,32,32,Norwood,31.91
97,2019,8,16,24,32,64,Norwood,31.17
98,2019,8,16,24,48,0,Norwood,32.91
99,2019,8,16,24,48,32,Norwood,34.040001
100,2019,8,16,24,48,64,Norwood,33.080002
101,2019,8,16,24,64,0,Norwood,32.509998
102,2019,8,16,24,64,32,Norwood,31.91
103,2019,8,16,24,64,64,Norwood,33.259998
104,2019,8,26,0,0,0,Norwood,32.240002
105,2019,8,26,0,0,32,Norwood,30.77
106,2019,8,26,0,0,64,Norwood,29.309999
107,2019,8,26,0,16,0,Norwood,31.26
108,2019,8,26,0,16,32,Norwood,29.799999
109,2019,8,26,0,16,64,Norwood,29.33
110,2019,8,26,0,32,0,Norwood,27.950001
111,2019,8,26,0,32,32,Norwood,28.59
