ID,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,LOCATION,RADIATION
0,2019,8,16,0,0,10,Norwood,16.549999
1,2019,8,16,0,0,20,Norwood,16.48
2,2019,8,16,0,0,30,Norwood,15.15
3,2019,8,16,0,0,40,Norwood,14.64
4,2019,8,16,0,0,50,Norwood,14.24
5,2019,8,16,0,0,60,Norwood,16
6,2019,8,16,0,2,0,Norwood,15.6
7,2019,8,16,0,2,10,Norwood,17.200001
8,2019,8,16,0,2,20,Norwood,16.17
9,2019,8,16,0,2,30,Norwood,17.309999
10,2019,8,16,0,2,40,Norwood,17.99
11,2019,8,16,0,2,50,Norwood,19.26
12,2019,8,16,0,2,60,Norwood,20.73
13,2019,8,16,0,4,0,Norwood,21.709999
14,2019,8,16,0,4,10,Norwood,20.84
15,2019,8,16,0,4,20,Norwood,19.17
16,2019,8,16,0,4,30,Norwood,17.4
17,2019,8,16,0,4,40,Norwood,17.040001
18,2019,8,16,0,4,50,Norwood,15.42
19,2019,8,16,0,4,60,Norwood,17.040001
20,2019,8,16,0,6,0,Norwood,16.879999
21,2019,8,16,0,6,10,Norwood,16.459999
22,2019,8,16,0,6,20,Norwood,18.4
23,2019,8,16,0,6,30,Norwood,17.129999
24,2019,8,16,0,6,40,Norwood,16.66
25,2019,8,16,0,6,50,Norwood,15.26
26,2019,8,16,0,6,60,Norwood,16.57
27,2019,8,16,0,8,0,Norwood,14.57
28,2019,8,16,0,8,10,Norwood,16.459999
29,2019,8,16,0,8,20,Norwood,16.1
30,2019,8,16,0,8,30,Norwood,14.26
31,2019,8,16,0,8,40,Norwood,14.57
32,2019,8,16,0,8,50,Norwood,13.99
33,2019,8,16,0,8,60,Norwood,12.46
34,2019,8,16,0,10,0,Norwood,13.75
35,2019,8,16,0,10,10,Norwood,12.15
36,2019,8,16,0,10,20,Norwood,13.13
37,2019,8,16,0,10,30,Norwood,12.5
38,2019,8,16,0,10,40,Norwood,12.15
39,2019,8,16,0,10,50,Norwood,10.31
40,2019,8,16,0,10,60,Norwood,12.17
41,2019,8,16,0,12,0,Norwood,12.17
42,2019,8,16,0,12,10,Norwood,12.73
43,2019,8,16,0,12,20,Norwood,12.31
44,2019,8,16,0,12,30,Norwood,11.22
45,2019,8,16,0,12,40,Norwood,11.91
46,2019,8,16,0,12,50,Norwood,13.28
47,2019,8,16,0,12,60,Norwood,11.55
48,2019,8,16,0,14,0,Norwood,10.8
49,2019,8,16,0,14,10,Norwood,10.73
50,2019,8,16,0,14,20,Norwood,10.59
51,2019,8,16,0,14,30,Norwood,10.8
52,2019,8,16,0,14,40,Norwood,10.57
53,2019,8,16,0,14,50,Norwood,9.39
54,2019,8,16,0,14,60,Norwood,9.44
55,2019,8,16,0,16,0,Norwood,10.11
56,2019,8,16,0,16,10,Norwood,11.2
57,2019,8,16,0,16,20,Norwood,12.62
58,2019,8,16,0,16,30,Norwood,12.11
59,2019,8,16,0,16,40,Norwood,11.02
60,2019,8,16,0,16,50,Norwood,11.88
61,2019,8,16,0,16,60,Norwood,13.19
62,2019,8,16,0,18,0,Norwood,11.4
63,2019,8,16,0,18,10,Norwood,9.48
64,2019,8,16,0,18,20,Norwood,10.88
65,2019,8,16,0,18,30,Norwood,9.73
66,2019,8,16,0,18,40,Norwood,11.08
67,2019,8,16,0,18,50,Norwood,12.04
68,2019,8,16,0,18,60,Norwood,12.77
69,2019,8,16,0,20,0,Norwood,13.17
70,2019,8,16,0,20,10,Norwood,13.15
71,2019,8,16,0,20,20,Norwood,12.84
72,2019,8,16,0,20,30,Norwood,11.44
73,2019,8,16,0,20,40,Norwood,9.97
74,2019,8,16,0,20,50,Norwood,10.75
75,2019,8,16,0,20,60,Norwood,12.1
76,2019,8,16,0,22,0,Norwood,10.88
77,2019,8,16,0,22,10,Norwood,11.71
78,2019,8,16,0,22,20,Norwood,10.95
79,2019,8,16,0,22,30,Norwood,10.1
80,2019,8,16,0,22,40,Norwood,8.11
81,2019,8,16,0,22,50,Norwood,9.39
82,2019,8,16,0,22,60,Norwood,10.71
83,2019,8,16,0,24,0,Norwood,11.46
84,2019,8,16,0,24,10,Norwood,12.3
85,2019,8,16,0,24,20,Norwood,12.24
86,2019,8,16,0,24,30,Norwood,13.35
87,2019,8,16,0,24,40,Norwood,11.68
88,2019,8,16,0,24,50,Norwood,10.82
89,2019,8,16,0,24,60,Norwood,10.55
90,2019,8,16,0,26,0,Norwood,11.8
91,2019,8,16,0,26,10,Norwood,13.04
92,2019,8,16,0,26,20,Norwood,11.04
93,2019,8,16,0,26,30,Norwood,11.7
94,2019,8,16,0,26,40,Norwood,12.73
95,2019,8,16,0,26,50,Norwood,13.08
96,2019,8,16,0,26,60,Norwood,12.5
97,2019,8,16,0,28,0,Norwood,12.66
98,2019,8,16,0,28,10,Norwood,13.95
99,2019,8,16,0,28,20,Norwood,13.55
100,2019,8,16,0,28,30,Norwood,15.22
101,2019,8,16,0,28,40,Norwood,13.95
102,2019,8,16,0,28,50,Norwood,13.2
103,2019,8,16,0,28,60,Norwood,11.44
104,2019,8,16,0,30,0,Norwood,13.31
105,2019,8,16,0,30,10,Norwood,15.17
106,2019,8,16,0,30,20,Norwood,15.66
107,2019,8,16,0,30,30,Norwood,15.1
108,2019,8,16,0,30,40,Norwood,15.73
109,2019,8,16,0,30,50,Norwood,17.51
110,2019,8,16,0,30,60,Norwood,17.799999
111,2019,8,16,0,32,0,Norwood,18.59
112,2019,8,16,0,32,10,Norwood,17.6
113,2019,8,16,0,32,20,Norwood,19.059999
114,2019,8,16,0,32,30,Norwood,20.280001
115,2019,8,16,0,32,40,Norwood,20.91
116,2019,8,16,0,32,50,Norwood,20.620001
117,2019,8,16,0,32,60,Norwood,20.309999
118,2019,8,16,0,34,0,Norwood,20.389999
119,2019,8,16,0,34,10,Norwood,21.299999
120,2019,8,16,0,34,20,Norwood,21.799999
121,2019,8,16,0,34,30,Norwood,21.219999
122,2019,8,16,0,34,40,Norwood,19.280001
123,2019,8,16,0,34,50,Norwood,19.73
124,2019,8,16,0,34,60,Norwood,20.33
125,2019,8,16,0,36,0,Norwood,22.02
