ID,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,LOCATION,HUMIDITY
0,2019,8,16,0,0,29,Kensington,75.910004
1,2019,8,16,0,0,58,Kensington,74.389999
2,2019,8,16,0,0,87,Kensington,74.110001
3,2019,8,16,0,46,0,Kensington,75.129997
4,2019,8,16,0,46,29,Kensington,74.769997
5,2019,8,16,0,46,58,Kensington,76.419998
6,2019,8,16,0,46,87,Kensington,77.199997
7,2019,8,16,0,92,0,Kensington,76.419998
8,2019,8,16,0,92,29,Kensington,77.169998
9,2019,8,16,0,92,58,Kensington,76.730003
10,2019,8,16,0,92,87,Kensington,78.699997
11,2019,8,16,22,0,0,Kensington,79.040001
12,2019,8,16,22,0,29,Kensington,79.879997
13,2019,8,16,22,0,58,Kensington,78.370003
14,2019,8,16,22,0,87,Kensington,77.110001
15,2019,8,16,22,46,0,Kensington,78.800003
16,2019,8,16,22,46,29,Kensington,80.419998
17,2019,8,16,22,46,58,Kensington,80.589996
18,2019,8,16,22,46,87,Kensington,80.220001
19,2019,8,16,22,92,0,Kensington,80.389999
20,2019,8,16,22,92,29,Kensington,79.0
21,2019,8,16,22,92,58,Kensington,79.040001
22,2019,8,16,22,92,87,Kensington,80.349998
23,2019,8,16,44,0,0,Kensington,81.389999
24,2019,8,16,44,0,29,Kensington,83.099998
25,2019,8,16,44,0,58,Kensington,81.169998
26,2019,8,16,44,0,87,Kensington,81.510002
27,2019,8,16,44,46,0,Kensington,80.839996
28,2019,8,16,44,46,29,Kensington,79.949997
29,2019,8,16,44,46,58,Kensington,79.639999
30,2019,8,16,44,46,87,Kensington,80.879997
31,2019,8,16,44,92,0,Kensington,82.400002
32,2019,8,16,44,92,29,Kensington,81.440002
33,2019,8,16,44,92,58,Kensington,80.0
34,2019,8,16,44,92,87,Kensington,80.730003
35,2019,8,26,0,0,0,Kensington,79.309998
36,2019,8,26,0,0,29,Kensington,77.459999
37,2019,8,26,0,0,58,Kensington,78.790001
38,2019,8,26,0,0,87,Kensington,78.589996
39,2019,8,26,0,46,0,Kensington,78.110001
40,2019,8,26,0,46,29,Kensington,77.699997
41,2019,8,26,0,46,58,Kensington,76.309998
42,2019,8,26,0,46,87,Kensington,78.190002
43,2019,8,26,0,92,0,Kensington,77.199997
44,2019,8,26,0,92,29,Kensington,78.349998
45,2019,8,26,0,92,58,Kensington,77.349998
46,2019,8,26,0,92,87,Kensington,75.769997
47,2019,8,26,22,0,0,Kensington,74.660004
48,2019,8,26,22,0,29,Kensington,73.699997
49,2019,8,26,22,0,58,Kensington,72.040001
50,2019,8,26,22,0,87,Kensington,72.68
51,2019,8,26,22,46,0,Kensington,73.620003
52,2019,8,26,22,46,29,Kensington,72.82
53,2019,8,26,22,46,58,Kensington,74.529999
