ID,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,LOCATION,TEMPERATURE
0,2019,8,16,0,0,29,Norwood,32.439999
1,2019,8,16,0,0,58,Norwood,33.48
2,2019,8,16,0,0,87,Norwood,32.91
3,2019,8,16,0,23,0,Norwood,34.73
4,2019,8,16,0,23,29,Norwood,32.77
5,2019,8,16,0,23,58,Norwood,32.970001
6,2019,8,16,0,23,87,Norwood,34.169998
7,2019,8,16,0,46,0,Norwood,32.419998
8,2019,8,16,0,46,29,Norwood,33.91
9,2019,8,16,0,46,58,Norwood,34.389999
10,2019,8,16,0,46,87,Norwood,33.240002
11,2019,8,16,0,69,0,Norwood,32.279999
12,2019,8,16,0,69,29,Norwood,30.700001
13,2019,8,16,0,69,58,Norwood,32.279999
14,2019,8,16,0,69,87,Norwood,34.169998
15,2019,8,16,11,0,0,Norwood,34.169998
16,2019,8,16,11,0,29,Norwood,33.59
17,2019,8,16,11,0,58,Norwood,33.599998
18,2019,8,16,11,0,87,Norwood,31.620001
19,2019,8,16,11,23,0,Norwood,32.509998
20,2019,8,16,11,23,29,Norwood,31.59
21,2019,8,16,11,23,58,Norwood,32.02
22,2019,8,16,11,23,87,Norwood,32.57
23,2019,8,16,11,46,0,Norwood,32.169998
24,2019,8,16,11,46,29,Norwood,32.48
25,2019,8,16,11,46,58,Norwood,34.040001
26,2019,8,16,11,46,87,Norwood,32.419998
27,2019,8,16,11,69,0,Norwood,31.5
28,2019,8,16,11,69,29,Norwood,30.99
29,2019,8,16,11,69,58,Norwood,29.73
30,2019,8,16,11,69,87,Norwood,31.440001
31,2019,8,16,22,0,0,Norwood,33.310001
32,2019,8,16,22,0,29,Norwood,32.02
33,2019,8,16,22,0,58,Norwood,34.0
34,2019,8,16,22,0,87,Norwood,35.77
35,2019,8,16,22,23,0,Norwood,34.950001
36,2019,8,16,22,23,29,Norwood,36.240002
37,2019,8,16,22,23,58,Norwood,37.599998
38,2019,8,16,22,23,87,Norwood,36.259998
39,2019,8,16,22,46,0,Norwood,36.48
40,2019,8,16,22,46,29,Norwood,37.349998
41,2019,8,16,22,46,58,Norwood,35.91
42,2019,8,16,22,46,87,Norwood,36.259998
43,2019,8,16,22,69,0,Norwood,35.82
44,2019,8,16,22,69,29,Norwood,36.299999
45,2019,8,16,22,69,58,Norwood,37.529999
