ID,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,LOCATION,TEMPERATURE
0,2019,8,16,0,0,10,Norwood,26.6
1,2019,8,16,0,0,20,Norwood,25.799999
2,2019,8,16,0,0,30,Norwood,24.77
3,2019,8,16,0,0,40,Norwood,25.860001
4,2019,8,16,0,0,50,Norwood,24.0
5,2019,8,16,0,0,60,Norwood,25.91
6,2019,8,16,0,15,0,Norwood,25.879999
7,2019,8,16,0,15,10,Norwood,27.59
8,2019,8,16,0,15,20,Norwood,29.1
9,2019,8,16,0,15,30,Norwood,30.440001
10,2019,8,16,0,15,40,Norwood,32.400002
11,2019,8,16,0,15,50,Norwood,33.82
12,2019,8,16,0,15,60,Norwood,35.790001
13,2019,8,16,0,30,0,Norwood,36.279999
14,2019,8,16,0,30,10,Norwood,37.950001
15,2019,8,16,0,30,20,Norwood,36.189999
16,2019,8,16,0,30,30,Norwood,34.220001
17,2019,8,16,0,30,40,Norwood,35.91
18,2019,8,16,0,30,50,Norwood,34.279999
19,2019,8,16,0,30,60,Norwood,36.220001
20,2019,8,16,0,45,0,Norwood,35.259998
21,2019,8,16,0,45,10,Norwood,34.110001
22,2019,8,16,0,45,20,Norwood,33.220001
23,2019,8,16,0,45,30,Norwood,32.84
24,2019,8,16,0,45,40,Norwood,32.400002
25,2019,8,16,0,45,50,Norwood,31.35
26,2019,8,16,0,45,60,Norwood,33.080002
27,2019,8,16,0,60,0,Norwood,34.169998
28,2019,8,16,0,60,10,Norwood,32.439999
29,2019,8,16,0,60,20,Norwood,32.419998
30,2019,8,16,0,60,30,Norwood,33.790001
31,2019,8,16,0,60,40,Norwood,31.799999
32,2019,8,16,0,60,50,Norwood,32.950001
33,2019,8,16,0,60,60,Norwood,32.549999
34,2019,8,16,5,0,0,Norwood,31.040001
35,2019,8,16,5,0,10,Norwood,32.459999
36,2019,8,16,5,0,20,Norwood,34.279999
37,2019,8,16,5,0,30,Norwood,33.950001
38,2019,8,16,5,0,40,Norwood,32.439999
39,2019,8,16,5,0,50,Norwood,31.190001
40,2019,8,16,5,0,60,Norwood,31.700001
41,2019,8,16,5,15,0,Norwood,30.389999
42,2019,8,16,5,15,10,Norwood,32.110001
43,2019,8,16,5,15,20,Norwood,30.4
44,2019,8,16,5,15,30,Norwood,30.26
45,2019,8,16,5,15,40,Norwood,30.219999
46,2019,8,16,5,15,50,Norwood,32.200001
47,2019,8,16,5,15,60,Norwood,33.509998
48,2019,8,16,5,30,0,Norwood,33.68
49,2019,8,16,5,30,10,Norwood,33.389999
50,2019,8,16,5,30,20,Norwood,33.169998
51,2019,8,16,5,30,30,Norwood,34.060001
52,2019,8,16,5,30,40,Norwood,35.220001
53,2019,8,16,5,30,50,Norwood,34.950001
54,2019,8,16,5,30,60,Norwood,35.169998
55,2019,8,16,5,45,0,Norwood,34.84
56,2019,8,16,5,45,10,Norwood,33.93
57,2019,8,16,5,45,20,Norwood,33.75
58,2019,8,16,5,45,30,Norwood,34.279999
59,2019,8,16,5,45,40,Norwood,33.0
60,2019,8,16,5,45,50,Norwood,34.599998
61,2019,8,16,5,45,60,Norwood,33.619999
62,2019,8,16,5,60,0,Norwood,35.220001
63,2019,8,16,5,60,10,Norwood,35.040001
64,2019,8,16,5,60,20,Norwood,36.080002
65,2019,8,16,5,60,30,Norwood,37.150002
66,2019,8,16,5,60,40,Norwood,35.200001
67,2019,8,16,5,60,50,Norwood,36.48
68,2019,8,16,5,60,60,Norwood,35.259998
69,2019,8,16,10,0,0,Norwood,36.549999
70,2019,8,16,10,0,10,Norwood,35.509998
71,2019,8,16,10,0,20,Norwood,33.91
72,2019,8,16,10,0,30,Norwood,32.66
73,2019,8,16,10,0,40,Norwood,31.200001
74,2019,8,16,10,0,50,Norwood,31.620001
75,2019,8,16,10,0,60,Norwood,33.060001
76,2019,8,16,10,15,0,Norwood,32.150002
77,2019,8,16,10,15,10,Norwood,30.17
78,2019,8,16,10,15,20,Norwood,30.51
79,2019,8,16,10,15,30,Norwood,28.84
80,2019,8,16,10,15,40,Norwood,27.639999
81,2019,8,16,10,15,50,Norwood,27.48
82,2019,8,16,10,15,60,Norwood,28.26
83,2019,8,16,10,30,0,Norwood,26.530001
84,2019,8,16,10,30,10,Norwood,28.33
85,2019,8,16,10,30,20,Norwood,27.73
86,2019,8,16,10,30,30,Norwood,27.99
87,2019,8,16,10,30,40,Norwood,28.5
88,2019,8,16,10,30,50,Norwood,27.4
89,2019,8,16,10,30,60,Norwood,26.08
90,2019,8,16,10,45,0,Norwood,24.9
91,2019,8,16,10,45,10,Norwood,24.48
92,2019,8,16,10,45,20,Norwood,23.93
93,2019,8,16,10,45,30,Norwood,25.1
94,2019,8,16,10,45,40,Norwood,23.950001
95,2019,8,16,10,45,50,Norwood,25.17
96,2019,8,16,10,45,60,Norwood,25.15
97,2019,8,16,10,60,0,Norwood,24.5
98,2019,8,16,10,60,10,Norwood,24.299999
99,2019,8,16,10,60,20,Norwood,25.0
100,2019,8,16,10,60,30,Norwood,23.51
101,2019,8,16,10,60,40,Norwood,23.4
102,2019,8,16,10,60,50,Norwood,21.91
103,2019,8,16,10,60,60,Norwood,20.0
104,2019,8,16,15,0,0,Norwood,20.33
105,2019,8,16,15,0,10,Norwood,22.110001
106,2019,8,16,15,0,20,Norwood,21.860001
107,2019,8,16,15,0,30,Norwood,22.799999
108,2019,8,16,15,0,40,Norwood,21.129999
109,2019,8,16,15,0,50,Norwood,22.799999
110,2019,8,16,15,0,60,Norwood,21.59
111,2019,8,16,15,15,0,Norwood,20.799999
112,2019,8,16,15,15,10,Norwood,21.0
113,2019,8,16,15,15,20,Norwood,19.370001
114,2019,8,16,15,15,30,Norwood,19.59
115,2019,8,16,15,15,40,Norwood,19.42
116,2019,8,16,15,15,50,Norwood,18.42
117,2019,8,16,15,15,60,Norwood,19.42
118,2019,8,16,15,30,0,Norwood,21.110001
119,2019,8,16,15,30,10,Norwood,21.530001
120,2019,8,16,15,30,20,Norwood,22.200001
121,2019,8,16,15,30,30,Norwood,20.91
122,2019,8,16,15,30,40,Norwood,20.91
123,2019,8,16,15,30,50,Norwood,20.280001
124,2019,8,16,15,30,60,Norwood,20.200001
125,2019,8,16,15,45,0,Norwood,19.42
126,2019,8,16,15,45,10,Norwood,19.57
127,2019,8,16,15,45,20,Norwood,17.93
128,2019,8,16,15,45,30,Norwood,17.799999
129,2019,8,16,15,45,40,Norwood,18.15
130,2019,8,16,15,45,50,Norwood,19.459999
131,2019,8,16,15,45,60,Norwood,17.93
132,2019,8,16,15,60,0,Norwood,16.040001
133,2019,8,16,15,60,10,Norwood,14.44
134,2019,8,16,15,60,20,Norwood,15.26
135,2019,8,16,15,60,30,Norwood,16.1
136,2019,8,16,15,60,40,Norwood,17.02
137,2019,8,16,15,60,50,Norwood,18.82
138,2019,8,16,15,60,60,Norwood,19.700001
139,2019,8,16,20,0,0,Norwood,17.73
140,2019,8,16,20,0,10,Norwood,17.6
141,2019,8,16,20,0,20,Norwood,17.59
142,2019,8,16,20,0,30,Norwood,15.97
143,2019,8,16,20,0,40,Norwood,15.75
144,2019,8,16,20,0,50,Norwood,15.55
145,2019,8,16,20,0,60,Norwood,15.57
146,2019,8,16,20,15,0,Norwood,13.8
147,2019,8,16,20,15,10,Norwood,12.59
148,2019,8,16,20,15,20,Norwood,10.75
149,2019,8,16,20,15,30,Norwood,10.62
150,2019,8,16,20,15,40,Norwood,8.84
151,2019,8,16,20,15,50,Norwood,8.44
152,2019,8,16,20,15,60,Norwood,10.08
153,2019,8,16,20,30,0,Norwood,11.15
154,2019,8,16,20,30,10,Norwood,11.04
155,2019,8,16,20,30,20,Norwood,12.53
156,2019,8,16,20,30,30,Norwood,12.84
157,2019,8,16,20,30,40,Norwood,13.59
158,2019,8,16,20,30,50,Norwood,12.66
159,2019,8,16,20,30,60,Norwood,13.2
160,2019,8,16,20,45,0,Norwood,12.1
161,2019,8,16,20,45,10,Norwood,11.97
162,2019,8,16,20,45,20,Norwood,12.1
