ID,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,LOCATION,WINDSPEED
0,2019,8,16,0,0,10,Norwood,23.530001
1,2019,8,16,0,0,20,Norwood,25.42
2,2019,8,16,0,0,30,Norwood,23.9
3,2019,8,16,0,0,40,Norwood,22.17
4,2019,8,16,0,0,50,Norwood,23.879999
5,2019,8,16,0,0,60,Norwood,22.110001
6,2019,8,16,0,15,0,Norwood,21.200001
7,2019,8,16,0,15,10,Norwood,20.389999
8,2019,8,16,0,15,20,Norwood,21.389999
9,2019,8,16,0,15,30,Norwood,23.33
10,2019,8,16,0,15,40,Norwood,22.15
11,2019,8,16,0,15,50,Norwood,23.77
12,2019,8,16,0,15,60,Norwood,25.33
13,2019,8,16,0,30,0,Norwood,24.91
14,2019,8,16,0,30,10,Norwood,24.57
15,2019,8,16,0,30,20,Norwood,25.549999
16,2019,8,16,0,30,30,Norwood,24.059999
17,2019,8,16,0,30,40,Norwood,25.530001
18,2019,8,16,0,30,50,Norwood,23.73
19,2019,8,16,0,30,60,Norwood,25.17
20,2019,8,16,0,45,0,Norwood,25.129999
21,2019,8,16,0,45,10,Norwood,26.48
22,2019,8,16,0,45,20,Norwood,27.82
23,2019,8,16,0,45,30,Norwood,29.110001
24,2019,8,16,0,45,40,Norwood,30.280001
25,2019,8,16,0,45,50,Norwood,31.35
26,2019,8,16,0,45,60,Norwood,32.48
27,2019,8,16,0,60,0,Norwood,33.639999
28,2019,8,16,0,60,10,Norwood,35.419998
29,2019,8,16,0,60,20,Norwood,35.419998
30,2019,8,16,0,60,30,Norwood,34.990002
31,2019,8,16,0,60,40,Norwood,33.48
32,2019,8,16,0,60,50,Norwood,34.200001
33,2019,8,16,0,60,60,Norwood,33.400002
34,2019,8,16,5,0,0,Norwood,34.369999
35,2019,8,16,5,0,10,Norwood,32.369999
36,2019,8,16,5,0,20,Norwood,33.459999
37,2019,8,16,5,0,30,Norwood,31.75
38,2019,8,16,5,0,40,Norwood,32.259998
39,2019,8,16,5,0,50,Norwood,32.259998
40,2019,8,16,5,0,60,Norwood,31.99
41,2019,8,16,5,15,0,Norwood,31.59
42,2019,8,16,5,15,10,Norwood,32.060001
43,2019,8,16,5,15,20,Norwood,30.77
44,2019,8,16,5,15,30,Norwood,32.240002
45,2019,8,16,5,15,40,Norwood,30.860001
46,2019,8,16,5,15,50,Norwood,30.110001
47,2019,8,16,5,15,60,Norwood,30.200001
48,2019,8,16,5,30,0,Norwood,30.309999
49,2019,8,16,5,30,10,Norwood,30.68
50,2019,8,16,5,30,20,Norwood,31.700001
51,2019,8,16,5,30,30,Norwood,31.129999
52,2019,8,16,5,30,40,Norwood,31.620001
53,2019,8,16,5,30,50,Norwood,31.02
54,2019,8,16,5,30,60,Norwood,30.299999
55,2019,8,16,5,45,0,Norwood,31.440001
56,2019,8,16,5,45,10,Norwood,30.549999
57,2019,8,16,5,45,20,Norwood,29.17
58,2019,8,16,5,45,30,Norwood,27.6
59,2019,8,16,5,45,40,Norwood,29.6
60,2019,8,16,5,45,50,Norwood,29.799999
61,2019,8,16,5,45,60,Norwood,29.77
62,2019,8,16,5,60,0,Norwood,29.459999
63,2019,8,16,5,60,10,Norwood,30.33
64,2019,8,16,5,60,20,Norwood,31.02
65,2019,8,16,5,60,30,Norwood,31.530001
66,2019,8,16,5,60,40,Norwood,33.080002
67,2019,8,16,5,60,50,Norwood,31.860001
68,2019,8,16,5,60,60,Norwood,33.169998
69,2019,8,16,10,0,0,Norwood,33.880001
70,2019,8,16,10,0,10,Norwood,34.040001
71,2019,8,16,10,0,20,Norwood,35.279999
72,2019,8,16,10,0,30,Norwood,36.950001
73,2019,8,16,10,0,40,Norwood,35.799999
74,2019,8,16,10,0,50,Norwood,34.57
75,2019,8,16,10,0,60,Norwood,34.77
76,2019,8,16,10,15,0,Norwood,33.200001
77,2019,8,16,10,15,10,Norwood,32.369999
78,2019,8,16,10,15,20,Norwood,30.5
79,2019,8,16,10,15,30,Norwood,31.620001
80,2019,8,16,10,15,40,Norwood,32.419998
81,2019,8,16,10,15,50,Norwood,34.299999
82,2019,8,16,10,15,60,Norwood,35.200001
83,2019,8,16,10,30,0,Norwood,36.990002
84,2019,8,16,10,30,10,Norwood,38.5
85,2019,8,16,10,30,20,Norwood,39.619999
86,2019,8,16,10,30,30,Norwood,37.75
87,2019,8,16,10,30,40,Norwood,37.900002
88,2019,8,16,10,30,50,Norwood,36.02
89,2019,8,16,10,30,60,Norwood,36.220001
90,2019,8,16,10,45,0,Norwood,37.169998
91,2019,8,16,10,45,10,Norwood,37.57
92,2019,8,16,10,45,20,Norwood,36.060001
93,2019,8,16,10,45,30,Norwood,34.950001
94,2019,8,16,10,45,40,Norwood,36.349998
95,2019,8,16,10,45,50,Norwood,35.369999
96,2019,8,16,10,45,60,Norwood,33.970001
97,2019,8,16,10,60,0,Norwood,35.509998
98,2019,8,16,10,60,10,Norwood,37.099998
99,2019,8,16,10,60,20,Norwood,37.66
100,2019,8,16,10,60,30,Norwood,36.099998
101,2019,8,16,10,60,40,Norwood,37.68
102,2019,8,16,10,60,50,Norwood,37.57
103,2019,8,16,10,60,60,Norwood,38.200001
104,2019,8,16,15,0,0,Norwood,36.369999
105,2019,8,16,15,0,10,Norwood,37.189999
106,2019,8,16,15,0,20,Norwood,38.279999
107,2019,8,16,15,0,30,Norwood,37.970001
108,2019,8,16,15,0,40,Norwood,37.73
109,2019,8,16,15,0,50,Norwood,36.529999
110,2019,8,16,15,0,60,Norwood,35.110001
111,2019,8,16,15,15,0,Norwood,34.59
112,2019,8,16,15,15,10,Norwood,33.48
113,2019,8,16,15,15,20,Norwood,31.51
114,2019,8,16,15,15,30,Norwood,31.73
115,2019,8,16,15,15,40,Norwood,31.700001
