ID,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,LOCATION,HUMIDITY
0,2019,8,16,0,0,29,Kensington,94.059998
1,2019,8,16,0,0,58,Kensington,92.239998
2,2019,8,16,0,0,87,Kensington,90.300003
3,2019,8,16,0,46,0,Kensington,89.220001
4,2019,8,16,0,46,29,Kensington,90.900002
5,2019,8,16,0,46,58,Kensington,92.440002
6,2019,8,16,0,46,87,Kensington,91.989998
7,2019,8,16,0,92,0,Kensington,90.550003
8,2019,8,16,0,92,29,Kensington,90.260002
9,2019,8,16,0,92,58,Kensington,92.0
10,2019,8,16,0,92,87,Kensington,92.400002
11,2019,8,16,22,0,0,Kensington,93.150002
12,2019,8,16,22,0,29,Kensington,93.349998
13,2019,8,16,22,0,58,Kensington,92.510002
14,2019,8,16,22,0,87,Kensington,91.660004
15,2019,8,16,22,46,0,Kensington,90.0
16,2019,8,16,22,46,29,Kensington,91.660004
17,2019,8,16,22,46,58,Kensington,92.860001
18,2019,8,16,22,46,87,Kensington,94.099998
19,2019,8,16,22,92,0,Kensington,92.790001
20,2019,8,16,22,92,29,Kensington,90.949997
21,2019,8,16,22,92,58,Kensington,89.5
22,2019,8,16,22,92,87,Kensington,90.349998
23,2019,8,16,44,0,0,Kensington,90.110001
24,2019,8,16,44,0,29,Kensington,89.309998
25,2019,8,16,44,0,58,Kensington,88.900002
26,2019,8,16,44,0,87,Kensington,89.349998
27,2019,8,16,44,46,0,Kensington,90.620003
28,2019,8,16,44,46,29,Kensington,91.279999
29,2019,8,16,44,46,58,Kensington,91.099998
30,2019,8,16,44,46,87,Kensington,90.309998
31,2019,8,16,44,92,0,Kensington,90.800003
32,2019,8,16,44,92,29,Kensington,92.57
33,2019,8,16,44,92,58,Kensington,93.370003
34,2019,8,16,44,92,87,Kensington,92.459999
35,2019,8,26,0,0,0,Kensington,92.150002
36,2019,8,26,0,0,29,Kensington,92.989998
37,2019,8,26,0,0,58,Kensington,92.660004
38,2019,8,26,0,0,87,Kensington,92.169998
39,2019,8,26,0,46,0,Kensington,91.400002
40,2019,8,26,0,46,29,Kensington,91.620003
41,2019,8,26,0,46,58,Kensington,91.480003
42,2019,8,26,0,46,87,Kensington,89.989998
43,2019,8,26,0,92,0,Kensington,89.370003
44,2019,8,26,0,92,29,Kensington,91.059998
45,2019,8,26,0,92,58,Kensington,91.309998
46,2019,8,26,0,92,87,Kensington,91.400002
47,2019,8,26,22,0,0,Kensington,90.589996
48,2019,8,26,22,0,29,Kensington,89.730003
49,2019,8,26,22,0,58,Kensington,90.989998
50,2019,8,26,22,0,87,Kensington,89.019997
51,2019,8,26,22,46,0,Kensington,89.529999
52,2019,8,26,22,46,29,Kensington,91.389999
53,2019,8,26,22,46,58,Kensington,91.099998
54,2019,8,26,22,46,87,Kensington,92.480003
55,2019,8,26,22,92,0,Kensington,91.110001
56,2019,8,26,22,92,29,Kensington,91.769997
57,2019,8,26,22,92,58,Kensington,92.709999
58,2019,8,26,22,92,87,Kensington,90.949997
59,2019,8,26,44,0,0,Kensington,89.5
60,2019,8,26,44,0,29,Kensington,90.419998
61,2019,8,26,44,0,58,Kensington,92.239998
62,2019,8,26,44,0,87,Kensington,90.300003
63,2019,8,26,44,46,0,Kensington,90.419998
64,2019,8,26,44,46,29,Kensington,91.57
65,2019,8,26,44,46,58,Kensington,91.309998
66,2019,8,26,44,46,87,Kensington,90.419998
67,2019,8,26,44,92,0,Kensington,90.989998
68,2019,8,26,44,92,29,Kensington,90.0
69,2019,8,26,44,92,58,Kensington,89.0
70,2019,8,26,44,92,87,Kensington,87.419998
71,2019,8,36,0,0,0,Kensington,88.860001
72,2019,8,36,0,0,29,Kensington,87.620003
73,2019,8,36,0,0,58,Kensington,87.309998
74,2019,8,36,0,0,87,Kensington,86.0
75,2019,8,36,0,46,0,Kensington,84.040001
76,2019,8,36,0,46,29,Kensington,84.589996
77,2019,8,36,0,46,58,Kensington,83.349998
78,2019,8,36,0,46,87,Kensington,85.150002
79,2019,8,36,0,92,0,Kensington,84.949997
80,2019,8,36,0,92,29,Kensington,85.699997
81,2019,8,36,0,92,58,Kensington,84.879997
82,2019,8,36,0,92,87,Kensington,83.0
83,2019,8,36,22,0,0,Kensington,83.400002
84,2019,8,36,22,0,29,Kensington,82.639999
85,2019,8,36,22,0,58,Kensington,82.0
86,2019,8,36,22,0,87,Kensington,82.75
87,2019,8,36,22,46,0,Kensington,81.459999
88,2019,8,36,22,46,29,Kensington,80.589996
89,2019,8,36,22,46,58,Kensington,80.330002
90,2019,8,36,22,46,87,Kensington,78.839996
91,2019,8,36,22,92,0,Kensington,79.989998
92,2019,8,36,22,92,29,Kensington,81.389999
93,2019,8,36,22,92,58,Kensington,82.300003
94,2019,8,36,22,92,87,Kensington,82.510002
95,2019,8,36,44,0,0,Kensington,81.279999
96,2019,8,36,44,0,29,Kensington,81.709999
97,2019,8,36,44,0,58,Kensington,81.5
98,2019,8,36,44,0,87,Kensington,80.349998
99,2019,8,36,44,46,0,Kensington,81.790001
100,2019,8,36,44,46,29,Kensington,81.480003
101,2019,8,36,44,46,58,Kensington,79.480003
102,2019,8,36,44,46,87,Kensington,79.440002
103,2019,8,36,44,92,0,Kensington,80.349998
104,2019,8,36,44,92,29,Kensington,79.639999
105,2019,8,36,44,92,58,Kensington,80.129997
106,2019,8,36,44,92,87,Kensington,80.309998
107,2019,9,1,0,0,0,Kensington,78.419998
108,2019,9,1,0,0,29,Kensington,77.599998
109,2019,9,1,0,0,58,Kensington,78.989998
110,2019,9,1,0,0,87,Kensington,77.660004
111,2019,9,1,0,46,0,Kensington,78.440002
112,2019,9,1,0,46,29,Kensington,80.370003
113,2019,9,1,0,46,58,Kensington,82.059998
114,2019,9,1,0,46,87,Kensington,82.150002
115,2019,9,1,0,92,0,Kensington,83.150002
116,2019,9,1,0,92,29,Kensington,82.839996
117,2019,9,1,0,92,58,Kensington,81.730003
118,2019,9,1,0,92,87,Kensington,83.620003
119,2019,9,1,22,0,0,Kensington,83.330002
120,2019,9,1,22,0,29,Kensington,83.370003
121,2019,9,1,22,0,58,Kensington,85.080002
122,2019,9,1,22,0,87,Kensington,86.129997
123,2019,9,1,22,46,0,Kensington,86.550003
124,2019,9,1,22,46,29,Kensington,86.150002
125,2019,9,1,22,46,58,Kensington,84.589996
126,2019,9,1,22,46,87,Kensington,85.330002
127,2019,9,1,22,92,0,Kensington,83.709999
128,2019,9,1,22,92,29,Kensington,84.190002
129,2019,9,1,22,92,58,Kensington,82.989998
130,2019,9,1,22,92,87,Kensington,84.349998
131,2019,9,1,44,0,0,Kensington,83.660004
132,2019,9,1,44,0,29,Kensington,82.330002
133,2019,9,1,44,0,58,Kensington,82.040001
134,2019,9,1,44,0,87,Kensington,82.150002
135,2019,9,1,44,46,0,Kensington,81.169998
136,2019,9,1,44,46,29,Kensington,83.110001
137,2019,9,1,44,46,58,Kensington,84.300003
138,2019,9,1,44,46,87,Kensington,86.300003
139,2019,9,1,44,92,0,Kensington,86.660004
140,2019,9,1,44,92,29,Kensington,86.57
141,2019,9,1,44,92,58,Kensington,84.620003
142,2019,9,1,44,92,87,Kensington,84.660004
143,2019,9,11,0,0,0,Kensington,84.839996
144,2019,9,11,0,0,29,Kensington,85.419998
145,2019,9,11,0,0,58,Kensington,84.93
146,2019,9,11,0,0,87,Kensington,83.440002
147,2019,9,11,0,46,0,Kensington,82.080002
148,2019,9,11,0,46,29,Kensington,83.949997
149,2019,9,11,0,46,58,Kensington,83.529999
150,2019,9,11,0,46,87,Kensington,81.970001
151,2019,9,11,0,92,0,Kensington,82.099998
