ID,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,LOCATION,HUMIDITY
0,2019,8,16,0,0,29,Kensington,63.0
1,2019,8,16,0,0,58,Kensington,61.240002
2,2019,8,16,0,0,87,Kensington,62.02
3,2019,8,16,0,46,0,Kensington,61.060001
4,2019,8,16,0,46,29,Kensington,59.799999
5,2019,8,16,0,46,58,Kensington,58.200001
6,2019,8,16,0,46,87,Kensington,60.200001
7,2019,8,16,0,92,0,Kensington,62.189999
8,2019,8,16,0,92,29,Kensington,61.619999
9,2019,8,16,0,92,58,Kensington,59.619999
10,2019,8,16,0,92,87,Kensington,61.040001
11,2019,8,16,1,0,0,Kensington,60.599998
12,2019,8,16,1,0,29,Kensington,59.110001
13,2019,8,16,1,0,58,Kensington,60.73
14,2019,8,16,1,0,87,Kensington,60.389999
15,2019,8,16,1,46,0,Kensington,59.0
16,2019,8,16,1,46,29,Kensington,60.91
17,2019,8,16,1,46,58,Kensington,61.82
18,2019,8,16,1,46,87,Kensington,63.349998
19,2019,8,16,1,92,0,Kensington,63.459999
20,2019,8,16,1,92,29,Kensington,62.419998
21,2019,8,16,1,92,58,Kensington,62.860001
22,2019,8,16,1,92,87,Kensington,61.220001
23,2019,8,16,2,0,0,Kensington,60.59
24,2019,8,16,2,0,29,Kensington,59.310001
25,2019,8,16,2,0,58,Kensington,57.82
26,2019,8,16,2,0,87,Kensington,56.900002
27,2019,8,16,2,46,0,Kensington,58.790001
28,2019,8,16,2,46,29,Kensington,59.279999
29,2019,8,16,2,46,58,Kensington,59.279999
30,2019,8,16,2,46,87,Kensington,57.459999
31,2019,8,16,2,92,0,Kensington,56.189999
32,2019,8,16,2,92,29,Kensington,56.189999
33,2019,8,16,2,92,58,Kensington,56.84
34,2019,8,16,2,92,87,Kensington,56.419998
35,2019,8,16,3,0,0,Kensington,56.59
36,2019,8,16,3,0,29,Kensington,58.130001
37,2019,8,16,3,0,58,Kensington,58.279999
38,2019,8,16,3,0,87,Kensington,57.549999
39,2019,8,16,3,46,0,Kensington,57.529999
40,2019,8,16,3,46,29,Kensington,56.0
41,2019,8,16,3,46,58,Kensington,56.77
42,2019,8,16,3,46,87,Kensington,57.84
43,2019,8,16,3,92,0,Kensington,58.099998
44,2019,8,16,3,92,29,Kensington,56.950001
45,2019,8,16,3,92,58,Kensington,55.110001
46,2019,8,16,3,92,87,Kensington,56.150002
47,2019,8,16,4,0,0,Kensington,56.73
48,2019,8,16,4,0,29,Kensington,54.84
49,2019,8,16,4,0,58,Kensington,54.799999
50,2019,8,16,4,0,87,Kensington,55.880001
51,2019,8,16,4,46,0,Kensington,55.990002
52,2019,8,16,4,46,29,Kensington,56.439999
53,2019,8,16,4,46,58,Kensington,54.599998
54,2019,8,16,4,46,87,Kensington,54.549999
55,2019,8,16,4,92,0,Kensington,52.82
56,2019,8,16,4,92,29,Kensington,51.91
57,2019,8,16,4,92,58,Kensington,51.040001
58,2019,8,16,4,92,87,Kensington,52.0
59,2019,8,16,5,0,0,Kensington,53.349998
60,2019,8,16,5,0,29,Kensington,54.220001
61,2019,8,16,5,0,58,Kensington,53.200001
62,2019,8,16,5,0,87,Kensington,54.700001
63,2019,8,16,5,46,0,Kensington,53.73
64,2019,8,16,5,46,29,Kensington,54.150002
65,2019,8,16,5,46,58,Kensington,53.950001
66,2019,8,16,5,46,87,Kensington,53.369999
67,2019,8,16,5,92,0,Kensington,51.5
68,2019,8,16,5,92,29,Kensington,52.48
69,2019,8,16,5,92,58,Kensington,51.619999
70,2019,8,16,5,92,87,Kensington,50.200001
71,2019,8,16,6,0,0,Kensington,52.150002
72,2019,8,16,6,0,29,Kensington,54.150002
73,2019,8,16,6,0,58,Kensington,54.91
74,2019,8,16,6,0,87,Kensington,53.169998
75,2019,8,16,6,46,0,Kensington,51.349998
76,2019,8,16,6,46,29,Kensington,50.799999
77,2019,8,16,6,46,58,Kensington,49.57
78,2019,8,16,6,46,87,Kensington,51.459999
79,2019,8,16,6,92,0,Kensington,51.419998
80,2019,8,16,6,92,29,Kensington,52.400002
81,2019,8,16,6,92,58,Kensington,50.439999
82,2019,8,16,6,92,87,Kensington,50.200001
83,2019,8,16,7,0,0,Kensington,49.110001
84,2019,8,16,7,0,29,Kensington,49.619999
85,2019,8,16,7,0,58,Kensington,50.169998
86,2019,8,16,7,0,87,Kensington,51.700001
87,2019,8,16,7,46,0,Kensington,50.900002
88,2019,8,16,7,46,29,Kensington,50.93
89,2019,8,16,7,46,58,Kensington,49.509998
90,2019,8,16,7,46,87,Kensington,51.150002
91,2019,8,16,7,92,0,Kensington,50.900002
92,2019,8,16,7,92,29,Kensington,49.400002
93,2019,8,16,7,92,58,Kensington,49.389999
94,2019,8,16,7,92,87,Kensington,50.349998
95,2019,8,16,8,0,0,Kensington,52.349998
96,2019,8,16,8,0,29,Kensington,52.880001
97,2019,8,16,8,0,58,Kensington,52.77
98,2019,8,16,8,0,87,Kensington,53.509998
99,2019,8,16,8,46,0,Kensington,55.110001
100,2019,8,16,8,46,29,Kensington,55.91
101,2019,8,16,8,46,58,Kensington,54.799999
102,2019,8,16,8,46,87,Kensington,54.93
103,2019,8,16,8,92,0,Kensington,56.48
104,2019,8,16,8,92,29,Kensington,56.330002
105,2019,8,16,8,92,58,Kensington,57.419998
106,2019,8,16,8,92,87,Kensington,57.700001
107,2019,8,16,9,0,0,Kensington,59.299999
108,2019,8,16,9,0,29,Kensington,61.060001
109,2019,8,16,9,0,58,Kensington,60.84
110,2019,8,16,9,0,87,Kensington,59.259998
111,2019,8,16,9,46,0,Kensington,60.439999
112,2019,8,16,9,46,29,Kensington,60.950001
113,2019,8,16,9,46,58,Kensington,62.57
114,2019,8,16,9,46,87,Kensington,60.790001
115,2019,8,16,9,92,0,Kensington,59.349998
116,2019,8,16,9,92,29,Kensington,59.799999
117,2019,8,16,9,92,58,Kensington,58.950001
118,2019,8,16,9,92,87,Kensington,58.59
119,2019,8,16,10,0,0,Kensington,57.310001
120,2019,8,16,10,0,29,Kensington,59.259998
121,2019,8,16,10,0,58,Kensington,61.259998
122,2019,8,16,10,0,87,Kensington,61.150002
123,2019,8,16,10,46,0,Kensington,61.130001
124,2019,8,16,10,46,29,Kensington,62.639999
125,2019,8,16,10,46,58,Kensington,62.259998
126,2019,8,16,10,46,87,Kensington,62.77
127,2019,8,16,10,92,0,Kensington,63.439999
128,2019,8,16,10,92,29,Kensington,65.389999
129,2019,8,16,10,92,58,Kensington,67.0
130,2019,8,16,10,92,87,Kensington,67.480003
131,2019,8,16,11,0,0,Kensington,66.080002
132,2019,8,16,11,0,29,Kensington,64.879997
133,2019,8,16,11,0,58,Kensington,64.970001
134,2019,8,16,11,0,87,Kensington,66.970001
135,2019,8,16,11,46,0,Kensington,65.480003
136,2019,8,16,11,46,29,Kensington,65.989998
137,2019,8,16,11,46,58,Kensington,67.059998
138,2019,8,16,11,46,87,Kensington,65.730003
139,2019,8,16,11,92,0,Kensington,64.75
140,2019,8,16,11,92,29,Kensington,64.199997
141,2019,8,16,11,92,58,Kensington,63.099998
142,2019,8,16,11,92,87,Kensington,62.860001
143,2019,8,16,12,0,0,Kensington,64.190002
144,2019,8,16,12,0,29,Kensington,63.150002
145,2019,8,16,12,0,58,Kensington,61.169998
146,2019,8,16,12,0,87,Kensington,60.080002
147,2019,8,16,12,46,0,Kensington,58.799999
148,2019,8,16,12,46,29,Kensington,60.48
149,2019,8,16,12,46,58,Kensington,62.439999
150,2019,8,16,12,46,87,Kensington,62.220001
151,2019,8,16,12,92,0,Kensington,64.220001
152,2019,8,16,12,92,29,Kensington,64.480003
153,2019,8,16,12,92,58,Kensington,65.330002
154,2019,8,16,12,92,87,Kensington,63.700001
155,2019,8,16,13,0,0,Kensington,65.480003
156,2019,8,16,13,0,29,Kensington,64.150002
157,2019,8,16,13,0,58,Kensington,62.700001
158,2019,8,16,13,0,87,Kensington,64.300003
159,2019,8,16,13,46,0,Kensington,63.040001
160,2019,8,16,13,46,29,Kensington,65.0
161,2019,8,16,13,46,58,Kensington,64.510002
162,2019,8,16,13,46,87,Kensington,64.620003
163,2019,8,16,13,92,0,Kensington,66.260002
164,2019,8,16,13,92,29,Kensington,67.5
165,2019,8,16,13,92,58,Kensington,67.699997
166,2019,8,16,13,92,87,Kensington,66.389999
167,2019,8,16,14,0,0,Kensington,65.220001
168,2019,8,16,14,0,29,Kensington,65.059998
169,2019,8,16,14,0,58,Kensington,66.510002
170,2019,8,16,14,0,87,Kensington,64.68
171,2019,8,16,14,46,0,Kensington,65.190002
172,2019,8,16,14,46,29,Kensington,66.730003
173,2019,8,16,14,46,58,Kensington,66.910004
174,2019,8,16,14,46,87,Kensington,65.400002
175,2019,8,16,14,92,0,Kensington,66.529999
176,2019,8,16,14,92,29,Kensington,67.059998
177,2019,8,16,14,92,58,Kensington,68.239998
178,2019,8,16,14,92,87,Kensington,68.790001
179,2019,8,16,15,0,0,Kensington,67.620003
180,2019,8,16,15,0,29,Kensington,66.769997
181,2019,8,16,15,0,58,Kensington,67.330002
182,2019,8,16,15,0,87,Kensington,66.019997
183,2019,8,16,15,46,0,Kensington,67.389999
184,2019,8,16,15,46,29,Kensington,66.93
185,2019,8,16,15,46,58,Kensington,68.099998
186,2019,8,16,15,46,87,Kensington,66.5
187,2019,8,16,15,92,0,Kensington,66.709999
188,2019,8,16,15,92,29,Kensington,66.589996
189,2019,8,16,15,92,58,Kensington,64.93
190,2019,8,16,15,92,87,Kensington,63.799999
191,2019,8,16,16,0,0,Kensington,63.709999
192,2019,8,16,16,0,29,Kensington,64.309998
193,2019,8,16,16,0,58,Kensington,63.330002
194,2019,8,16,16,0,87,Kensington,64.459999
195,2019,8,16,16,46,0,Kensington,63.330002
196,2019,8,16,16,46,29,Kensington,62.73
197,2019,8,16,16,46,58,Kensington,61.099998
198,2019,8,16,16,46,87,Kensington,61.200001
199,2019,8,16,16,92,0,Kensington,61.150002
200,2019,8,16,16,92,29,Kensington,61.220001
201,2019,8,16,16,92,58,Kensington,61.880001
202,2019,8,16,16,92,87,Kensington,60.349998
203,2019,8,16,17,0,0,Kensington,59.060001
204,2019,8,16,17,0,29,Kensington,59.77
