ID,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,LOCATION,TEMPERATURE
0,2019,8,16,0,0,29,Kensington,36.549999
1,2019,8,16,0,0,58,Kensington,35.02
2,2019,8,16,0,0,87,Kensington,35.439999
3,2019,8,16,0,23,0,Kensington,35.369999
4,2019,8,16,0,23,29,Kensington,36.48
5,2019,8,16,0,23,58,Kensington,36.91
6,2019,8,16,0,23,87,Kensington,36.73
7,2019,8,16,0,46,0,Kensington,36.84
8,2019,8,16,0,46,29,Kensington,35.369999
9,2019,8,16,0,46,58,Kensington,35.77
10,2019,8,16,0,46,87,Kensington,36.310001
11,2019,8,16,0,69,0,Kensington,34.330002
12,2019,8,16,0,69,29,Kensington,33.75
13,2019,8,16,0,69,58,Kensington,34.240002
14,2019,8,16,0,69,87,Kensington,34.040001
15,2019,8,16,11,0,0,Kensington,32.189999
16,2019,8,16,11,0,29,Kensington,30.35
17,2019,8,16,11,0,58,Kensington,28.6
18,2019,8,16,11,0,87,Kensington,28.33
19,2019,8,16,11,23,0,Kensington,29.66
20,2019,8,16,11,23,29,Kensington,28.059999
21,2019,8,16,11,23,58,Kensington,28.110001
22,2019,8,16,11,23,87,Kensington,28.4
23,2019,8,16,11,46,0,Kensington,27.24
24,2019,8,16,11,46,29,Kensington,28.389999
25,2019,8,16,11,46,58,Kensington,28.6
26,2019,8,16,11,46,87,Kensington,27.08
27,2019,8,16,11,69,0,Kensington,27.35
28,2019,8,16,11,69,29,Kensington,25.5
29,2019,8,16,11,69,58,Kensington,24.709999
30,2019,8,16,11,69,87,Kensington,25.4
31,2019,8,16,22,0,0,Kensington,27.389999
32,2019,8,16,22,0,29,Kensington,28.59
33,2019,8,16,22,0,58,Kensington,29.309999
34,2019,8,16,22,0,87,Kensington,30.299999
35,2019,8,16,22,23,0,Kensington,31.42
36,2019,8,16,22,23,29,Kensington,30.799999
37,2019,8,16,22,23,58,Kensington,31.73
38,2019,8,16,22,23,87,Kensington,33.400002
39,2019,8,16,22,46,0,Kensington,31.709999
40,2019,8,16,22,46,29,Kensington,30.389999
41,2019,8,16,22,46,58,Kensington,30.110001
42,2019,8,16,22,46,87,Kensington,28.219999
43,2019,8,16,22,69,0,Kensington,30.1
44,2019,8,16,22,69,29,Kensington,30.309999
45,2019,8,16,22,69,58,Kensington,29.860001
46,2019,8,16,22,69,87,Kensington,28.84
47,2019,8,16,33,0,0,Kensington,29.799999
48,2019,8,16,33,0,29,Kensington,28.59
49,2019,8,16,33,0,58,Kensington,28.370001
50,2019,8,16,33,0,87,Kensington,29.129999
51,2019,8,16,33,23,0,Kensington,29.4
52,2019,8,16,33,23,29,Kensington,29.950001
53,2019,8,16,33,23,58,Kensington,31.190001
54,2019,8,16,33,23,87,Kensington,32.240002
55,2019,8,16,33,46,0,Kensington,32.48
56,2019,8,16,33,46,29,Kensington,31.9
57,2019,8,16,33,46,58,Kensington,29.969999
58,2019,8,16,33,46,87,Kensington,30.57
59,2019,8,16,33,69,0,Kensington,30.33
60,2019,8,16,33,69,29,Kensington,32.299999
61,2019,8,16,33,69,58,Kensington,33.02
62,2019,8,16,33,69,87,Kensington,31.02
63,2019,8,21,0,0,0,Kensington,31.370001
64,2019,8,21,0,0,29,Kensington,29.42
65,2019,8,21,0,0,58,Kensington,31.190001
66,2019,8,21,0,0,87,Kensington,29.75
67,2019,8,21,0,23,0,Kensington,30.42
68,2019,8,21,0,23,29,Kensington,31.0
69,2019,8,21,0,23,58,Kensington,30.459999
70,2019,8,21,0,23,87,Kensington,28.700001
71,2019,8,21,0,46,0,Kensington,29.91
72,2019,8,21,0,46,29,Kensington,31.040001
73,2019,8,21,0,46,58,Kensington,31.110001
74,2019,8,21,0,46,87,Kensington,31.219999
75,2019,8,21,0,69,0,Kensington,31.08
76,2019,8,21,0,69,29,Kensington,32.439999
77,2019,8,21,0,69,58,Kensington,33.110001
78,2019,8,21,0,69,87,Kensington,33.369999
79,2019,8,21,11,0,0,Kensington,33.279999
80,2019,8,21,11,0,29,Kensington,33.310001
81,2019,8,21,11,0,58,Kensington,33.599998
82,2019,8,21,11,0,87,Kensington,35.349998
83,2019,8,21,11,23,0,Kensington,36.57
84,2019,8,21,11,23,29,Kensington,37.82
85,2019,8,21,11,23,58,Kensington,35.970001
86,2019,8,21,11,23,87,Kensington,35.619999
87,2019,8,21,11,46,0,Kensington,33.880001
88,2019,8,21,11,46,29,Kensington,34.310001
89,2019,8,21,11,46,58,Kensington,35.799999
90,2019,8,21,11,46,87,Kensington,34.439999
91,2019,8,21,11,69,0,Kensington,34.77
92,2019,8,21,11,69,29,Kensington,35.220001
93,2019,8,21,11,69,58,Kensington,34.130001
94,2019,8,21,11,69,87,Kensington,34.349998
95,2019,8,21,22,0,0,Kensington,35.040001
96,2019,8,21,22,0,29,Kensington,33.349998
97,2019,8,21,22,0,58,Kensington,33.389999
98,2019,8,21,22,0,87,Kensington,32.189999
99,2019,8,21,22,23,0,Kensington,33.349998
100,2019,8,21,22,23,29,Kensington,34.200001
101,2019,8,21,22,23,58,Kensington,33.509998
102,2019,8,21,22,23,87,Kensington,35.060001
103,2019,8,21,22,46,0,Kensington,33.84
104,2019,8,21,22,46,29,Kensington,34.439999
105,2019,8,21,22,46,58,Kensington,33.77
106,2019,8,21,22,46,87,Kensington,34.48
107,2019,8,21,22,69,0,Kensington,34.970001
108,2019,8,21,22,69,29,Kensington,33.0
109,2019,8,21,22,69,58,Kensington,31.309999
110,2019,8,21,22,69,87,Kensington,29.309999
111,2019,8,21,33,0,0,Kensington,30.110001
112,2019,8,21,33,0,29,Kensington,32.080002
113,2019,8,21,33,0,58,Kensington,32.099998
114,2019,8,21,33,0,87,Kensington,33.080002
115,2019,8,21,33,23,0,Kensington,34.700001
116,2019,8,21,33,23,29,Kensington,35.91
117,2019,8,21,33,23,58,Kensington,35.080002
118,2019,8,21,33,23,87,Kensington,36.110001
119,2019,8,21,33,46,0,Kensington,34.59
120,2019,8,21,33,46,29,Kensington,36.189999
121,2019,8,21,33,46,58,Kensington,37.75
122,2019,8,21,33,46,87,Kensington,38.459999
123,2019,8,21,33,69,0,Kensington,38.130001
124,2019,8,21,33,69,29,Kensington,36.220001
125,2019,8,21,33,69,58,Kensington,36.439999
126,2019,8,21,33,69,87,Kensington,35.77
127,2019,8,26,0,0,0,Kensington,37.150002
128,2019,8,26,0,0,29,Kensington,36.709999
129,2019,8,26,0,0,58,Kensington,37.700001
130,2019,8,26,0,0,87,Kensington,38.349998
131,2019,8,26,0,23,0,Kensington,37.099998
132,2019,8,26,0,23,29,Kensington,37.900002
133,2019,8,26,0,23,58,Kensington,37.419998
134,2019,8,26,0,23,87,Kensington,39.279999
135,2019,8,26,0,46,0,Kensington,37.419998
136,2019,8,26,0,46,29,Kensington,38.220001
137,2019,8,26,0,46,58,Kensington,37.310001
138,2019,8,26,0,46,87,Kensington,39.189999
139,2019,8,26,0,69,0,Kensington,37.639999
140,2019,8,26,0,69,29,Kensington,36.150002
141,2019,8,26,0,69,58,Kensington,37.330002
142,2019,8,26,0,69,87,Kensington,39.0
143,2019,8,26,11,0,0,Kensington,38.860001
144,2019,8,26,11,0,29,Kensington,37.040001
145,2019,8,26,11,0,58,Kensington,38.970001
146,2019,8,26,11,0,87,Kensington,37.349998
147,2019,8,26,11,23,0,Kensington,38.080002
148,2019,8,26,11,23,29,Kensington,38.73
149,2019,8,26,11,23,58,Kensington,38.099998
150,2019,8,26,11,23,87,Kensington,36.790001
151,2019,8,26,11,46,0,Kensington,35.169998
152,2019,8,26,11,46,29,Kensington,34.299999
153,2019,8,26,11,46,58,Kensington,33.0
154,2019,8,26,11,46,87,Kensington,32.189999
155,2019,8,26,11,69,0,Kensington,33.48
156,2019,8,26,11,69,29,Kensington,35.220001
157,2019,8,26,11,69,58,Kensington,36.900002
158,2019,8,26,11,69,87,Kensington,36.369999
159,2019,8,26,22,0,0,Kensington,36.77
160,2019,8,26,22,0,29,Kensington,36.150002
161,2019,8,26,22,0,58,Kensington,37.77
162,2019,8,26,22,0,87,Kensington,36.880001
163,2019,8,26,22,23,0,Kensington,35.619999
164,2019,8,26,22,23,29,Kensington,36.040001
165,2019,8,26,22,23,58,Kensington,34.950001
166,2019,8,26,22,23,87,Kensington,33.900002
167,2019,8,26,22,46,0,Kensington,34.549999
168,2019,8,26,22,46,29,Kensington,33.619999
169,2019,8,26,22,46,58,Kensington,32.02
170,2019,8,26,22,46,87,Kensington,33.389999
171,2019,8,26,22,69,0,Kensington,32.279999
172,2019,8,26,22,69,29,Kensington,30.84
173,2019,8,26,22,69,58,Kensington,30.799999
174,2019,8,26,22,69,87,Kensington,30.6
175,2019,8,26,33,0,0,Kensington,29.15
176,2019,8,26,33,0,29,Kensington,27.24
177,2019,8,26,33,0,58,Kensington,26.15
178,2019,8,26,33,0,87,Kensington,26.459999
179,2019,8,26,33,23,0,Kensington,25.66
180,2019,8,26,33,23,29,Kensington,24.59
181,2019,8,26,33,23,58,Kensington,25.48
182,2019,8,26,33,23,87,Kensington,24.190001
183,2019,8,26,33,46,0,Kensington,22.5
184,2019,8,26,33,46,29,Kensington,23.190001
185,2019,8,26,33,46,58,Kensington,24.110001
186,2019,8,26,33,46,87,Kensington,25.33
187,2019,8,26,33,69,0,Kensington,25.309999
188,2019,8,26,33,69,29,Kensington,26.73
189,2019,8,26,33,69,58,Kensington,24.99
190,2019,8,26,33,69,87,Kensington,23.35
191,2019,8,31,0,0,0,Kensington,23.26
192,2019,8,31,0,0,29,Kensington,24.700001
193,2019,8,31,0,0,58,Kensington,22.879999
194,2019,8,31,0,0,87,Kensington,23.110001
195,2019,8,31,0,23,0,Kensington,23.84
196,2019,8,31,0,23,29,Kensington,23.110001
197,2019,8,31,0,23,58,Kensington,21.620001
198,2019,8,31,0,23,87,Kensington,21.48
199,2019,8,31,0,46,0,Kensington,22.1
200,2019,8,31,0,46,29,Kensington,22.48
201,2019,8,31,0,46,58,Kensington,21.280001
202,2019,8,31,0,46,87,Kensington,22.6
203,2019,8,31,0,69,0,Kensington,21.370001
204,2019,8,31,0,69,29,Kensington,22.059999
205,2019,8,31,0,69,58,Kensington,22.24
206,2019,8,31,0,69,87,Kensington,21.110001
207,2019,8,31,11,0,0,Kensington,20.1
208,2019,8,31,11,0,29,Kensington,19.549999
209,2019,8,31,11,0,58,Kensington,19.77
210,2019,8,31,11,0,87,Kensington,20.08
211,2019,8,31,11,23,0,Kensington,21.620001
212,2019,8,31,11,23,29,Kensington,23.280001
213,2019,8,31,11,23,58,Kensington,21.73
214,2019,8,31,11,23,87,Kensington,21.48
215,2019,8,31,11,46,0,Kensington,20.969999
216,2019,8,31,11,46,29,Kensington,22.24
217,2019,8,31,11,46,58,Kensington,20.33
218,2019,8,31,11,46,87,Kensington,21.440001
219,2019,8,31,11,69,0,Kensington,21.48
220,2019,8,31,11,69,29,Kensington,21.309999
221,2019,8,31,11,69,58,Kensington,21.17
222,2019,8,31,11,69,87,Kensington,22.84
223,2019,8,31,22,0,0,Kensington,21.9
224,2019,8,31,22,0,29,Kensington,21.17
225,2019,8,31,22,0,58,Kensington,20.73
226,2019,8,31,22,0,87,Kensington,21.860001
227,2019,8,31,22,23,0,Kensington,20.219999
228,2019,8,31,22,23,29,Kensington,20.42
229,2019,8,31,22,23,58,Kensington,21.530001
230,2019,8,31,22,23,87,Kensington,20.42
231,2019,8,31,22,46,0,Kensington,19.42
232,2019,8,31,22,46,29,Kensington,20.370001
233,2019,8,31,22,46,58,Kensington,19.59
234,2019,8,31,22,46,87,Kensington,18.84
235,2019,8,31,22,69,0,Kensington,18.059999
236,2019,8,31,22,69,29,Kensington,17.860001
237,2019,8,31,22,69,58,Kensington,19.66
238,2019,8,31,22,69,87,Kensington,19.950001
239,2019,8,31,33,0,0,Kensington,18.620001
240,2019,8,31,33,0,29,Kensington,18.200001
241,2019,8,31,33,0,58,Kensington,17.02
242,2019,8,31,33,0,87,Kensington,17.59
243,2019,8,31,33,23,0,Kensington,19.51
244,2019,8,31,33,23,29,Kensington,18.059999
245,2019,8,31,33,23,58,Kensington,18.4
246,2019,8,31,33,23,87,Kensington,17.280001
247,2019,8,31,33,46,0,Kensington,18.17
248,2019,8,31,33,46,29,Kensington,19.129999
249,2019,8,31,33,46,58,Kensington,18.75
250,2019,8,31,33,46,87,Kensington,16.91
251,2019,8,31,33,69,0,Kensington,18.4
252,2019,8,31,33,69,29,Kensington,16.73
253,2019,8,31,33,69,58,Kensington,17.299999
254,2019,8,31,33,69,87,Kensington,18.440001
255,2019,9,1,0,0,0,Kensington,16.440001
256,2019,9,1,0,0,29,Kensington,17.950001
257,2019,9,1,0,0,58,Kensington,17.75
258,2019,9,1,0,0,87,Kensington,17.309999
259,2019,9,1,0,23,0,Kensington,18.66
260,2019,9,1,0,23,29,Kensington,20.02
261,2019,9,1,0,23,58,Kensington,21.08
262,2019,9,1,0,23,87,Kensington,21.110001
263,2019,9,1,0,46,0,Kensington,20.190001
264,2019,9,1,0,46,29,Kensington,19.639999
265,2019,9,1,0,46,58,Kensington,19.059999
266,2019,9,1,0,46,87,Kensington,19.73
267,2019,9,1,0,69,0,Kensington,21.530001
268,2019,9,1,0,69,29,Kensington,19.620001
269,2019,9,1,0,69,58,Kensington,21.1
270,2019,9,1,0,69,87,Kensington,21.77
271,2019,9,1,11,0,0,Kensington,23.110001
272,2019,9,1,11,0,29,Kensington,25.08
273,2019,9,1,11,0,58,Kensington,24.200001
274,2019,9,1,11,0,87,Kensington,24.549999
275,2019,9,1,11,23,0,Kensington,24.299999
276,2019,9,1,11,23,29,Kensington,25.799999
277,2019,9,1,11,23,58,Kensington,24.799999
278,2019,9,1,11,23,87,Kensington,24.950001
279,2019,9,1,11,46,0,Kensington,23.549999
280,2019,9,1,11,46,29,Kensington,24.42
281,2019,9,1,11,46,58,Kensington,22.459999
282,2019,9,1,11,46,87,Kensington,24.219999
283,2019,9,1,11,69,0,Kensington,23.73
284,2019,9,1,11,69,29,Kensington,24.299999
285,2019,9,1,11,69,58,Kensington,23.59
286,2019,9,1,11,69,87,Kensington,25.440001
287,2019,9,1,22,0,0,Kensington,27.26
288,2019,9,1,22,0,29,Kensington,29.17
289,2019,9,1,22,0,58,Kensington,30.84
290,2019,9,1,22,0,87,Kensington,32.310001
291,2019,9,1,22,23,0,Kensington,30.700001
292,2019,9,1,22,23,29,Kensington,29.42
293,2019,9,1,22,23,58,Kensington,29.73
294,2019,9,1,22,23,87,Kensington,31.440001
295,2019,9,1,22,46,0,Kensington,30.459999
296,2019,9,1,22,46,29,Kensington,30.530001
297,2019,9,1,22,46,58,Kensington,29.700001
298,2019,9,1,22,46,87,Kensington,30.129999
299,2019,9,1,22,69,0,Kensington,29.059999
300,2019,9,1,22,69,29,Kensington,27.42
301,2019,9,1,22,69,58,Kensington,29.110001
302,2019,9,1,22,69,87,Kensington,27.57
303,2019,9,1,33,0,0,Kensington,27.91
304,2019,9,1,33,0,29,Kensington,28.48
305,2019,9,1,33,0,58,Kensington,29.84
306,2019,9,1,33,0,87,Kensington,28.370001
307,2019,9,1,33,23,0,Kensington,29.200001
308,2019,9,1,33,23,29,Kensington,29.57
309,2019,9,1,33,23,58,Kensington,31.08
310,2019,9,1,33,23,87,Kensington,29.08
