Sawft,0,0,-1,0,0,0,0,0
Sawft,1,1,1,0,0,23,1,0
Sawft,2,4,3,2,4,46,4,6
Sawft,3,9,5,6,18,69,9,24
Sawft,4,16,7,12,48,92,16,60
Sawft,5,25,9,20,100,115,25,120
Sawft,6,36,11,30,180,138,36,210
Sawft,7,49,13,42,294,161,49,336
Sawft,8,64,15,56,448,184,64,504
Sawft,9,81,17,72,648,207,81,720
Sawft,10,100,19,90,900,230,100,990
Sawft,11,121,21,110,1210,253,121,1320
Sawft,12,144,23,132,1584,276,144,1716
Sawft,13,169,25,156,2028,299,169,2184
Sawft,14,196,27,182,2548,322,196,2730
Sawft,15,225,29,210,3150,345,225,3360
Sawft,16,256,31,240,3840,368,256,4080
Sawft,17,289,33,272,4624,391,289,4896
Sawft,18,324,35,306,5508,414,324,5814
Sawft,19,361,37,342,6498,437,361,6840
Sawft,20,400,39,380,7600,460,400,7980
Sawft,21,441,41,420,8820,483,441,9240
Sawft,22,484,43,462,10164,506,484,10626
Sawft,23,529,45,506,11638,529,529,12144
Sawft,24,576,47,552,13248,552,576,13800
Sawft,25,625,49,600,15000,575,625,15600
Sawft,26,676,51,650,16900,598,676,17550
Sawft,27,729,53,702,18954,621,729,19656
Sawft,28,784,55,756,21168,644,784,21924
Sawft,29,841,57,812,23548,667,841,24360
