ID,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,LOCATION,TEMPERATURE
0,2019,8,16,2,1,1,Kensington,15.73
1,2019,8,16,2,1,2,Kensington,15.57
2,2019,8,16,2,1,3,Kensington,16.799999
3,2019,8,16,2,1,4,Kensington,15.97
4,2019,8,16,2,1,5,Kensington,16.77
5,2019,8,16,2,1,6,Kensington,15.51
6,2019,8,16,2,1,7,Kensington,14.7
7,2019,8,16,2,1,8,Kensington,14.1
8,2019,8,16,2,1,9,Kensington,12.35
9,2019,8,16,2,1,10,Kensington,14.28
10,2019,8,16,2,1,11,Kensington,14.95
11,2019,8,16,2,1,12,Kensington,14.97
12,2019,8,16,2,1,13,Kensington,13.37
13,2019,8,16,2,1,14,Kensington,15.02
14,2019,8,16,2,1,15,Kensington,14.44
15,2019,8,16,2,1,16,Kensington,16.26
16,2019,8,16,2,1,17,Kensington,15.26
17,2019,8,16,2,1,18,Kensington,14.91
18,2019,8,16,2,1,19,Kensington,13.3
19,2019,8,16,2,1,20,Kensington,11.46
20,2019,8,16,2,1,21,Kensington,12.11
21,2019,8,16,2,1,22,Kensington,10.37
22,2019,8,16,2,1,23,Kensington,12.31
23,2019,8,16,2,1,24,Kensington,11.04
24,2019,8,16,2,1,25,Kensington,12.06
25,2019,8,16,2,1,26,Kensington,13.73
26,2019,8,16,2,1,27,Kensington,13.77
27,2019,8,16,2,1,28,Kensington,15.35
28,2019,8,16,2,1,29,Kensington,15.04
29,2019,8,16,2,1,30,Kensington,15.42
30,2019,8,16,2,1,31,Kensington,13.95
31,2019,8,16,2,1,32,Kensington,15.91
32,2019,8,16,2,1,33,Kensington,14.22
33,2019,8,16,2,1,34,Kensington,13.5
34,2019,8,16,2,1,35,Kensington,14.13
35,2019,8,16,2,1,36,Kensington,13.64
36,2019,8,16,2,1,37,Kensington,14.13
37,2019,8,16,2,1,38,Kensington,13.37
38,2019,8,16,2,1,39,Kensington,12.22
39,2019,8,16,2,1,40,Kensington,11.13
40,2019,8,16,2,1,41,Kensington,11.42
41,2019,8,16,2,1,42,Kensington,13.2
42,2019,8,16,2,1,43,Kensington,12.77
43,2019,8,16,2,1,44,Kensington,14.37
44,2019,8,16,2,1,45,Kensington,15.46
45,2019,8,16,2,1,46,Kensington,14.75
46,2019,8,16,2,1,47,Kensington,14.06
47,2019,8,16,2,1,48,Kensington,12.53
48,2019,8,16,2,1,49,Kensington,10.8
49,2019,8,16,2,1,50,Kensington,9.57
50,2019,8,16,2,1,51,Kensington,10.79
51,2019,8,16,2,1,52,Kensington,11.7
52,2019,8,16,2,1,53,Kensington,10.75
53,2019,8,16,2,1,54,Kensington,11.59
54,2019,8,16,2,1,55,Kensington,11.77
55,2019,8,16,2,1,56,Kensington,13.1
56,2019,8,16,2,1,57,Kensington,12.08
57,2019,8,16,2,1,58,Kensington,11.82
58,2019,8,16,2,1,59,Kensington,10.93
59,2019,8,16,2,1,60,Kensington,11.57
60,2019,8,16,2,2,1,Kensington,12.02
61,2019,8,16,2,2,2,Kensington,11.33
62,2019,8,16,2,2,3,Kensington,12.3
63,2019,8,16,2,2,4,Kensington,12.42
64,2019,8,16,2,2,5,Kensington,13.4
65,2019,8,16,2,2,6,Kensington,15.24
66,2019,8,16,2,2,7,Kensington,15.55
67,2019,8,16,2,2,8,Kensington,15.02
68,2019,8,16,2,2,9,Kensington,15.55
69,2019,8,16,2,2,10,Kensington,16.370001
70,2019,8,16,2,2,11,Kensington,18.280001
71,2019,8,16,2,2,12,Kensington,20.08
72,2019,8,16,2,2,13,Kensington,20.389999
73,2019,8,16,2,2,14,Kensington,21.26
74,2019,8,16,2,2,15,Kensington,22.389999
75,2019,8,16,2,2,16,Kensington,24.370001
76,2019,8,16,2,2,17,Kensington,25.51
77,2019,8,16,2,2,18,Kensington,23.66
78,2019,8,16,2,2,19,Kensington,23.1
79,2019,8,16,2,2,20,Kensington,24.15
80,2019,8,16,2,2,21,Kensington,24.24
81,2019,8,16,2,2,22,Kensington,25.620001
82,2019,8,16,2,2,23,Kensington,24.280001
83,2019,8,16,2,2,24,Kensington,25.6
84,2019,8,16,2,2,25,Kensington,26.709999
85,2019,8,16,2,2,26,Kensington,26.08
86,2019,8,16,2,2,27,Kensington,26.48
87,2019,8,16,2,2,28,Kensington,26.73
88,2019,8,16,2,2,29,Kensington,27.0
89,2019,8,16,2,2,30,Kensington,27.59
90,2019,8,16,2,2,31,Kensington,26.17
